#{"t_start": 1759577451.3424647, "env_id": "None"}
r,l,t
-3.355586,123,3.773882
-1.4,2,3.805982
-1.362923,6,3.905818
-4.286537,175,6.865904
-3.70521,175,9.738293
-4.828765,175,20.286221
-3.985181,169,23.067437
-1.4,2,23.099217
-1.862923,11,23.28065
-1.4,2,23.311762
-4.077525,175,26.464811
-1.462923,7,26.599108
-3.998219,106,34.695667
-1.4,2,34.72684
-1.4,2,34.771816
-1.4,2,34.812473
-2.575918,88,36.342406
-4.992639,151,38.936339
-4.322658,157,41.580305
-1.4,2,41.6097
-1.462923,7,47.476948
-1.4,2,47.502529
-4.992558,133,49.443383
-3.819869,171,52.146183
-1.4,2,52.17716
-1.462923,7,52.286693
-0.605877,27,52.699966
-1.562923,8,52.825877
-0.039184,58,53.712512
-1.607388,133,61.319132
-1.734716,12,61.501564
-1.4,2,61.528185
-1.262923,5,61.599886
-0.194664,121,63.298412
-1.662923,9,63.425871
-1.262923,5,63.495317
-1.4,2,63.523984
-1.4,2,63.551156
-1.4,2,63.579904
-1.262923,5,63.650418
-1.462923,7,63.749413
-3.26911,175,66.310055
-1.562923,8,66.43287
-2.121148,130,74.204228
-5.633294,175,76.861804
-1.462923,7,76.98138
-4.768159,175,79.648145
-2.262923,15,79.874096
-6.955157,175,88.207415
-1.4,2,88.239082
-1.562923,8,88.357265
-4.735663,164,90.915569
-1.462923,7,91.028108
-1.951786,175,93.865763
-1.4,2,93.903464
-1.362923,6,94.001374
-1.734716,12,94.195011
-2.375753,154,102.392395
-1.462923,7,102.496948
-1.4,2,102.528121
-1.362923,6,102.61887
-4.851058,175,105.396583
-1.4,2,105.428549
-1.4,2,105.456739
-1.4,2,105.486528
-1.4,2,105.516628
-2.034716,15,105.742355
-3.054677,126,107.617449
-1.762923,10,107.772882
-4.063528,175,116.524929
-1.4,2,116.568209
-1.4,2,116.606018
-2.309494,55,117.613172
-1.562923,8,117.743831
-1.4,2,117.777208
-1.462923,7,117.888486
-3.366683,175,121.277585
-1.4,2,121.325514
-3.365463,175,124.532289
-1.625953,44,131.230759
-1.262923,5,131.299874
-4.641136,175,134.004606
-1.4,2,134.03991
-1.562923,8,134.16379
-1.4,2,134.196491
-2.466417,175,136.973926
-1.462923,7,137.091276
-1.762923,10,137.270016
-1.657363,52,138.16298
-2.034716,15,138.408303
-1.4,2,138.442023
-1.4,2,138.484583
-1.562923,8,138.6164
-0.248996,77,145.655915
-1.4,2,145.685899
-2.646716,163,148.375057
-2.775474,81,149.793516
0.265284,14,150.021682
-1.597848,80,151.29238
-5.376694,175,160.79235
-5.034307,175,163.509376
-1.648831,45,164.202533
-1.462923,7,164.312551
-1.4,2,164.343194
-1.4,2,164.37456
-1.4,2,164.405781
-1.4,2,164.4332
-1.779487,70,165.520971
-4.642489,53,166.508157
-4.52545,81,168.120362
-1.262923,5,168.218424
-1.4,2,168.263255
-1.520602,102,177.281227
-4.895711,175,180.796332
-1.562923,8,181.020164
-1.4,2,181.07242
-4.427119,175,185.255707
-1.662923,9,185.440283
-0.877352,54,192.619425
-4.105541,175,195.300132
-0.865649,36,195.845483
-3.968376,175,198.59745
-1.4,2,198.630849
-1.4,2,198.660601
-1.262923,5,198.734813
-1.4,2,198.763602
-1.4,2,198.792505
-1.662923,9,198.927796
-1.262923,5,199.001533
-3.971018,106,206.549382
-3.823792,175,209.223308
-2.334716,18,209.511638
-2.779614,175,212.308244
-1.4,2,212.343397
-4.033365,175,220.695714
-1.4,2,220.72758
-5.555905,175,223.31199
-1.4,2,223.346187
-1.4,2,223.380598
-1.4,2,223.412363
-1.865384,57,224.285213
-1.809529,53,225.077984
-1.4,2,225.109418
-2.062923,13,225.310505
-1.934716,14,225.51837
-1.219488,54,226.31942
-4.279584,175,234.561907
-2.405877,23,234.904339
0.365284,13,235.084667
-1.734716,12,235.262159
-1.4,2,235.292488
-1.200441,96,236.734652
-1.72242,55,237.570264
-4.111876,175,240.216067
-1.362923,6,240.313575
-1.4,2,240.342855
-1.462923,7,240.44537
-2.990773,133,248.005952
-0.056538,40,248.587504
-1.4,2,248.618136
-1.362923,6,248.731723
-4.672602,175,251.360713
-1.562923,8,251.49085
-1.4,2,251.522196
-2.504782,96,252.981055
-2.871675,175,261.290819
0.043791,61,262.477337
-2.062923,13,262.739635
-1.4,2,262.775178
-2.599838,119,264.674711
-1.4,2,264.718381
-1.480692,69,266.230188
-3.19688,114,268.747625
-1.4,2,268.792993
-4.332727,175,278.879284
-2.222005,24,279.267587
-1.4,2,279.298004
-1.262923,5,279.375721
-1.012476,67,280.462934
-1.462923,7,280.612907
-4.34276,175,283.717912
-4.114875,175,292.016366
-1.4,2,292.052231
-1.4,2,292.08233
-2.315354,150,294.389548
-1.4,2,294.419599
-1.4,2,294.448539
-3.9866,175,297.360059
-1.4,2,297.419874
-1.262923,5,297.500167
-1.4,2,297.543554
-3.969199,175,305.951265
-2.276574,20,306.266152
-0.209108,100,307.751173
-1.73331,122,309.629279
-3.531334,175,312.318406
-1.4,2,312.354225
-4.427017,175,320.740935
-0.176574,21,321.084136
-2.062923,13,321.327732
-2.93829,81,322.81416
-1.462923,7,322.926401
-1.120219,34,323.499293
-1.4,2,323.535917
-2.134716,16,323.857401
-1.4,2,323.894087
-1.4,2,323.92341
-1.562923,8,324.050131
-0.745781,31,324.541387
-1.762923,10,324.695271
-1.362923,6,324.780086
-0.058613,77,326.0314
-2.989849,175,334.222635
-1.4,2,334.2606
0.739332,76,335.411515
-0.707287,85,336.722316
-1.4,2,336.75233
-4.056671,175,339.455087
-0.365872,53,346.048094
-2.083036,107,347.619601
-0.85131,74,348.765192
-5.592157,175,351.486728
-2.702894,74,352.618005
-4.30003,157,360.508208
-1.187723,87,361.822202
-1.455299,91,363.240601
-1.4,2,363.270653
-0.128594,109,364.973587
-2.081299,106,366.587358
-5.547108,175,374.708525
-1.387922,175,377.545756
-1.4,2,377.582167
-2.03658,137,380.377487
-1.362923,6,380.473907
-1.4,2,380.508178
-1.4,2,380.541454
-1.4,2,380.571593
-1.4,2,380.601168
-3.554822,175,389.676221
-1.4,2,389.710807
-1.4,2,389.742831
-1.4,2,389.774015
-1.4,2,389.80526
-0.986355,39,390.466197
-1.4,2,390.505698
-1.4,2,390.542272
-5.705959,167,393.522077
-4.307474,175,403.534195
-2.034716,15,403.81017
-1.262923,5,403.888342
-1.4,2,403.921271
-0.076574,20,404.254514
-1.4,2,404.287831
-4.258425,175,407.343335
-0.264959,44,408.118173
-1.462923,7,408.236701
-1.4,2,408.277214
-1.4,2,408.309177
-5.029512,175,411.560824
-1.4,2,411.603412
-2.512932,161,420.605728
-2.359608,60,421.597546
-5.58814,175,424.681947
-1.4,2,424.73586
-0.076574,20,425.325788
-1.340033,108,427.347941
-1.378361,34,434.328049
-4.36653,175,437.095649
-1.4,2,437.130566
-1.4,2,437.174657
-1.462923,7,437.281512
-0.476574,24,437.708318
-2.186523,119,439.579342
-1.4,2,439.614398
-1.4,2,439.646563
-1.362923,6,439.75126
-1.662923,9,439.892276
-1.4,2,439.921551
-3.51643,127,441.917932
-1.4,2,441.945435
-2.662923,19,442.23805
-2.192475,53,448.924742
-1.4,2,448.953118
-5.647157,175,451.741503
-1.4,2,451.77686
-5.990733,175,454.552544
-3.639192,175,462.765691
-1.4,2,462.797383
-1.462923,7,462.910534
-4.856862,175,465.676713
-5.546778,175,468.318023
-1.258421,70,469.357398
-1.4,2,469.387878
-1.4,2,469.419105
-0.580952,124,476.59901
0.065284,16,476.821941
-1.4,2,476.851848
-1.4,2,476.879852
-5.528111,175,479.923391
-2.200049,136,482.240906
-3.959179,90,489.436501
-1.4,2,489.467306
-1.262923,5,489.540089
-4.209619,175,492.250018
-1.562923,8,492.417511
-2.697599,123,494.359999
-3.74003,175,497.081411
-4.991517,175,505.466375
-1.4,2,505.49949
-1.4,2,505.52856
-2.108101,107,507.190879
-2.705877,26,507.600579
-1.4,2,507.630401
-1.4,2,507.661979
-3.608279,132,509.865768
-1.4,2,509.896769
-4.432364,104,518.142191
-5.319351,175,520.989934
1.151871,91,522.395725
-1.4,2,522.437214
-1.4,2,522.476732
-3.966406,98,524.245652
-2.422005,26,524.633484
-1.4,2,524.662051
-2.550199,78,531.712646
-2.02242,48,532.450058
-1.168474,104,534.011204
-1.562923,8,534.140204
-3.905458,175,536.908
-1.4,2,536.94129
-1.834716,13,537.132447
-3.458599,81,538.379056
-1.262923,5,538.454548
-1.4,2,538.489473
