#{"t_start": 1758714104.6398656, "env_id": "None"}
r,l,t
0.307501,8,0.437787
4.907016,20,0.78365
0.307501,8,0.934488
4.752281,15,1.147882
0.307501,8,1.221374
4.977856,24,1.602004
0.307501,8,1.671231
7.449305,32,2.126449
0.307501,8,2.285463
22.815216,1200,19.613789
4.002856,25,19.917298
0.307501,8,20.074076
4.240936,35,20.555086
0.478748,15,20.7702
4.925527,22,21.052489
0.307501,8,21.215914
4.752281,15,21.432375
0.307501,8,21.497271
0.478748,15,21.714671
8.49699,104,23.252405
0.307501,8,23.320749
7.821816,52,24.081576
0.478748,15,24.305406
4.752281,15,24.535607
0.307501,8,24.719937
3.658955,14,24.933197
0.478748,15,25.169123
4.907016,20,25.442019
0.339264,9,25.523247
7.442433,33,26.058705
0.307501,8,26.224533
0.478748,15,26.450812
7.389575,30,26.905133
0.307501,8,26.975517
7.449305,32,27.42713
0.478748,15,27.64861
4.752281,15,27.860462
0.478748,15,28.084522
3.658955,14,28.298464
0.307501,8,28.36717
5.080262,27,28.789229
0.307501,8,28.950082
4.752281,15,29.188583
0.70334,29,29.538439
4.907016,20,29.903489
0.307501,8,29.975102
4.752281,15,30.204549
0.307501,8,30.372281
0.478748,15,30.499121
4.907016,20,30.869468
0.478748,15,31.095811
7.449305,32,31.574975
0.339264,9,31.65648
4.752281,15,31.889139
0.307501,8,32.050023
4.752281,15,32.27677
0.307501,8,32.345293
4.752281,15,32.576336
0.307501,8,32.743849
4.013212,25,33.052407
0.307501,8,33.217285
4.752281,15,33.447021
0.307501,8,33.517724
7.449305,32,33.993032
0.478748,15,34.222574
4.925527,22,34.513917
0.307501,8,34.67838
4.977856,24,34.996194
0.478748,15,35.224284
4.752281,15,35.450905
0.307501,8,35.712897
5.682907,41,36.264285
0.307501,8,36.425272
4.907016,20,36.692346
0.307501,8,36.852773
58.591789,1200,54.605941
4.907016,20,54.872382
0.307501,8,54.940799
4.752281,15,55.159388
0.307501,8,55.324133
4.752281,15,55.557661
0.307501,8,55.625498
4.752281,15,55.847138
0.307501,8,56.017942
7.442433,33,56.483973
0.636344,23,56.770648
4.752281,15,57.005049
0.307501,8,57.168278
4.977856,24,57.467858
0.307501,8,57.624532
7.622551,39,58.158381
0.307501,8,58.227646
7.449305,32,58.708594
0.307501,8,58.868609
4.907016,20,59.143328
0.307501,8,59.309397
7.442433,33,59.789347
0.478748,15,60.020111
0.307501,8,60.089844
0.307501,8,60.255703
0.478748,15,60.494804
7.449305,32,60.965287
0.307501,8,61.034179
7.908593,58,61.91667
0.307501,8,61.986943
3.658955,14,62.201763
0.60458,22,62.581668
7.677474,46,63.177611
0.307501,8,63.348166
19.080902,1200,81.200721
7.449305,32,81.675572
0.60458,22,81.962346
4.977856,24,82.364611
0.478748,15,82.593587
4.752281,15,82.817802
0.307501,8,82.896476
4.752281,15,83.1348
0.307501,8,83.303197
4.752281,15,83.532425
0.307501,8,83.603407
0.478748,15,83.838693
0.307501,8,83.908645
4.752281,15,84.133582
0.307501,8,84.300552
4.977856,24,84.621299
0.307501,8,84.790525
0.307501,8,84.859267
0.307501,8,85.032231
5.06384,29,85.492989
0.478748,15,85.72865
4.977856,24,86.051987
0.307501,8,86.221151
4.752281,15,86.452089
0.307501,8,86.526602
7.449305,32,87.07619
0.307501,8,87.235074
3.658955,14,87.369007
0.307501,8,87.528641
7.737204,48,88.230236
0.478748,15,88.44543
4.752281,15,88.664844
0.307501,8,88.73422
7.977459,60,89.66369
0.307501,8,89.840187
4.752281,15,90.076968
0.307501,8,90.149319
4.105262,28,90.597123
0.307501,8,90.665928
5.06384,29,91.135114
0.307501,8,91.302732
6.414575,31,91.765732
0.307501,8,91.838862
4.977856,24,92.246169
0.307501,8,92.318116
7.449305,32,92.789869
0.307501,8,92.955842
6.785864,47,93.560205
0.307501,8,93.72792
4.752281,15,93.952146
0.307501,8,94.024971
7.449305,32,94.509796
0.307501,8,94.679787
4.925527,22,95.070114
0.307501,8,95.23263
7.449305,32,95.694879
0.307501,8,95.762136
3.658955,14,95.976455
0.307501,8,96.129915
4.925527,22,96.400165
0.307501,8,96.552068
4.200406,37,97.064675
0.307501,8,97.133261
