#{"t_start": 1759263042.46531, "env_id": "None"}
r,l,t
0.824485,10,0.998676
-33.197896,600,10.934196
-7.670779,392,17.094339
9.812883,271,21.574894
-0.819127,361,28.514627
0.824485,10,28.604563
-18.134691,600,37.5742
-25.059681,600,48.163693
-15.563249,508,56.520697
-5.927058,356,61.716996
1.701027,387,67.134391
0.824485,10,69.134222
0.747389,26,69.403914
5.342799,351,74.48341
0.824485,10,74.587156
1.333784,18,74.747571
-26.288418,600,83.669859
-26.579329,600,94.50173
1.422936,145,95.818968
-22.847026,600,106.449835
-26.43778,600,115.425021
-11.430584,333,120.058431
0.93417,22,120.263102
0.824485,10,120.355728
-22.645748,553,130.448854
0.824485,10,130.52907
-25.578725,600,139.628184
3.896281,244,143.549416
-26.461811,600,152.144352
-20.232136,600,162.873546
-14.43025,343,167.646107
-38.72537,600,176.475862
0.824485,10,176.564684
-23.406433,600,187.173203
-16.743537,600,195.999588
1.147309,16,196.152199
-14.120763,600,205.393715
8.085027,255,209.742485
0.392444,347,216.758335
0.396115,268,221.006305
0.824485,10,221.092541
-18.34178,600,230.18074
4.250328,258,234.248166
2.526594,195,237.576404
-5.411244,432,244.894956
0.662444,440,250.67067
-17.500258,600,261.47885
-10.101558,494,269.47463
4.689809,315,274.084966
6.384681,206,277.549516
6.837469,137,278.788437
-14.524112,540,287.084994
-12.843645,464,294.870455
-25.274161,600,305.497277
-22.871637,600,314.759605
-22.358005,600,323.642025
13.038477,242,327.714969
5.474252,72,328.358099
0.941789,397,335.1398
0.824485,10,335.224451
-26.370838,600,344.889059
-24.136622,600,356.294309
-24.983905,600,365.220294
3.632259,83,365.968965
1.087221,24,367.966369
1.973194,24,368.189829
-9.721136,349,373.224803
-18.756673,600,381.982932
-25.933802,600,392.781575
-22.916384,597,401.629349
6.249951,182,404.936734
0.657458,13,405.055068
7.284163,93,405.894315
6.410666,226,409.752627
-13.906417,600,418.840215
2.743248,38,419.184114
-11.425362,329,425.776503
-21.533228,600,434.637709
0.086485,357,441.479208
9.376732,275,445.773334
0.824485,10,445.864336
-23.975187,600,455.180222
-2.585886,401,462.487982
-3.825827,328,467.544408
-31.235482,600,476.772579
-23.797918,600,485.707317
-1.072479,277,491.540086
-22.219802,600,500.605854
-22.732427,600,509.655868
6.066615,79,511.973758
0.824485,10,512.053221
6.961367,75,512.769593
-24.307261,600,521.841866
-4.820028,240,525.694576
4.113358,139,528.817434
4.773577,76,529.517396
0.026367,98,530.426978
-22.990755,600,541.282004
-23.697793,600,551.047482
0.824485,10,551.158159
8.044535,139,554.580072
4.00552,339,560.04601
0.657458,13,560.181231
0.824485,10,560.27915
2.040635,28,560.555681
-2.369704,378,568.344364
0.824485,10,568.471908
-16.755259,466,577.376157
0.824485,10,577.498914
0.824485,10,577.598926
0.824485,10,577.709957
10.959716,197,579.876103
-29.083702,600,591.734991
0.824485,10,591.838238
-17.322002,528,600.490337
5.441243,83,601.306602
-17.012821,600,612.108449
2.744392,55,612.650944
15.976751,112,613.704292
-16.597027,600,624.512018
1.382453,361,630.124987
-2.753326,410,637.500712
-1.040578,159,639.102678
-16.440505,600,649.981877
-14.69912,600,659.49009
-14.203711,551,668.29646
0.824485,10,668.395702
4.298652,95,669.410264
-27.49386,600,681.248681
0.657458,13,681.379123
1.056831,28,681.653368
-8.595226,414,690.075706
4.584608,57,690.666721
-1.899039,182,692.808722
-4.691831,380,700.503595
-2.04085,308,706.006179
2.094876,124,709.597543
-0.658986,204,711.729447
0.657458,13,711.867703
-20.451405,600,724.395246
0.824485,10,724.489013
-19.719802,600,733.712051
-31.001063,596,744.952279
-20.705035,600,754.576555
-34.205624,509,763.385843
-24.414285,600,773.052032
2.733991,32,773.362368
-19.204087,600,784.496256
6.607605,195,786.310382
-22.075139,600,797.758725
-22.981624,600,807.560144
1.279812,34,807.907492
1.958828,35,808.274111
2.501451,179,811.940177
-23.569501,600,821.725153
-13.820871,492,830.502817
-22.943036,600,842.332967
2.485409,158,844.032304
4.350105,114,847.386354
0.159929,47,847.899164
0.701033,19,848.113216
0.701033,19,848.298325
0.824485,10,848.397081
1.15311,387,857.442939
0.779797,143,859.176041
-22.420325,600,871.950091
-31.556673,600,882.414348
0.824485,10,882.519328
-3.498686,181,886.562375
-24.227317,600,896.827049
-19.452988,465,905.345959
-8.881941,510,914.969239
-28.682829,600,925.006547
-13.894778,598,934.997287
-15.592002,600,947.206691
-9.805545,385,953.127688
-6.564824,473,961.317422
-34.732676,600,972.779341
0.671046,394,978.359341
8.529457,277,982.970326
0.701033,19,983.146473
7.364867,112,985.945914
1.023857,25,986.18924
0.900746,22,986.422764
0.824485,10,986.522853
0.824485,10,986.622591
2.489493,110,987.762411
6.019986,197,991.578629
0.824485,10,991.672264
0.763484,345,998.699343
0.657458,13,998.82854
0.824485,10,998.929386
0.824485,10,999.014791
0.933379,37,999.353592
-23.747544,600,1008.76005
-9.567464,452,1016.810342
2.946102,306,1021.43004
-16.569879,600,1031.506955
-15.408183,321,1038.356936
0.657458,13,1038.491716
-3.098369,393,1044.330111
0.824485,10,1044.434413
-24.510308,600,1056.063746
6.577723,127,1057.256528
-1.573152,268,1061.819564
-12.41696,386,1069.576283
-23.873558,600,1079.231408
1.333784,18,1079.408173
-39.821313,600,1088.754186
-37.420633,600,1099.839327
2.026608,326,1104.894515
7.979414,159,1108.370192
4.293077,77,1109.084765
0.592844,334,1114.006326
-0.722487,237,1118.180408
-32.7782,600,1129.418858
-15.63424,440,1135.553814
1.147309,16,1135.714948
1.147309,16,1135.883798
-7.139552,501,1144.341025
-7.622562,362,1151.812886
-15.226484,600,1161.343241
-19.158748,600,1171.019682
-24.388152,595,1182.115602
-28.86306,550,1191.089983
9.771712,153,1194.239209
-20.678622,600,1203.625487
8.772606,239,1207.983059
5.397386,87,1208.804061
2.891458,64,1209.430435
0.824485,10,1209.528112
-25.091038,600,1220.961944
-12.437489,370,1226.360863
-24.774736,600,1237.300078
0.824485,10,1237.393124
0.824485,10,1237.492061
-18.96398,600,1246.772348
-15.444438,496,1255.270966
0.657458,13,1255.439927
-21.838972,600,1265.724185
2.566528,370,1273.344919
-17.307659,600,1282.899963
4.421965,121,1286.109507
6.415445,326,1290.931757
0.824485,10,1291.027557
8.283056,100,1292.041604
2.164087,19,1292.234162
-25.079219,600,1303.552142
-11.867497,535,1312.805168
-29.385975,600,1322.176924
-20.954654,600,1331.609845
0.824485,10,1333.362071
0.824485,10,1333.458607
-20.204029,600,1343.05044
5.462424,262,1347.580955
6.750947,184,1351.148096
5.789703,134,1352.522625
6.208016,74,1353.307479
1.147309,16,1355.238537
0.824485,10,1355.323046
-18.242141,475,1361.664211
-4.047672,302,1368.443387
-19.84473,530,1377.001428
-23.674744,600,1386.350237
5.594877,98,1387.388155
1.628216,366,1394.756442
0.962541,447,1403.169769
5.498312,186,1404.997382
-35.601882,600,1416.492923
-25.089585,600,1426.310614
7.164514,296,1431.154179
1.147309,16,1431.317218
11.375262,224,1435.226259
2.085551,270,1439.768723
0.824485,10,1439.866011
-0.586669,423,1447.528025
6.571556,204,1451.040203
0.824485,10,1451.132709
5.223296,68,1451.766755
-24.988354,600,1461.18064
-9.474844,600,1472.337423
3.638813,393,1477.861608
3.547656,218,1481.778905
0.824485,10,1481.871072
-20.938148,600,1491.367599
0.824485,10,1491.468234
-26.279036,600,1502.6155
-30.718958,600,1511.656963
-32.664529,600,1521.080543
1.973194,24,1523.024658
-22.272173,600,1532.62779
-5.4413,366,1538.170038
-17.444347,600,1549.408201
-33.366685,600,1559.149183
0.37261,321,1563.899479
-22.698197,600,1575.169163
-21.744122,600,1584.42974
6.025115,182,1587.858433
11.291006,154,1589.280592
-0.077881,30,1589.569176
8.68013,157,1592.868047
-29.904517,600,1601.85996
0.824485,10,1601.956088
-10.748413,401,1609.348926
-16.80148,568,1617.857956
0.824485,10,1617.948011
-22.960955,600,1630.022316
8.516042,204,1631.946387
-27.555895,600,1643.957748
0.824485,10,1644.060131
-26.188033,600,1654.047917
1.333784,18,1654.235043
-26.122664,600,1664.476639
0.824485,10,1666.600284
-18.485458,440,1673.031952
0.874455,60,1673.634586
-31.536477,600,1685.705947
3.5489,48,1686.244741
-21.258498,600,1696.178931
2.77423,369,1703.360821
-4.139573,454,1711.000809
6.331088,119,1712.049542
0.824485,10,1712.173397
0.824485,10,1712.281464
-29.337274,534,1721.014439
-31.781742,600,1731.489735
10.44686,275,1735.575931
-11.514612,360,1740.67849
1.333784,18,1740.843522
0.824485,10,1740.936593
1.147309,16,1741.078354
1.147309,16,1741.22147
-19.825396,600,1752.573515
0.367738,23,1752.793411
4.037073,77,1753.510098
0.824485,10,1753.608203
1.147309,16,1753.762017
0.824485,10,1753.8434
-2.16791,250,1758.063064
-28.974904,600,1767.474241
