train/learning_rate,train/n_updates,time/iterations,time/fps,train/value_loss,train/explained_variance,train/policy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/entropy_loss,time/total_timesteps
0.000297568,19,20,366,0.807958722114563,-0.24609601497650146,0.009907670319080353,-6.617865085601807,61.62,83,0.19810560000000002,-0.8251842856407166,30720
0.000295008,39,40,367,0.8967644572257996,0.03316777944564819,0.01442825049161911,-6.632542610168457,62.54,167,0.1962112,-0.8254460096359253,61440
0.00029244799999999995,59,60,362,0.8683046102523804,-0.06381607055664062,0.012659918516874313,-6.3090033531188965,59.88,253,0.1943168,-0.8243252635002136,92160
0.000289888,79,80,369,0.7339905500411987,-0.3507711887359619,0.009758830070495605,-8.438375473022461,80.3,332,0.19242240000000002,-0.8207429647445679,122880
0.000287328,99,100,367,0.7114693522453308,-0.2524937391281128,0.02759677916765213,-7.0492844581604,65.91,418,0.190528,-0.8196486234664917,153600
0.00028476799999999997,119,120,364,0.7448230981826782,-0.15655434131622314,0.010037040337920189,-6.866213798522949,66.51,505,0.1886336,-0.821631908416748,184320
0.00028220799999999994,139,140,362,0.8105514049530029,-0.26270127296447754,0.020948922261595726,-7.8457255363464355,75.0,592,0.18673920000000002,-0.8238212466239929,215040
0.00027964799999999996,159,160,364,0.7183021306991577,0.04360860586166382,0.004824696108698845,-7.015371799468994,66.19,674,0.1848448,-0.8284932374954224,245760
0.000277088,179,180,365,0.8838715553283691,-0.602293848991394,0.008497590199112892,-7.628531455993652,74.5,756,0.1829504,-0.8220186233520508,276480
0.00027452799999999996,199,200,367,0.9313461184501648,-0.6547523736953735,0.02375692129135132,-7.631148815155029,70.4,836,0.18105600000000002,-0.8191251754760742,307200
0.000271968,219,220,369,0.908048152923584,-0.29217052459716797,0.022316008806228638,-7.830211639404297,77.09,915,0.1791616,-0.8208589553833008,337920
0.00026940799999999995,239,240,369,0.9210145473480225,-0.2609274387359619,0.005079060792922974,-7.459028244018555,68.2,997,0.1772672,-0.820138692855835,368640
0.000266848,259,260,369,0.8071564435958862,-0.1275160312652588,0.012209135107696056,-6.734604358673096,65.26,1079,0.17537280000000002,-0.8328577280044556,399360
0.00026428799999999995,279,280,370,0.8494555950164795,-0.4438016414642334,0.005133142229169607,-7.723385810852051,74.22,1160,0.1734784,-0.8286533355712891,430080
0.00026172799999999997,299,300,371,0.8336569666862488,-0.4355412721633911,0.02212146483361721,-7.527085781097412,72.43,1241,0.17158400000000001,-0.8170711398124695,460800
0.00025916799999999994,319,320,370,0.7673923969268799,-0.4190787076950073,0.021061446517705917,-7.082325458526611,67.94,1325,0.1696896,-0.819157063961029,491520
0.00025660799999999997,339,340,369,0.8451708555221558,-0.9347853660583496,0.012522558681666851,-6.6493940353393555,66.05,1414,0.1677952,-0.8225929141044617,522240
0.000254048,359,360,369,0.6623294949531555,-0.31033074855804443,0.018885783851146698,-6.202038764953613,60.36,1496,0.16590080000000001,-0.8310256004333496,552960
0.00025148799999999996,379,380,369,0.9282010793685913,-0.6086164712905884,0.018135851249098778,-7.206233024597168,66.52,1578,0.1640064,-0.8180682063102722,583680
0.000248928,399,400,349,0.6863620281219482,-0.34764719009399414,0.015015277080237865,-7.605682373046875,73.49,1757,0.162112,-0.8241423964500427,614400
0.00024636799999999996,419,420,323,0.8806225657463074,-0.29817402362823486,0.022542690858244896,-7.526281833648682,71.68,1991,0.16021760000000002,-0.8236677646636963,645120
0.00024380799999999995,439,440,304,0.8401013612747192,-0.381486177444458,0.017863523215055466,-6.486166000366211,59.82,2222,0.1583232,-0.8292875289916992,675840
0.00024124799999999995,459,460,290,0.8638625144958496,-0.13126862049102783,0.017621450126171112,-6.600576400756836,65.74,2434,0.1564288,-0.8255674242973328,706560
0.00023868799999999995,479,480,290,0.7831118106842041,-0.4545915126800537,0.013752784579992294,-5.913383960723877,58.47,2534,0.15453440000000002,-0.8231207728385925,737280
0.00023612799999999997,499,500,283,0.7790271639823914,-0.43803906440734863,0.027022510766983032,-7.272426128387451,71.14,2709,0.15264,-0.8214939832687378,768000
0.00023356799999999997,519,520,284,0.8692659735679626,-0.17781949043273926,0.013154294341802597,-6.4445929527282715,59.69,2808,0.1507456,-0.8174901008605957,798720
0.00023100799999999997,539,540,285,0.9041045904159546,-0.3027057647705078,0.018357856199145317,-6.4375834465026855,58.71,2902,0.14885120000000002,-0.8226512670516968,829440
0.00022844799999999996,559,560,286,1.0094751119613647,-0.48375236988067627,0.0038345027714967728,-6.943387031555176,69.62,3004,0.14695680000000003,-0.8223785161972046,860160
0.00022588799999999996,579,580,288,0.7815241813659668,-0.5409057140350342,0.018665537238121033,-7.326298713684082,68.84,3093,0.1450624,-0.820713222026825,890880
0.00022332799999999993,599,600,284,0.8018128871917725,-0.11774587631225586,0.02346227876842022,-7.244916915893555,73.52,3235,0.14316800000000002,-0.8276426792144775,921600
0.00022076799999999996,619,620,275,1.0289850234985352,-0.35939812660217285,0.01461334154009819,-6.504439830780029,57.89,3460,0.1412736,-0.8211135864257812,952320
0.00021820799999999995,639,640,266,0.744553804397583,-0.32482171058654785,0.00892581045627594,-6.828589916229248,69.41,3690,0.1393792,-0.8242424726486206,983040
0.00021564799999999998,659,660,263,0.8500465154647827,-0.7135589122772217,0.01621481403708458,-6.446509838104248,62.8,3841,0.13748480000000002,-0.8200658559799194,1013760
0.00021308799999999998,679,680,266,0.7801965475082397,-0.7596914768218994,0.022326594218611717,-6.999298572540283,68.12,3915,0.1355904,-0.8233744502067566,1044480
