train/n_updates,time/total_timesteps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,time/iterations,train/learning_rate
99,9600,-0.14716431498527527,0.5784250497817993,2.360191583633423,24,0.03724086284637451,40.57,389,0.0018004179000854492,100,0.0004
199,19200,-0.17739133536815643,0.0029685795307159424,2.183026075363159,48,-0.07875745743513107,31.28,398,-0.05003035068511963,200,0.0004
299,28800,-0.19928078353405,2.3050055503845215,2.5882251262664795,72,0.058749906718730927,31.5,399,0.0002856254577636719,300,0.0004
399,38400,-0.16672348976135254,1.863102674484253,2.64327335357666,96,-0.02275126799941063,42.59,399,0.0004975795745849609,400,0.0004
499,48000,-0.19190828502178192,2.0384128093719482,2.74069881439209,119,-0.05673470348119736,41.94,401,0.00027042627334594727,500,0.0004
599,57600,-0.17591828107833862,2.4026124477386475,2.7581286430358887,142,-0.023180276155471802,54.55,404,-5.7697296142578125e-05,600,0.0004
699,67200,-0.19441157579421997,2.112088680267334,2.089426040649414,166,-0.011327380314469337,18.69,403,0.000752568244934082,700,0.0004
799,76800,-0.15529079735279083,0.8622948527336121,2.3873090744018555,189,-0.012734003365039825,31.72,405,0.0008516907691955566,800,0.0004
899,86400,-0.1443672478199005,0.10935121029615402,2.4113428592681885,212,-0.040101706981658936,30.68,407,-9.357929229736328e-05,900,0.0004
999,96000,-0.1595868319272995,0.7012125849723816,2.2119131088256836,234,-0.011440044268965721,32.86,408,0.0015339255332946777,1000,0.0004
1099,105600,-0.19552044570446014,1.6564998626708984,2.422936201095581,257,-0.2735825181007385,41.76,409,0.0003177523612976074,1100,0.0004
1199,115200,-0.2012651413679123,1.008718490600586,2.354097843170166,282,-0.2273777574300766,44.9,407,0.0012361407279968262,1200,0.0004
1299,124800,-0.22579489648342133,1.4904645681381226,2.7366995811462402,306,-0.0671858936548233,42.92,406,0.000471651554107666,1300,0.0004
1399,134400,-0.12360131740570068,0.9340166449546814,2.6582884788513184,330,0.0036007200833410025,55.77,407,0.0013901591300964355,1400,0.0004
1499,144000,-0.15255677700042725,0.2874218225479126,2.493225336074829,353,-0.0492401123046875,41.89,407,0.0011554360389709473,1500,0.0004
1599,153600,-0.16686128079891205,0.5551454424858093,1.9901938438415527,378,-0.03925513103604317,19.25,405,0.0007898807525634766,1600,0.0004
1699,163200,-0.14927765727043152,1.048530101776123,2.1909008026123047,405,0.04152558371424675,31.86,402,0.0001722574234008789,1700,0.0004
1799,172800,-0.1986173391342163,2.861382246017456,2.9257113933563232,431,-0.009747552685439587,65.8,400,7.18235969543457e-05,1800,0.0004
1899,182400,-0.17070242762565613,0.32262465357780457,2.4551098346710205,456,-0.026685988530516624,42.05,399,0.0024396777153015137,1900,0.0004
1999,192000,-0.17550039291381836,2.01823091506958,2.43109393119812,481,0.01205494999885559,30.62,398,0.0015774369239807129,2000,0.0004
2099,201600,-0.17080241441726685,1.2585268020629883,2.124056577682495,507,-0.04594030976295471,18.43,396,-0.00027441978454589844,2100,0.0004
2199,211200,-0.20123904943466187,2.2629780769348145,2.717052698135376,534,-0.12417368590831757,42.51,394,3.230571746826172e-05,2200,0.0004
2299,220800,-0.15894651412963867,0.3326459527015686,2.296975612640381,558,-0.21342474222183228,31.12,395,0.002183377742767334,2300,0.0004
2399,230400,-0.16510742902755737,1.322334885597229,2.3448691368103027,582,-0.019644783809781075,31.96,395,0.002081930637359619,2400,0.0004
2499,240000,-0.14412371814250946,0.8448400497436523,1.9879668951034546,607,0.06322389841079712,19.5,395,-0.0012444257736206055,2500,0.0004
2599,249600,-0.15481272339820862,0.7671254873275757,2.5150365829467773,631,-0.008495023474097252,43.49,395,0.0011753439903259277,2600,0.0004
2699,259200,-0.16043978929519653,1.0585265159606934,2.129135847091675,656,0.0601867139339447,20.12,394,0.0015868544578552246,2700,0.0004
2799,268800,-0.17035548388957977,0.6474822759628296,2.1406209468841553,680,-0.24952004849910736,18.89,395,-0.0005652904510498047,2800,0.0004
2899,278400,-0.15844491124153137,0.638073742389679,2.578559637069702,704,-0.015858251601457596,53.41,395,0.00186079740524292,2900,0.0004
2999,288000,-0.17851130664348602,1.2347959280014038,2.570333957672119,728,0.05737796425819397,30.73,395,0.0011529326438903809,3000,0.0004
3099,297600,-0.16471096873283386,1.6302211284637451,2.256587028503418,753,-0.0047264257445931435,41.98,395,-0.000392913818359375,3100,0.0004
3199,307200,-0.15077954530715942,0.3724691867828369,3.4860470294952393,777,-0.14337223768234253,88.79,394,0.0002022385597229004,3200,0.0004
3299,316800,-0.16145089268684387,1.770219087600708,2.6044816970825195,803,-0.0029381364583969116,43.2,394,0.0006549954414367676,3300,0.0004
3399,326400,-0.1725131869316101,1.8103126287460327,3.160701036453247,828,-0.026522841304540634,42.67,393,0.0011264681816101074,3400,0.0004
3499,336000,-0.16610190272331238,0.50262850522995,2.4758899211883545,854,0.002744810190051794,42.08,393,0.003443300724029541,3500,0.0004
3599,345600,-0.14296826720237732,0.28044694662094116,1.8593113422393799,880,-0.022166430950164795,19.21,392,0.0031785964965820312,3600,0.0004
3699,355200,-0.16219449043273926,0.2879650592803955,2.3729419708251953,905,0.05553055927157402,42.68,392,-0.0038361549377441406,3700,0.0004
3799,364800,-0.16998998820781708,0.3112930655479431,2.444969415664673,929,-0.013388233259320259,31.74,392,0.0016356110572814941,3800,0.0004
3899,374400,-0.21508264541625977,1.5768588781356812,2.3573546409606934,954,-0.1538790613412857,29.96,392,0.0007548928260803223,3900,0.0004
3999,384000,-0.19886544346809387,2.4188694953918457,2.32833194732666,978,-0.002104945480823517,43.06,392,0.00037664175033569336,4000,0.0004
4099,393600,-0.18897214531898499,1.2007942199707031,1.9311463832855225,1003,0.004488397389650345,42.26,392,0.001989006996154785,4100,0.0004
4199,403200,-0.1907404363155365,1.2374286651611328,2.5561301708221436,1028,-0.015598995611071587,33.04,392,0.0017262697219848633,4200,0.0004
4299,412800,-0.16747233271598816,1.3678174018859863,3.7407541275024414,1053,-0.03278932720422745,65.42,391,0.0014649033546447754,4300,0.0004
4399,422400,-0.13585171103477478,0.9611226320266724,2.7554972171783447,1077,-0.009943308308720589,54.2,391,0.001468360424041748,4400,0.0004
4499,432000,-0.1660415381193161,1.0858769416809082,2.698748826980591,1102,-0.00419677933678031,55.58,391,0.0005882978439331055,4500,0.0004
4599,441600,-0.18030375242233276,0.8874008059501648,1.865180253982544,1126,-0.0021085988264530897,17.25,391,0.001781463623046875,4600,0.0004
4699,451200,-0.1686840057373047,0.8953549265861511,2.099924087524414,1151,-0.022878974676132202,19.82,391,0.000924229621887207,4700,0.0004
4799,460800,-0.19681929051876068,1.6319763660430908,2.600828170776367,1176,0.00132743117865175,42.67,391,0.0006465315818786621,4800,0.0004
4899,470400,-0.17255090177059174,0.8930265307426453,3.688154697418213,1201,-0.0128419054672122,68.83,391,0.00075531005859375,4900,0.0004
4999,480000,-0.1276819407939911,1.131971836090088,2.0261731147766113,1224,-0.016602886840701103,30.49,391,0.0012371540069580078,5000,0.0004
5099,489600,-0.1639343500137329,0.3034541606903076,2.2452852725982666,1251,-0.017552116885781288,29.09,391,0.00219041109085083,5100,0.0004
5199,499200,-0.17914757132530212,0.9522470831871033,2.0769433975219727,1276,0.032395534217357635,29.98,390,0.0014780163764953613,5200,0.0004
5299,508800,-0.1661127805709839,0.4279835820198059,2.184894323348999,1301,-0.07540979981422424,20.52,390,0.0007318258285522461,5300,0.0004
5399,518400,-0.17522697150707245,1.8645185232162476,2.111855983734131,1326,-0.1397373378276825,21.62,390,0.0003846883773803711,5400,0.0004
5499,528000,-0.15484437346458435,0.8503004312515259,2.084437370300293,1351,-0.13585308194160461,19.26,390,0.001353442668914795,5500,0.0004
5599,537600,-0.18359379470348358,1.560934066772461,2.634918451309204,1376,-0.1671825349330902,42.24,390,0.00014460086822509766,5600,0.0004
5699,547200,-0.19584250450134277,1.038205623626709,2.274390697479248,1400,-0.13723379373550415,32.04,390,0.0008029937744140625,5700,0.0004
5799,556800,-0.15179941058158875,0.03982771188020706,2.663569927215576,1424,-0.031571999192237854,44.15,390,0.008983731269836426,5800,0.0004
5899,566400,-0.14915353059768677,0.13408945500850677,2.0333070755004883,1449,0.006468964274972677,18.89,390,0.003452301025390625,5900,0.0004
5999,576000,-0.13167499005794525,2.2361927032470703,2.1957743167877197,1474,0.014003217220306396,42.11,390,-0.0005130767822265625,6000,0.0004
6099,585600,-0.14689227938652039,0.8265942335128784,1.9860061407089233,1498,-0.31586024165153503,30.49,390,0.001973390579223633,6100,0.0004
6199,595200,-0.1627882719039917,0.7230880260467529,1.9397282600402832,1523,0.0014341874048113823,17.74,390,0.0015826225280761719,6200,0.0004
6299,604800,-0.13652104139328003,0.7250816226005554,1.9853734970092773,1547,0.03111867606639862,20.43,390,0.0007498264312744141,6300,0.0004
6399,614400,-0.20669035613536835,1.8445570468902588,1.9261093139648438,1574,-0.050427086651325226,19.01,390,-0.00020039081573486328,6400,0.0004
6499,624000,-0.17325441539287567,1.6186294555664062,2.0255022048950195,1599,-0.28813618421554565,18.74,390,-0.0006511211395263672,6500,0.0004
6599,633600,-0.17148767411708832,2.00936222076416,2.319439649581909,1622,-0.013686997815966606,53.77,390,0.00047904253005981445,6600,0.0004
6699,643200,-0.1693926304578781,1.8537139892578125,3.0751702785491943,1644,-0.10607725381851196,53.92,391,0.0007300376892089844,6700,0.0004
6799,652800,-0.18919286131858826,2.2725110054016113,2.55379581451416,1669,-0.10472505539655685,30.44,391,0.0008221268653869629,6800,0.0004
6899,662400,-0.19501063227653503,0.7246227264404297,2.1711905002593994,1693,-0.00619245320558548,19.47,391,0.001105666160583496,6900,0.0004
6999,672000,-0.14117273688316345,0.07722195982933044,2.3107831478118896,1717,-0.3403545320034027,32.78,391,0.003058314323425293,7000,0.0004
7099,681600,-0.13343986868858337,1.2002393007278442,2.788148880004883,1741,0.010476341471076012,42.72,391,0.0012230277061462402,7100,0.0004
7199,691200,-0.1651405543088913,0.6753705739974976,2.2744863033294678,1766,0.02848014608025551,31.77,391,0.0019080638885498047,7200,0.0004
7299,700800,-0.13838788866996765,0.8257569074630737,2.619868516921997,1792,-0.022537415847182274,32.15,391,0.0027067065238952637,7300,0.0004
7399,710400,-0.20022833347320557,1.092414379119873,2.1614623069763184,1817,0.005543427541851997,30.08,390,0.0011875033378601074,7400,0.0004
7499,720000,-0.14372605085372925,1.0834606885910034,2.9401028156280518,1842,0.009537646546959877,42.49,390,0.0010783076286315918,7500,0.0004
7599,729600,-0.1655566692352295,0.8727269172668457,2.393514633178711,1866,0.00011587391782086343,28.62,390,0.001961827278137207,7600,0.0004
7699,739200,-0.1478273570537567,0.8484591245651245,2.0929181575775146,1891,-0.025853708386421204,18.76,390,0.001272439956665039,7700,0.0004
7799,748800,-0.16027837991714478,0.3477456569671631,2.154317855834961,1916,0.023938320577144623,19.1,390,0.0023061037063598633,7800,0.0004
7899,758400,-0.17752721905708313,1.2038319110870361,2.405945301055908,1941,-0.055502064526081085,43.18,390,0.0015004873275756836,7900,0.0004
7999,768000,-0.16145752370357513,1.2371325492858887,2.0255379676818848,1965,0.14003610610961914,20.42,390,0.0008664727210998535,8000,0.0004
8099,777600,-0.1603856086730957,0.5899268984794617,2.638753652572632,1989,0.015742363408207893,31.05,390,0.0019702911376953125,8100,0.0004
8199,787200,-0.1811188906431198,1.0786676406860352,2.348670482635498,2014,0.04965168982744217,31.39,390,0.001078963279724121,8200,0.0004
8299,796800,-0.1569092571735382,0.9267700910568237,2.636751413345337,2037,-0.013248106464743614,53.47,391,0.00038874149322509766,8300,0.0004
8399,806400,-0.1524752974510193,1.9803107976913452,2.511216163635254,2063,0.032235633581876755,42.35,390,-2.8252601623535156e-05,8400,0.0004
8499,816000,-0.13920120894908905,0.10191994905471802,2.030470132827759,2089,-0.3134780824184418,21.35,390,-0.002148151397705078,8500,0.0004
8599,825600,-0.17790678143501282,1.6896686553955078,2.179340362548828,2114,-0.010594396851956844,19.58,390,0.00038105249404907227,8600,0.0004
8699,835200,-0.1524205505847931,0.1544238030910492,2.315095901489258,2140,0.021205445751547813,31.29,390,0.000980079174041748,8700,0.0004
8799,844800,-0.1227807030081749,0.8667182922363281,2.775254011154175,2164,-0.030359609052538872,55.14,390,0.0013633370399475098,8800,0.0004
8899,854400,-0.17749647796154022,0.8405611515045166,2.703648567199707,2189,-0.05616151541471481,41.61,390,0.001351475715637207,8900,0.0004
8999,864000,-0.14905530214309692,0.3159889280796051,2.417670488357544,2213,-0.028588399291038513,41.86,390,0.0011638998985290527,9000,0.0004
9099,873600,-0.18188932538032532,1.15329909324646,2.4504332542419434,2237,0.04698621481657028,31.63,390,-8.83340835571289e-05,9100,0.0004
9199,883200,-0.17302986979484558,0.001032126136124134,2.0296168327331543,2262,0.00656952103599906,19.41,390,-0.03056180477142334,9200,0.0004
9299,892800,-0.17310933768749237,1.0880731344223022,2.761014699935913,2286,0.015743091702461243,66.88,390,0.0016844868659973145,9300,0.0004
9399,902400,-0.1598280370235443,1.3057172298431396,2.0281660556793213,2312,-0.033545494079589844,18.65,390,0.001143336296081543,9400,0.0004
9499,912000,-0.1599808931350708,0.8378133177757263,2.2607405185699463,2338,-0.03337723761796951,41.94,389,0.0008384585380554199,9500,0.0004
9599,921600,-0.14634490013122559,0.018380166962742805,3.0211451053619385,2361,-0.054502975195646286,54.08,390,0.013582348823547363,9600,0.0004
9699,931200,-0.13370008766651154,0.6988867521286011,2.030996799468994,2385,-0.02054412290453911,29.79,390,0.0011954307556152344,9700,0.0004
9799,940800,-0.1588001698255539,0.7354410886764526,2.5510408878326416,2411,-0.008213928900659084,42.33,390,0.00135040283203125,9800,0.0004
9899,950400,-0.1563740223646164,0.9298574328422546,2.5031375885009766,2437,0.08200281858444214,42.16,389,0.0014927983283996582,9900,0.0004
9999,960000,-0.18490049242973328,0.4914797246456146,2.7142412662506104,2462,-0.03070072829723358,66.49,389,0.0026598572731018066,10000,0.0004
10099,969600,-0.19402459263801575,1.1360862255096436,2.3916449546813965,2487,-0.05127914994955063,41.85,389,0.0013204216957092285,10100,0.0004
10199,979200,-0.1727561205625534,1.2133196592330933,2.400679588317871,2512,0.004277649335563183,31.22,389,0.00027489662170410156,10200,0.0004
10299,988800,-0.2287576049566269,1.9225682020187378,2.449772357940674,2538,-0.03068455681204796,54.45,389,4.363059997558594e-05,10300,0.0004
10399,998400,-0.18143877387046814,1.447197437286377,2.143723726272583,2564,0.0006794768269173801,29.64,389,0.0008553266525268555,10400,0.0004
10499,1008000,-0.13198509812355042,1.2946680784225464,3.006929636001587,2589,-0.0027113507967442274,66.28,389,0.001675426959991455,10500,0.0004
10599,1017600,-0.13851580023765564,0.7972683310508728,2.8955142498016357,2614,0.015543470159173012,42.34,389,9.08970832824707e-05,10600,0.0004
10699,1027200,-0.18981187045574188,2.7757766246795654,2.3372888565063477,2639,-0.004596053622663021,31.56,389,0.0008502602577209473,10700,0.0004
10799,1036800,-0.21361827850341797,1.0449705123901367,3.284000873565674,2666,-0.031334783881902695,77.04,388,0.0006058216094970703,10800,0.0004
10899,1046400,-0.15952721238136292,0.8074375987052917,2.6189255714416504,2692,0.0624227449297905,42.98,388,0.0014756321907043457,10900,0.0004
10999,1056000,-0.15138685703277588,0.19998130202293396,2.378466844558716,2716,-0.030636098235845566,42.39,388,0.004828393459320068,11000,0.0004
11099,1065600,-0.15282413363456726,0.5412256717681885,2.750063419342041,2740,-0.01927250064909458,42.11,388,0.0014691352844238281,11100,0.0004
11199,1075200,-0.17280051112174988,1.7918493747711182,2.1958680152893066,2764,-0.00013278859842102975,33.12,388,0.001093149185180664,11200,0.0004
11299,1084800,-0.17488925158977509,1.2883098125457764,3.5376229286193848,2789,-0.05101857706904411,68.76,388,0.00015437602996826172,11300,0.0004
11399,1094400,-0.18038782477378845,1.4650444984436035,2.126262664794922,2814,-0.022055909037590027,17.9,388,0.0010187625885009766,11400,0.0004
11499,1104000,-0.2023162543773651,0.0017761125927791,2.162245035171509,2838,0.03882361203432083,42.52,388,-0.008230924606323242,11500,0.0004
11599,1113600,-0.1732402890920639,0.651968240737915,1.8686320781707764,2863,0.03184258192777634,16.73,388,0.0010074973106384277,11600,0.0004
11699,1123200,-0.1737002581357956,1.1555159091949463,2.7702324390411377,2889,0.015650857239961624,41.3,388,0.0021155476570129395,11700,0.0004
11799,1132800,-0.15091678500175476,0.930257260799408,2.2520623207092285,2915,-0.00461765518411994,31.0,388,0.0008150339126586914,11800,0.0004
11899,1142400,-0.17632798850536346,2.1406869888305664,2.122847080230713,2940,0.04568370804190636,20.75,388,0.0010573267936706543,11900,0.0004
11999,1152000,-0.1741618812084198,0.8376747369766235,2.468430280685425,2966,-0.024131139740347862,31.36,388,0.0016451478004455566,12000,0.0004
12099,1161600,-0.17998018860816956,0.1357540488243103,2.3644778728485107,2990,-0.017576882615685463,43.84,388,0.0033179521560668945,12100,0.0004
12199,1171200,-0.12553086876869202,0.36072397232055664,2.024883508682251,3016,-0.016895338892936707,17.83,388,0.0017830729484558105,12200,0.0004
12299,1180800,-0.15751460194587708,0.6934218406677246,2.122818946838379,3042,0.10900971293449402,30.55,388,0.0015698671340942383,12300,0.0004
12399,1190400,-0.1361289620399475,0.25581955909729004,2.3563365936279297,3066,-0.028993647545576096,30.59,388,0.0009427666664123535,12400,0.0004
12499,1200000,-0.1835206001996994,1.1085453033447266,2.6763994693756104,3090,0.03745202720165253,30.73,388,-0.0006108283996582031,12500,0.0004
12599,1209600,-0.17473554611206055,1.1232112646102905,2.1501517295837402,3115,0.035337574779987335,18.35,388,0.0005316734313964844,12600,0.0004
12699,1219200,-0.1694168895483017,0.9001354575157166,2.590038776397705,3139,0.017840903252363205,31.53,388,0.0014515519142150879,12700,0.0004
12799,1228800,-0.18015043437480927,0.785468578338623,2.117236852645874,3165,-0.04602611064910889,19.02,388,0.0005711913108825684,12800,0.0004
12899,1238400,-0.16625165939331055,0.7211315631866455,2.212958574295044,3190,-0.01969394087791443,31.72,388,0.0017301440238952637,12900,0.0004
12999,1248000,-0.16633042693138123,0.7452120780944824,2.1845617294311523,3215,0.041053853929042816,19.62,388,0.0024364590644836426,13000,0.0004
13099,1257600,-0.15838921070098877,0.6954952478408813,2.164736747741699,3239,-0.015267878770828247,32.44,388,0.0006957650184631348,13100,0.0004
13199,1267200,-0.15340760350227356,0.5447194576263428,2.0860157012939453,3264,0.0314011424779892,30.96,388,0.0019933581352233887,13200,0.0004
13299,1276800,-0.1641813963651657,1.0183905363082886,2.752514123916626,3289,-0.10905283689498901,65.5,388,-0.0001302957534790039,13300,0.0004
13399,1286400,-0.18686699867248535,1.8198773860931396,4.179210662841797,3314,0.0009458698332309723,79.75,388,0.0010561943054199219,13400,0.0004
13499,1296000,-0.18002158403396606,0.03551800176501274,2.2114009857177734,3339,0.021367205306887627,54.07,388,0.01750093698501587,13500,0.0004
13599,1305600,-0.12928204238414764,0.8023022413253784,2.0333428382873535,3364,-0.03879727050662041,18.42,388,0.0011205077171325684,13600,0.0004
