train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
339,-6.201394557952881,1194,0.18619794285714286,0.012700378894805908,522240,66.05,437,-0.8225929141044617,0.8246380686759949,340,0.0002814034285714285,-0.7482848167419434
359,-5.814038276672363,1265,0.18538605714285716,0.020634552463889122,552960,60.36,436,-0.8310256004333496,0.6300474405288696,360,0.0002803062857142857,-0.23598134517669678
379,-6.774232387542725,1337,0.18457417142857144,0.018850667402148247,583680,66.52,436,-0.818068265914917,0.9148653745651245,380,0.0002792091428571428,-0.5446425676345825
399,-7.097682952880859,1408,0.1837622857142857,0.016784198582172394,614400,73.49,436,-0.8241423964500427,0.6575244665145874,400,0.00027811199999999996,-0.2689645290374756
419,-7.0642828941345215,1481,0.1829504,0.024041807278990746,645120,71.68,435,-0.8236677646636963,0.8781392574310303,420,0.0002770148571428571,-0.26699376106262207
439,-6.102166175842285,1553,0.1821385142857143,0.01806873455643654,675840,59.82,435,-0.8292875289916992,0.8157534599304199,440,0.0002759177142857142,-0.32807445526123047
459,-6.154577732086182,1624,0.1813266285714286,0.018682491034269333,706560,65.74,434,-0.8255674242973328,0.8565406203269958,460,0.0002748205714285714,-0.10746288299560547
479,-5.531384468078613,1695,0.18051474285714286,0.014033220708370209,737280,58.47,434,-0.8231207728385925,0.7563165426254272,480,0.00027372342857142853,-0.37579238414764404
499,-6.792426109313965,1765,0.17970285714285716,0.027251509949564934,768000,71.14,434,-0.8214939832687378,0.7547626495361328,500,0.00027262628571428566,-0.3655228614807129
519,-6.072592735290527,1838,0.17889097142857144,0.013635331764817238,798720,59.69,434,-0.8174900412559509,0.8527209162712097,520,0.00027152914285714284,-0.12707233428955078
