#{"t_start": 1758894548.463411, "env_id": "None"}
r,l,t
6.383982,8,0.555203
11.259736,43,1.048051
3.679106,8,1.141476
30.069472,150,4.471737
6.264304,57,5.61357
3.866517,15,5.784288
6.306915,71,7.065903
4.294906,29,7.402649
4.261324,29,8.255114
4.051876,22,8.519741
4.824149,43,9.506274
5.261987,68,10.79699
4.658896,72,12.127057
6.297295,48,13.154078
3.064801,8,13.237853
144.829271,1500,42.090824
98.416037,1500,70.83023
5.22613,92,72.34009
4.035066,27,73.109731
2.95628,8,73.198763
3.434736,15,73.366417
3.197993,36,74.233609
71.913955,1207,97.18869
3.129619,15,97.882026
4.768244,85,99.41595
66.283418,998,119.300217
4.721424,78,120.89578
2.792953,10,121.026779
4.246103,57,122.32479
76.351968,1500,154.338578
2.932952,25,155.177053
4.989281,113,157.669026
54.472046,1010,178.561885
3.946407,43,179.623791
4.875448,106,182.244919
3.883327,57,183.533513
4.356453,85,185.164859
3.673805,36,185.639189
3.318822,15,186.361516
5.333913,70,187.805462
3.865721,50,189.009269
3.325143,15,189.188618
72.237236,1500,220.860913
68.237402,1464,251.172166
62.044408,1500,284.016405
