train/entropy_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,train/explained_variance
-0.25077754259109497,51200,497,99,102,411.18,1.9925333333333333,33.27391052246094,4.657724380493164,0.0003,100,0.023408912122249603,-3.409385681152344e-05
-0.2628844082355499,102400,494,199,207,411.08,1.9850666666666668,24.480703353881836,5.237211227416992,0.0003,200,0.01966414973139763,-3.886222839355469e-05
-0.2833901643753052,153600,494,299,310,398.57,1.9776,21.072206497192383,2.4491491317749023,0.0003,300,0.03684655576944351,-6.186962127685547e-05
-0.2714531123638153,204800,489,399,418,426.15,1.9701333333333333,20.771686553955078,4.328771591186523,0.0003,400,-0.02548367530107498,1.150369644165039e-05
-0.24783670902252197,256000,478,499,535,437.82,1.9626666666666668,20.929750442504883,2.4088993072509766,0.0003,500,-0.006677302531898022,-4.303455352783203e-05
-0.27138856053352356,307200,470,599,652,435.23,1.9552,20.2561092376709,1.6383275985717773,0.0003,600,0.045734405517578125,5.8650970458984375e-05
-0.2542709708213806,358400,465,699,770,462.24,1.9477333333333333,20.309694290161133,4.744638919830322,0.0003,700,0.049200259149074554,-1.3828277587890625e-05
-0.2669541835784912,409600,462,799,884,461.94,1.9402666666666666,20.312532424926758,2.7203140258789062,0.0003,800,0.04313536733388901,-8.058547973632812e-05
-0.26202550530433655,460800,463,899,994,391.25,1.9328,18.141929626464844,4.743282318115234,0.0003,900,0.028346028178930283,-3.814697265625e-06
-0.25850826501846313,512000,462,999,1106,439.72,1.9253333333333333,19.018415451049805,8.654727935791016,0.0003,1000,0.036896489560604095,2.002716064453125e-05
-0.29179859161376953,563200,463,1099,1216,382.17,1.9178666666666666,18.024614334106445,5.596994876861572,0.0003,1100,0.0007073101587593555,-5.555152893066406e-05
-0.28619635105133057,614400,463,1199,1324,385.08,1.9104,17.587305068969727,0.8628143668174744,0.0003,1200,0.02557656168937683,-0.00014162063598632812
-0.2613266110420227,665600,462,1299,1438,444.19,1.9029333333333334,19.39128875732422,4.143555641174316,0.0003,1300,-0.011571740731596947,-5.841255187988281e-06
-0.2546483278274536,716800,463,1399,1547,328.14,1.8954666666666666,16.214200973510742,4.546117305755615,0.0003,1400,0.02471703104674816,-2.110004425048828e-05
