train/learning_rate,train/value_loss,time/iterations,time/fps,time/time_elapsed,train/policy_loss,time/total_timesteps,train/n_updates,train/ent_coef,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance
0.0002990272,0.542587399482727,20,428,35,0.034540995955467224,15360,19,0.248976,-0.3776105046272278,63.86,2.2823586463928223,-0.0767890214920044
0.0002980032,0.40721333026885986,40,428,71,0.023227509111166,30720,39,0.247952,-0.37581193447113037,63.49,2.138080358505249,0.10307765007019043
0.00029697919999999996,0.5020979046821594,60,424,108,0.018537165597081184,46080,59,0.246928,-0.372127890586853,69.73,2.3964366912841797,-0.1354755163192749
0.0002959552,0.5287926197052002,80,403,152,0.03104865364730358,61440,79,0.245904,-0.367217481136322,59.34,1.9131114482879639,-0.207810640335083
0.00029493119999999997,0.4814862608909607,100,393,195,0.03923313319683075,76800,99,0.24488,-0.3560926914215088,53.35,1.8553651571273804,0.012045562267303467
0.0002939072,0.4489755630493164,120,388,237,0.03259139508008957,92160,119,0.243856,-0.3575293719768524,53.89,1.7946017980575562,-0.08285987377166748
0.0002928832,0.43907153606414795,140,391,274,0.009351236745715141,107520,139,0.242832,-0.3725880980491638,66.27,2.197279453277588,-0.04116547107696533
0.0002918592,0.6125144362449646,160,391,314,0.0060266731306910515,122880,159,0.241808,-0.36533159017562866,63.9,2.3192336559295654,0.04292851686477661
0.0002908352,0.5220065116882324,180,389,354,0.021533586084842682,138240,179,0.240784,-0.36271214485168457,62.73,2.3322863578796387,-0.08057296276092529
0.00028981119999999997,0.45775192975997925,200,392,391,0.017572402954101562,153600,199,0.23976,-0.370783269405365,60.22,2.1308515071868896,-0.07553243637084961
0.0002887872,0.3957650065422058,220,393,429,0.023534683510661125,168960,219,0.238736,-0.3674391508102417,67.98,2.313474416732788,0.08986252546310425
0.0002877632,0.5309478044509888,240,395,465,0.03365094214677811,184320,239,0.237712,-0.35920125246047974,62.89,2.2613213062286377,-0.050945281982421875
0.0002867392,0.40554529428482056,260,399,499,0.050094664096832275,199680,259,0.236688,-0.3634195029735565,56.15,2.0874996185302734,0.06998622417449951
0.0002857152,0.4585050046443939,280,402,534,0.03665219247341156,215040,279,0.235664,-0.3610960841178894,52.35,2.0551352500915527,-0.09284520149230957
0.0002846912,0.5793728828430176,300,403,571,0.03789364546537399,230400,299,0.23464000000000002,-0.36944228410720825,57.24,2.4240341186523438,-0.2256913185119629
0.0002836672,0.5369677543640137,320,403,608,0.03855627030134201,245760,319,0.233616,-0.36630988121032715,61.87,2.1943671703338623,-0.0017185211181640625
0.00028264319999999997,0.6735795736312866,340,404,645,0.029837865382432938,261120,339,0.232592,-0.34839844703674316,55.62,2.0362935066223145,-0.15455448627471924
0.0002816192,0.5178748965263367,360,404,683,0.04533439129590988,276480,359,0.231568,-0.37148603796958923,56.64,2.283214807510376,-0.15911495685577393
0.0002805952,0.5715786814689636,380,405,719,0.023596953600645065,291840,379,0.230544,-0.3653324544429779,53.52,1.9121278524398804,0.1318206787109375
0.0002795712,0.5525367259979248,400,406,755,0.03543195128440857,307200,399,0.22952,-0.3452787399291992,63.67,2.258626699447632,-0.032926201820373535
0.0002785472,0.4029667377471924,420,407,792,0.021536417305469513,322560,419,0.228496,-0.37827473878860474,60.08,2.1651527881622314,0.046812593936920166
0.00027752319999999997,0.49189555644989014,440,407,829,0.02268572524189949,337920,439,0.227472,-0.37127551436424255,58.25,2.034452199935913,0.03481745719909668
0.0002764992,0.7428203821182251,460,408,865,0.05036607384681702,353280,459,0.22644799999999998,-0.3626529574394226,55.84,2.0492029190063477,-0.048020362854003906
0.0002754752,0.5304124355316162,480,408,902,0.0353611558675766,368640,479,0.225424,-0.360483855009079,58.77,2.018284559249878,-0.0818943977355957
0.0002744512,0.42477744817733765,500,408,939,0.03438485413789749,384000,499,0.2244,-0.35354435443878174,61.51,2.226016044616699,0.17569851875305176
0.0002734272,0.610505998134613,520,408,976,0.03790442273020744,399360,519,0.223376,-0.381985068321228,55.68,2.338319778442383,0.0489313006401062
0.0002724032,0.506982147693634,540,408,1014,0.04187189042568207,414720,539,0.222352,-0.36072787642478943,68.64,2.4015867710113525,-0.10663676261901855
0.0002713792,0.439811646938324,560,408,1053,0.03671331703662872,430080,559,0.221328,-0.3584636449813843,64.54,2.0750250816345215,0.11934322118759155
0.00027035519999999997,0.3811917304992676,580,408,1090,0.018467672169208527,445440,579,0.220304,-0.36367785930633545,58.86,1.8186379671096802,-0.40140485763549805
0.0002693312,0.410838782787323,600,408,1127,0.011653190478682518,460800,599,0.21928,-0.37105417251586914,64.44,2.09110164642334,-0.06645369529724121
0.0002683072,0.5510174036026001,620,408,1164,0.02516588196158409,476160,619,0.218256,-0.3826487064361572,66.78,2.223464012145996,0.02083134651184082
0.0002672832,0.3615867495536804,640,409,1200,0.0359933003783226,491520,639,0.21723199999999998,-0.3585352599620819,57.37,1.7576661109924316,0.09255951642990112
0.0002662592,0.38310331106185913,660,409,1237,0.03240524232387543,506880,659,0.216208,-0.3741031587123871,59.13,1.913704514503479,0.10021644830703735
0.0002652352,0.4993366003036499,680,409,1274,0.03325279429554939,522240,679,0.215184,-0.3640739917755127,60.57,2.066019058227539,-0.024621248245239258
0.0002642112,0.5452573895454407,700,410,1310,0.0281720831990242,537600,699,0.21416,-0.3852865695953369,64.0,2.1202285289764404,0.031168460845947266
0.00026318719999999997,0.5291525721549988,720,410,1346,0.029856491833925247,552960,719,0.213136,-0.3597782552242279,58.17,2.158703565597534,0.04312247037887573
