train/n_updates,time/total_timesteps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,time/iterations,train/learning_rate
99,25600,-0.17728009819984436,2.365973472595215,2.5504188537597656,70,0.017307279631495476,41.96,362,0.000279843807220459,100,0.0002
199,51200,-0.1708689033985138,1.8238611221313477,2.505692720413208,139,0.003598649986088276,54.16,366,0.0011726021766662598,200,0.0002
299,76800,-0.18522369861602783,2.286762237548828,2.1631460189819336,209,-0.011731395497918129,32.97,365,0.0005383491516113281,300,0.0002
399,102400,-0.18291901051998138,2.2319722175598145,2.3027329444885254,279,-0.031054852530360222,30.36,366,0.0002700686454772949,400,0.0002
499,128000,-0.15276190638542175,2.2495813369750977,2.402003526687622,348,0.004490099847316742,41.4,367,0.0011765360832214355,500,0.0002
599,153600,-0.14378808438777924,0.759975254535675,3.0051629543304443,418,-0.0039404164999723434,54.71,367,0.0021725893020629883,600,0.0002
699,179200,-0.15963590145111084,13.449767112731934,2.1265242099761963,487,0.055301085114479065,31.61,367,-3.8743019104003906e-05,700,0.0002
799,204800,-0.16802266240119934,2.925736904144287,3.106295108795166,558,0.0514620766043663,89.24,366,0.0009710788726806641,800,0.0002
899,230400,-0.17863333225250244,3.107088565826416,2.1078310012817383,631,-0.03168490529060364,20.69,365,0.0001906752586364746,900,0.0002
999,256000,-0.17352283000946045,4.068283557891846,2.3279738426208496,699,-0.002446319442242384,42.63,365,0.00010114908218383789,1000,0.0002
1099,281600,-0.1545204520225525,0.8656222820281982,3.7601048946380615,770,0.004413699731230736,89.63,365,0.0020372867584228516,1100,0.0002
1199,307200,-0.1851353496313095,12.845053672790527,2.17807674407959,838,0.04420917108654976,32.22,366,0.0005435943603515625,1200,0.0002
1299,332800,-0.16913071274757385,3.266451835632324,2.03983211517334,911,0.045525290071964264,29.3,365,0.00031876564025878906,1300,0.0002
1399,358400,-0.1631356179714203,3.7423830032348633,2.317706823348999,982,0.138931006193161,29.47,364,-4.76837158203125e-07,1400,0.0002
1499,384000,-0.14970211684703827,2.104065418243408,2.1348090171813965,1052,0.0015401719138026237,31.01,365,0.0015776753425598145,1500,0.0002
1599,409600,-0.1601196974515915,1.2443504333496094,2.2299399375915527,1119,-0.03804928809404373,30.32,365,0.0010300874710083008,1600,0.0002
1699,435200,-0.16623371839523315,2.2970809936523438,2.5874881744384766,1187,-0.011289707385003567,31.62,366,0.000635683536529541,1700,0.0002
1799,460800,-0.16065523028373718,14.7819185256958,2.505488634109497,1259,-0.021009227260947227,31.27,365,0.00017219781875610352,1800,0.0002
1899,486400,-0.15049177408218384,1.6141562461853027,1.9630504846572876,1331,0.032289057970047,17.82,365,0.001971721649169922,1900,0.0002
1999,512000,-0.19314385950565338,1.4110548496246338,2.161046028137207,1401,-0.06647521257400513,32.47,365,0.0008835196495056152,2000,0.0002
2099,537600,-0.1660628318786621,1.5933254957199097,2.2383344173431396,1474,-0.010330782271921635,30.96,364,0.0004891157150268555,2100,0.0002
2199,563200,-0.17865797877311707,8.460840225219727,2.4367151260375977,1543,0.009313137270510197,43.12,364,-0.0005632638931274414,2200,0.0002
2299,588800,-0.14776849746704102,0.9085003137588501,2.053405284881592,1614,0.021035000681877136,19.4,364,0.0013442039489746094,2300,0.0002
2399,614400,-0.128467857837677,0.0460275337100029,2.668658971786499,1687,-0.0003192084841430187,43.19,364,0.00022393465042114258,2400,0.0002
2499,640000,-0.16138845682144165,0.8821249008178711,3.1643788814544678,1757,-0.02179352566599846,65.35,364,0.0017212629318237305,2500,0.0002
2599,665600,-0.1740649938583374,1.7137221097946167,2.7875638008117676,1827,0.05245141685009003,53.83,364,0.000335693359375,2600,0.0002
2699,691200,-0.17434096336364746,3.674457550048828,2.7873036861419678,1897,-0.014148464426398277,54.29,364,0.00040799379348754883,2700,0.0002
2799,716800,-0.16956652700901031,2.4506173133850098,2.1406874656677246,1969,0.04986255243420601,32.18,363,0.0008591413497924805,2800,0.0002
2899,742400,-0.17360354959964752,1.6279761791229248,2.0056052207946777,2041,-0.06460446119308472,28.65,363,0.0004178285598754883,2900,0.0002
2999,768000,-0.16422870755195618,8.382436752319336,2.1678171157836914,2112,0.03436797484755516,19.41,363,0.0004794001579284668,3000,0.0002
3099,793600,-0.1713722050189972,5.2378621101379395,2.5081872940063477,2181,-0.03433278575539589,41.5,363,-0.0001074075698852539,3100,0.0002
3199,819200,-0.15201377868652344,1.8795716762542725,2.1310019493103027,2252,0.02079448476433754,18.74,363,0.0005894303321838379,3200,0.0002
3299,844800,-0.1661510020494461,2.597036123275757,2.083966016769409,2323,0.008902065455913544,31.16,363,0.001131594181060791,3300,0.0002
3399,870400,-0.17172081768512726,1.977231740951538,1.9922791719436646,2392,-0.020082077011466026,18.17,363,0.00034159421920776367,3400,0.0002
3499,896000,-0.16115853190422058,2.374872922897339,2.1148250102996826,2462,-0.017971746623516083,18.9,363,0.0006830096244812012,3500,0.0002
3599,921600,-0.15887999534606934,1.4107426404953003,2.2275431156158447,2530,0.01357283629477024,30.95,364,0.0009091496467590332,3600,0.0002
3699,947200,-0.15608090162277222,0.8712761402130127,2.4385297298431396,2598,-0.00420707231387496,30.44,364,0.0016765594482421875,3700,0.0002
3799,972800,-0.1557408720254898,1.9785019159317017,2.0880074501037598,2667,-0.0007298588752746582,30.16,364,0.001299738883972168,3800,0.0002
3899,998400,-0.15108710527420044,9.671892166137695,1.982944369316101,2738,-0.043532513082027435,18.67,364,-0.00014197826385498047,3900,0.0002
3999,1024000,-0.15207627415657043,1.1213569641113281,2.411855697631836,2810,-0.024897053837776184,29.45,364,0.002113521099090576,4000,0.0002
4099,1049600,-0.14879828691482544,6.867321014404297,2.064938545227051,2882,0.06697344779968262,19.91,364,0.0002155303955078125,4100,0.0002
4199,1075200,-0.1670631617307663,2.8166279792785645,2.469067096710205,2952,0.009448201395571232,30.49,364,0.0012084245681762695,4200,0.0002
