#{"t_start": 1759458751.0432272, "env_id": "None"}
r,l,t
-0.907848,8,0.526628
-2.790942,23,0.715584
-16.442087,175,2.185807
-16.924589,126,4.522612
-0.607848,7,4.581611
-11.605051,175,7.287909
-23.849891,175,8.791474
-0.5,2,8.815031
-1.363533,14,8.926601
-2.132137,81,11.114906
-0.5,2,11.12434
-3.722789,62,11.634086
-3.307848,16,11.757487
-16.767338,172,14.418357
-1.207848,9,14.488997
-1.507848,10,14.560511
-0.607848,7,14.623546
-0.5,2,14.64163
-1.507848,10,14.721313
-0.763533,12,14.817704
-6.805443,175,16.285708
-1.621645,32,17.81082
-0.907848,8,17.874307
-2.407848,13,17.983895
-6.349297,95,18.817588
-2.865747,27,19.039145
-20.121058,175,21.913127
-9.655847,129,23.011173
-8.129744,117,25.305997
-16.074119,162,26.634246
-6.188258,50,28.354912
-1.507848,10,28.442405
0.181921,14,28.554979
-2.368079,23,28.732456
-0.5,2,28.754266
-5.271382,105,29.690579
-0.607848,7,29.75117
-14.170966,121,32.133811
-11.310631,81,32.820404
-0.307848,6,32.87084
-0.5,2,32.887441
-2.407848,13,32.987879
-0.5,2,33.006297
-1.507848,10,33.088598
-15.194631,135,35.587224
-23.061464,175,37.077363
-0.5,2,37.088879
-0.907848,8,37.155655
-1.207848,9,37.239391
-0.907848,8,37.309867
-17.008169,175,40.147611
-8.350002,175,42.835883
-7.688258,55,43.271379
-0.5,2,43.286882
-10.439844,61,43.775377
-0.5,2,43.793889
-30.036692,175,46.439468
-10.731409,175,49.158327
-0.5,2,49.17749
-1.207848,9,49.251935
-18.266707,175,50.742841
-8.468296,175,53.503251
-0.5,2,53.519053
-0.5,2,53.538517
-6.248206,53,53.983505
-2.107848,12,54.091169
-0.5,2,54.108
-4.920367,76,56.014755
-0.5,2,56.027904
-17.09384,131,57.10487
-0.5,2,57.11955
-20.555118,175,59.912872
-12.285488,149,61.15977
-0.5,2,61.175803
-12.379201,175,63.916193
-0.907848,8,63.983114
-0.5,2,64.002597
-0.5,2,64.016058
-0.907848,8,64.085088
-10.568495,89,66.135893
-14.899884,139,67.286288
-2.563533,18,67.442543
-13.74627,175,70.378153
-0.5,2,70.391191
-0.5,2,70.413679
-6.662819,69,70.998594
-19.344328,175,73.670768
-21.971355,175,75.10187
-0.907848,8,76.471385
-23.498091,159,77.778063
-1.507848,10,77.870184
-7.029219,145,80.465962
-12.205697,175,81.937107
-11.013818,84,83.977099
-12.291128,136,85.081068
-13.408736,126,87.4625
-12.789828,175,88.88877
-12.637767,147,91.401373
-0.5,2,91.411712
-11.612587,93,92.199106
-0.5,2,92.215794
-0.5,2,92.232465
-2.107848,12,92.334428
-21.507034,175,95.107624
-11.341418,143,97.670056
-4.663533,25,97.877427
-13.396883,164,99.243851
-0.5,2,99.261926
-0.607848,7,99.310746
-11.383579,148,101.815588
-22.591865,175,104.581647
-1.207848,9,104.658676
-10.30988,175,106.111128
-16.204779,175,109.392376
-7.206153,60,110.112172
-21.382307,172,113.168583
-13.704605,175,116.025176
-0.5,2,116.05653
-0.5,2,116.079841
-0.007848,5,116.125015
-13.101451,138,117.690966
-4.937322,53,119.667318
-25.559091,175,121.102741
-19.011866,175,123.851942
-9.346513,141,125.192447
-0.868079,18,126.882589
-1.3671,25,127.166327
-17.337376,175,128.874773
-0.5,2,128.898853
-0.5,2,128.905848
-14.556829,175,131.763688
-10.407434,88,132.47289
-12.118251,122,134.752549
-12.787666,175,137.449747
-0.907848,8,137.528054
-11.162296,65,138.05971
-0.907848,8,138.131636
-0.5,2,138.147986
-0.5,2,138.163974
-0.5,2,138.173733
-6.859434,75,138.802128
-10.304342,147,141.352995
-0.5,2,141.372812
-0.907848,8,141.434855
-0.5,2,141.451393
-6.20879,76,142.099304
-0.974838,33,142.361398
-2.707848,14,142.480364
-1.438338,18,142.633784
-0.307848,6,142.680051
-14.376241,175,145.400104
-11.206518,94,146.186557
-9.422934,68,148.043297
-0.5,2,148.059942
-0.5,2,148.075944
-1.507848,10,148.152987
-2.107848,12,148.262875
-0.907848,8,148.329901
-0.607848,7,148.391352
-18.354378,167,149.785425
-22.97455,175,152.613021
-0.907848,8,152.683657
-0.607848,7,152.7511
-1.9671,29,153.028062
-5.312554,33,153.330951
-2.107848,12,153.432215
-3.007848,15,154.879652
-1.207848,9,154.954407
-18.935097,145,156.177478
-0.907848,8,156.240452
-7.130259,85,158.25064
-1.507848,10,158.330939
-17.126874,175,159.779084
-22.474608,175,162.775309
-12.402812,169,165.567176
-7.605436,50,165.976467
-4.482853,44,166.350117
-0.307848,6,166.399998
-0.307848,6,166.458873
-2.563533,18,166.610345
-18.691599,175,169.471775
-0.5,2,169.491926
-16.29162,164,170.876911
-17.399394,175,173.657029
-14.891638,175,176.481808
-0.907848,8,176.556486
-0.907848,8,176.624716
-14.826711,175,179.417696
-2.107848,12,179.523118
-1.207848,9,179.602961
-1.963533,16,179.765313
