rollout/ep_rew_mean,train/ent_coef,train/value_loss,rollout/ep_len_mean,time/iterations,train/learning_rate,time/total_timesteps,time/fps,train/explained_variance,time/time_elapsed,train/n_updates,train/entropy_loss,train/policy_loss
-0.9399916529655457,0.247696,0.8372243642807007,53.333333333333336,3,0.00029846399999999997,2304,457,0.10327690839767456,5,2,-0.6646702885627747,0.011824307963252068
-0.713462769985199,0.245392,0.43993446230888367,45.96666666666667,6,0.00029616,4608,434,0.08844941854476929,10,5,-0.6637051105499268,0.009751561097800732
-0.6138027906417847,0.243088,0.6374289989471436,53.17,9,0.000293856,6912,421,-0.33420276641845703,16,8,-0.668510377407074,-0.0027434811927378178
-0.5842112898826599,0.240784,0.5456606149673462,62.27,12,0.000291552,9216,420,0.0006646513938903809,21,11,-0.6645627617835999,0.024025484919548035
-0.5130808353424072,0.23848,0.5929890871047974,68.42,15,0.000289248,11520,421,0.14699476957321167,27,14,-0.6672293543815613,0.00452917767688632
-0.5426920056343079,0.236176,0.6853122711181641,65.43,18,0.00028694399999999997,13824,420,-0.03855538368225098,32,17,-0.6688209772109985,0.01417262852191925
-0.737282395362854,0.233872,0.7121340036392212,62.88,21,0.00028464,16128,418,-0.006821632385253906,38,20,-0.6647053360939026,0.008937656879425049
-0.759395956993103,0.231568,0.5877203941345215,61.77,24,0.000282336,18432,416,0.1574341058731079,44,23,-0.6684379577636719,0.013348656706511974
-0.768603503704071,0.229264,0.5260992050170898,60.14,27,0.000280032,20736,414,0.0025348663330078125,50,26,-0.6682273745536804,-0.007277217693626881
-0.8205280900001526,0.22696,0.4244110584259033,69.33,30,0.000277728,23040,411,0.17604267597198486,55,29,-0.6678587794303894,0.008821235969662666
-0.7084745764732361,0.224656,0.4221211373806,72.16,33,0.00027542399999999997,25344,409,0.05794036388397217,61,32,-0.6672372817993164,0.0026469118893146515
-0.43759286403656006,0.222352,0.6438950896263123,57.74,36,0.00027312,27648,409,-0.026760220527648926,67,35,-0.6687568426132202,0.007572684437036514
-0.41421371698379517,0.220048,0.47171342372894287,42.07,39,0.000270816,29952,408,0.039419353008270264,73,38,-0.666764497756958,-0.0007524981047026813
-0.4656260013580322,0.217744,0.6297560930252075,49.25,42,0.000268512,32256,408,-0.11348235607147217,78,41,-0.6683244705200195,0.000822781294118613
-0.5299334526062012,0.21544,0.4917464256286621,52.14,45,0.000266208,34560,410,0.0907168984413147,84,44,-0.6657859086990356,0.01565435342490673
-0.5555288195610046,0.213136,0.6924718618392944,52.82,48,0.00026390399999999997,36864,411,-0.029596328735351562,89,47,-0.6692551970481873,0.01487761177122593
-0.5329463481903076,0.210832,0.4941723346710205,57.92,51,0.0002616,39168,412,0.14317452907562256,94,50,-0.666339635848999,0.0012781135737895966
-0.46534648537635803,0.208528,0.798884391784668,48.81,54,0.000259296,41472,414,-0.04401135444641113,100,53,-0.666148841381073,0.017702026292681694
-0.3570537865161896,0.206224,0.4801289439201355,38.11,57,0.000256992,43776,412,-0.007076740264892578,106,56,-0.6654656529426575,0.02851831540465355
-0.23327118158340454,0.20392,0.5467432737350464,45.79,60,0.000254688,46080,408,0.17782467603683472,112,59,-0.6656242609024048,0.009838948026299477
-0.36603304743766785,0.201616,0.5101169943809509,51.62,63,0.000252384,48384,404,-0.1335434913635254,119,62,-0.6645130515098572,-0.017799988389015198
