train/learning_rate,train/explained_variance,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/policy_loss,train/entropy_loss,time/total_timesteps,time/iterations,train/value_loss
0.0003,-4.38690185546875e-05,1.9925333333333333,442,115,216.29,99,19.821367263793945,0.10335208475589752,-0.2740185856819153,51200,100,9.425851821899414
0.0003,-0.00011932849884033203,1.9850666666666668,447,228,196.68,199,14.6881103515625,0.04610525816679001,-0.2602817416191101,102400,200,2.6982054710388184
0.0003,-0.00011432170867919922,1.9776,448,342,107.15,299,8.84070873260498,0.02802360989153385,-0.27310317754745483,153600,300,5.847633361816406
0.0003,-4.9114227294921875e-05,1.9701333333333333,443,461,210.85,399,13.950636863708496,0.02818739414215088,-0.30860042572021484,204800,400,5.057478904724121
0.0003,-7.903575897216797e-05,1.9626666666666668,443,577,207.98,499,12.426523208618164,0.02662861905992031,-0.2602607011795044,256000,500,3.7683327198028564
0.0003,-7.224082946777344e-05,1.9552,445,690,160.45,599,10.646042823791504,0.0410192534327507,-0.2697729468345642,307200,600,5.170886993408203
0.0003,-9.97781753540039e-05,1.9477333333333333,446,803,149.39,699,9.410027503967285,0.03486886993050575,-0.25406599044799805,358400,700,5.465052127838135
0.0003,-2.9802322387695312e-05,1.9402666666666666,446,917,135.88,799,9.306326866149902,0.04326876252889633,-0.27791422605514526,409600,800,5.010424613952637
0.0003,-0.00013184547424316406,1.9328,447,1029,117.93,899,8.849008560180664,0.06478334963321686,-0.2719705402851105,460800,900,2.734809160232544
0.0003,-0.0001138448715209961,1.9253333333333333,447,1143,287.44,999,15.935037612915039,0.010349174961447716,-0.304879367351532,512000,1000,2.553709030151367
0.0003,-4.2438507080078125e-05,1.9178666666666666,448,1255,138.81,1099,9.152032852172852,0.01878518797457218,-0.2950485944747925,563200,1100,2.009927272796631
0.0003,-6.473064422607422e-05,1.9104,448,1369,202.35,1199,12.711840629577637,0.06058940291404724,-0.27638503909111023,614400,1200,3.748166084289551
0.0003,-4.9114227294921875e-05,1.9029333333333334,448,1482,213.13,1299,12.419310569763184,0.02121947705745697,-0.2574777901172638,665600,1300,5.72552490234375
0.0003,1.0132789611816406e-06,1.8954666666666666,449,1596,167.11,1399,10.381745338439941,0.0929960235953331,-0.2274795025587082,716800,1400,4.538161754608154
0.0003,-0.00012576580047607422,1.888,449,1708,204.83,1499,12.938098907470703,0.012940052896738052,-0.2633872628211975,768000,1500,2.6502161026000977
0.0003,-0.00021314620971679688,1.8805333333333334,449,1820,108.7,1599,8.586041450500488,-0.002398075070232153,-0.28230422735214233,819200,1600,1.5617854595184326
0.0003,1.9073486328125e-05,1.8730666666666667,449,1934,171.39,1699,10.830055236816406,0.03321791812777519,-0.2566208243370056,870400,1700,3.077334403991699
0.0003,-0.00014710426330566406,1.8656,450,2046,224.07,1799,12.749811172485352,0.005074618384242058,-0.26071345806121826,921600,1800,3.557300567626953
0.0003,3.5762786865234375e-06,1.8581333333333334,450,2159,127.72,1899,9.210835456848145,0.0076363058760762215,-0.25660765171051025,972800,1900,3.377403497695923
0.0003,-2.193450927734375e-05,1.8506666666666667,450,2273,156.23,1999,9.288640975952148,0.049033522605895996,-0.22634150087833405,1024000,2000,6.465872764587402
0.0003,-0.000385284423828125,1.8432,450,2388,195.01,2099,11.127686500549316,0.037754520773887634,-0.2516065835952759,1075200,2100,1.4242970943450928
0.0003,-5.555152893066406e-05,1.8357333333333332,450,2502,189.17,2199,11.451799392700195,0.058043479919433594,-0.3065660893917084,1126400,2200,4.686838150024414
0.0003,-7.49826431274414e-05,1.8282666666666667,449,2618,147.75,2299,9.483312606811523,0.05308476462960243,-0.24066951870918274,1177600,2300,2.5409417152404785
0.0003,-8.71419906616211e-05,1.8208,449,2734,124.78,2399,8.453381538391113,0.06074485182762146,-0.2601209878921509,1228800,2400,2.8230514526367188
0.0003,2.2470951080322266e-05,1.8133333333333332,448,2852,162.06,2499,10.153619766235352,0.05042281746864319,-0.2731974422931671,1280000,2500,7.847445964813232
0.0003,-0.00016510486602783203,1.8058666666666667,448,2968,173.46,2599,10.793342590332031,0.01508412417024374,-0.2737419307231903,1331200,2600,4.683071136474609
0.0003,-2.396106719970703e-05,1.7984,448,3084,177.16,2699,10.977904319763184,0.020628491416573524,-0.2456713318824768,1382400,2700,2.460480213165283
