rollout/ep_rew_mean,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,time/iterations,train/learning_rate,train/policy_loss,train/ent_coef,train/value_loss,time/fps,time/time_elapsed
-8.603228569030762,-0.00508880615234375,380.36,14,-0.43204352259635925,61440,15,0.0002,-0.008185308426618576,0.39557632000000004,0.7985217571258545,514,119
-7.401808261871338,-0.005318284034729004,341.4,29,-0.41797155141830444,122880,30,0.0002,-0.004180755000561476,0.39115264,0.7561213374137878,512,239
-6.043261528015137,-0.004128575325012207,335.9,44,-0.4267679750919342,184320,45,0.0002,-0.0003824906889349222,0.38672896,1.0664739608764648,501,367
-9.5325345993042,-0.005821943283081055,416.47,59,-0.43086493015289307,245760,60,0.0002,-0.0005587912164628506,0.38230528,1.0506508350372314,501,490
-7.7655558586120605,-0.004176139831542969,386.53,74,-0.4268442392349243,307200,75,0.0002,-0.00288357469253242,0.37788160000000004,1.2554295063018799,498,615
-9.358709335327148,-0.006106019020080566,393.92,89,-0.4324718713760376,368640,90,0.0002,-0.013006017543375492,0.37345792,0.7046158313751221,499,738
-5.0030107498168945,-0.004693031311035156,314.93,104,-0.442247599363327,430080,105,0.0002,-0.011305151507258415,0.36903424,1.8768900632858276,499,861
-6.941628932952881,-0.004286050796508789,349.19,119,-0.43271133303642273,491520,120,0.0002,-0.0050256336107850075,0.36461056000000003,0.7416712045669556,498,985
-8.393413543701172,-0.004050016403198242,390.04,134,-0.43228062987327576,552960,135,0.0002,-0.005577825475484133,0.36018688000000004,1.0386013984680176,498,1109
-9.586034774780273,-0.004700660705566406,417.25,149,-0.4408893287181854,614400,150,0.0002,0.0026823258958756924,0.3557632,0.887730062007904,497,1233
-9.574328422546387,-0.0026100873947143555,409.59,164,-0.43774986267089844,675840,165,0.0002,-0.004113332834094763,0.35133952,1.0659375190734863,497,1357
-8.167703628540039,-0.006981968879699707,386.4,179,-0.4328017830848694,737280,180,0.0002,-0.01201523095369339,0.34691584000000003,0.5848594307899475,498,1480
-9.797372817993164,-0.0034596920013427734,421.83,194,-0.43070971965789795,798720,195,0.0002,-0.00390965212136507,0.34249216000000005,1.2336597442626953,498,1602
-5.986013889312744,-0.0033965110778808594,337.3,209,-0.42403799295425415,860160,210,0.0002,-0.005777934566140175,0.33806848,1.2863385677337646,497,1728
-9.31314468383789,-0.004683136940002441,395.1,224,-0.4214988946914673,921600,225,0.0002,-0.004307097755372524,0.3336448,1.0903189182281494,497,1852
-10.390899658203125,-0.004064202308654785,417.98,239,-0.4356933832168579,983040,240,0.0002,-0.0033594174310564995,0.32922112000000003,1.4112014770507812,496,1980
-4.785511016845703,-0.005117058753967285,328.79,254,-0.4314436912536621,1044480,255,0.0002,-0.01346217468380928,0.32479744,0.6648880243301392,496,2102
-10.6563720703125,-0.0033637285232543945,412.7,269,-0.43160051107406616,1105920,270,0.0002,-0.007395748980343342,0.32037376,1.0807794332504272,496,2225
-5.664937973022461,-0.006647706031799316,332.88,284,-0.4246988892555237,1167360,285,0.0002,-0.0058908527716994286,0.31595008,0.7544010281562805,497,2347
-9.165290832519531,-0.0029355287551879883,414.36,299,-0.44157055020332336,1228800,300,0.0002,-0.00979551114141941,0.3115264,1.0587396621704102,497,2470
-5.530179023742676,-0.003702521324157715,328.25,314,-0.4290350377559662,1290240,315,0.0002,-0.009705928154289722,0.30710272,1.8014588356018066,497,2592
-7.021430015563965,-0.004780888557434082,385.79,329,-0.42799580097198486,1351680,330,0.0002,-0.011107904836535454,0.30267904,1.0007655620574951,497,2716
-8.458582878112793,-0.005365729331970215,379.47,344,-0.4255639910697937,1413120,345,0.0002,-0.012629801407456398,0.29825536,0.6287034153938293,497,2840
-5.4640607833862305,-0.003962278366088867,341.37,359,-0.42994412779808044,1474560,360,0.0002,-0.005567400716245174,0.29383168000000004,0.9857903718948364,497,2962
-6.791380405426025,-0.004418373107910156,359.8,374,-0.4357337951660156,1536000,375,0.0002,-0.0052482024766504765,0.289408,0.799214243888855,497,3086
-7.591574668884277,-0.0037959814071655273,352.67,389,-0.4256308972835541,1597440,390,0.0002,-0.017400866374373436,0.28498432,0.7691032290458679,497,3210
-9.721291542053223,-0.004277825355529785,415.55,404,-0.4386681616306305,1658880,405,0.0002,-0.007630897220224142,0.28056064000000003,1.227434754371643,497,3332
-10.733257293701172,-0.003912210464477539,412.45,419,-0.43085017800331116,1720320,420,0.0002,-0.009288382716476917,0.27613696,0.6573983430862427,497,3458
-10.863729476928711,-0.0050841569900512695,428.89,434,-0.4232284426689148,1781760,435,0.0002,-0.008827432990074158,0.27171328,1.2984144687652588,497,3584
-7.480531215667725,-0.004901528358459473,363.26,449,-0.4363822937011719,1843200,450,0.0002,-0.004280025139451027,0.2672896,0.8827707767486572,497,3707
-8.477038383483887,-0.004251241683959961,398.84,464,-0.4343391954898834,1904640,465,0.0002,-0.0042199548333883286,0.26286592,0.8709158301353455,497,3830
-6.782742500305176,-0.003898024559020996,354.98,479,-0.42025500535964966,1966080,480,0.0002,-0.010459430515766144,0.25844224,0.8386696577072144,497,3953
-6.806497573852539,-0.006663918495178223,360.19,494,-0.4230007827281952,2027520,495,0.0002,-0.010257212445139885,0.25401856,0.6923590302467346,497,4075
-8.748722076416016,-0.004914522171020508,361.28,509,-0.42122942209243774,2088960,510,0.0002,-0.004256539046764374,0.24959488000000002,0.8457700610160828,497,4202
-5.392731189727783,-0.005516171455383301,336.66,524,-0.4186858534812927,2150400,525,0.0002,-0.009288003668189049,0.2451712,0.6263309717178345,496,4327
-11.511897087097168,-0.004527688026428223,429.77,539,-0.4364643096923828,2211840,540,0.0002,-0.014588246122002602,0.24074752000000002,1.0293874740600586,497,4450
-4.524445056915283,-0.004247784614562988,315.57,554,-0.43659406900405884,2273280,555,0.0002,-0.0026994594372808933,0.23632384,0.7262510657310486,496,4576
-8.091288566589355,-0.003987550735473633,375.58,569,-0.4375205338001251,2334720,570,0.0002,0.005492892116308212,0.23190016,1.1318883895874023,496,4699
-9.326562881469727,-0.00377655029296875,401.75,584,-0.43417179584503174,2396160,585,0.0002,-0.009831998497247696,0.22747648,0.9698266386985779,496,4824
-10.384682655334473,-0.002792835235595703,395.48,599,-0.4297656714916229,2457600,600,0.0002,0.008551758714020252,0.2230528,1.5743978023529053,496,4949
-7.8685173988342285,-0.008472442626953125,375.05,614,-0.43164217472076416,2519040,615,0.0002,-0.008622315712273121,0.21862911999999998,0.35365861654281616,496,5074
-7.4195475578308105,-0.002890467643737793,346.17,629,-0.4340983033180237,2580480,630,0.0002,-0.012824341654777527,0.21420544,1.4726999998092651,496,5197
-7.375516414642334,-0.0053070783615112305,378.08,644,-0.4343523681163788,2641920,645,0.0002,-0.008740358054637909,0.20978176,0.892723560333252,496,5320
-5.594339370727539,-0.00480341911315918,348.6,659,-0.4205312132835388,2703360,660,0.0002,-0.007209716364741325,0.20535807999999997,0.9576525688171387,496,5446
-9.552932739257812,-0.0038449764251708984,428.75,674,-0.4260130226612091,2764800,675,0.0002,-0.000423965509980917,0.20093439999999999,1.247270107269287,496,5569
-5.061505317687988,-0.007390379905700684,327.61,689,-0.4207557439804077,2826240,690,0.0002,-0.0021546019706875086,0.19651072,0.3587002158164978,496,5693
-9.825421333312988,-0.004209280014038086,417.21,704,-0.4380883574485779,2887680,705,0.0002,-0.003690156154334545,0.19208704,1.0725449323654175,496,5817
-9.053524017333984,-0.0046808719635009766,394.26,719,-0.44277846813201904,2949120,720,0.0002,-0.007541574537754059,0.18766336,1.856194257736206,496,5943
-7.8393449783325195,-0.005636811256408691,355.69,734,-0.4327559471130371,3010560,735,0.0002,-0.007698989473283291,0.18323968000000002,1.233867883682251,496,6067
-9.387832641601562,-0.0034754276275634766,362.19,749,-0.43245747685432434,3072000,750,0.0002,-0.004111672751605511,0.178816,0.7151678800582886,496,6191
-8.26402473449707,-0.005265474319458008,390.94,764,-0.42896896600723267,3133440,765,0.0002,0.004032183438539505,0.17439232,0.8718994855880737,496,6317
-14.002257347106934,-0.003756284713745117,476.06,779,-0.4293944537639618,3194880,780,0.0002,-0.016707483679056168,0.16996864,1.516193151473999,495,6441
-8.286112785339355,-0.006414651870727539,380.83,794,-0.4207892417907715,3256320,795,0.0002,-0.022513587027788162,0.16554496000000002,0.7581812143325806,495,6566
-10.635882377624512,-0.003480076789855957,400.0,809,-0.44588255882263184,3317760,810,0.0002,-0.011559722013771534,0.16112127999999998,1.1908106803894043,495,6693
-8.89197063446045,-0.004298686981201172,400.88,824,-0.43286192417144775,3379200,825,0.0002,-0.009068284183740616,0.1566976,0.8952952027320862,495,6817
-10.487831115722656,-0.004911065101623535,428.03,839,-0.4394659698009491,3440640,840,0.0002,-0.011234059929847717,0.15227392,1.1464968919754028,495,6939
-5.761778354644775,-0.005502581596374512,352.71,854,-0.4310672879219055,3502080,855,0.0002,-0.001430997159332037,0.14785023999999997,1.0861421823501587,495,7065
-9.227751731872559,-0.0042160749435424805,404.04,869,-0.4297449290752411,3563520,870,0.0002,-0.003294348018243909,0.14342655999999998,0.6336394548416138,495,7189
-7.269869327545166,-0.005973219871520996,349.93,884,-0.43227624893188477,3624960,885,0.0002,-0.0010727224871516228,0.13900288,0.8745187520980835,495,7312
-8.451884269714355,-0.0025709867477416992,371.5,899,-0.43942534923553467,3686400,900,0.0002,-0.007342714350670576,0.13457919999999995,1.0003926753997803,495,7439
-9.245448112487793,-0.003949642181396484,428.67,914,-0.436520516872406,3747840,915,0.0002,-0.0032695720437914133,0.13015551999999997,1.0488636493682861,495,7563
-7.8033599853515625,-0.0075713396072387695,410.05,929,-0.427945077419281,3809280,930,0.0002,-0.014267613179981709,0.12573183999999998,0.5824961066246033,495,7683
-8.883332252502441,-0.005652785301208496,391.64,944,-0.4316446781158447,3870720,945,0.0002,-0.007150555960834026,0.12130815999999994,0.7445747256278992,495,7809
-7.181980133056641,-0.004253506660461426,368.78,959,-0.4333733320236206,3932160,960,0.0002,-0.0030658619944006205,0.11688447999999996,1.4401394128799438,495,7931
-8.155021667480469,-0.005290508270263672,366.9,974,-0.42808598279953003,3993600,975,0.0002,-0.008082454092800617,0.11246079999999997,0.6500532627105713,495,8053
-6.855661392211914,-0.006157279014587402,387.27,989,-0.4305548071861267,4055040,990,0.0002,-0.0059112985618412495,0.10803711999999999,0.7067798376083374,495,8180
-7.284049034118652,-0.0051621198654174805,348.98,1004,-0.43348193168640137,4116480,1005,0.0002,0.004685801453888416,0.10361344,0.7054836750030518,495,8302
-11.333514213562012,-0.004665255546569824,411.39,1019,-0.4320893883705139,4177920,1020,0.0002,-0.004422254394739866,0.09918976000000002,1.3717586994171143,495,8426
-8.223101615905762,-0.004089474678039551,393.47,1034,-0.4334123730659485,4239360,1035,0.0002,-0.006627699360251427,0.09476607999999997,0.8895130157470703,495,8550
-8.80729866027832,-0.0029257535934448242,406.28,1049,-0.4259670376777649,4300800,1050,0.0002,-0.008375272154808044,0.09034239999999999,1.403508186340332,495,8673
-8.429947853088379,-0.004566550254821777,372.15,1064,-0.43289026618003845,4362240,1065,0.0002,-0.0019019772298634052,0.08591872,1.1390929222106934,495,8800
-7.861617565155029,-0.0043315887451171875,379.17,1079,-0.44234710931777954,4423680,1080,0.0002,-0.003581864293664694,0.08149504000000002,0.7055434584617615,495,8926
-10.218851089477539,-0.0032802820205688477,383.26,1094,-0.42543619871139526,4485120,1095,0.0002,-0.0023958655074238777,0.07707135999999998,0.7925726771354675,495,9051
-6.701694965362549,-0.00485384464263916,362.59,1109,-0.42745721340179443,4546560,1110,0.0002,-0.006667885463684797,0.07264767999999999,0.7056580781936646,495,9177
-9.011544227600098,-0.004004240036010742,399.89,1124,-0.43303030729293823,4608000,1125,0.0002,-0.0039418102242052555,0.068224,1.2615625858306885,495,9300
-9.68496322631836,-0.004457235336303711,426.96,1139,-0.4293181896209717,4669440,1140,0.0002,-0.015481721609830856,0.06380031999999997,1.0378895998001099,495,9424
-7.445562362670898,-0.005995035171508789,377.08,1154,-0.434185266494751,4730880,1155,0.0002,-0.011047286912798882,0.05937663999999998,1.2255257368087769,495,9547
-11.147431373596191,-0.003797769546508789,435.08,1169,-0.43617773056030273,4792320,1170,0.0002,-0.003665672382339835,0.054952959999999995,1.1462619304656982,495,9670
-9.20057201385498,-0.0047997236251831055,392.48,1184,-0.43535691499710083,4853760,1185,0.0002,-0.0036845761351287365,0.05052928000000001,0.7505487203598022,495,9791
-7.239043712615967,-0.0030879974365234375,358.69,1199,-0.43294036388397217,4915200,1200,0.0002,-0.021113552153110504,0.04610559999999997,1.1716097593307495,495,9913
-7.916688919067383,-0.00469815731048584,384.65,1214,-0.42352116107940674,4976640,1215,0.0002,-0.01627367176115513,0.04168191999999998,0.738084077835083,495,10037
