time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,train/learning_rate,train/explained_variance,train/n_updates,train/policy_loss,train/value_loss,train/entropy_loss
1,8,60.56896551724138,458,-2.2950093746185303,0.49772672,4096,,,,,,
2,25,52.49,323,-2.2215933799743652,0.49545344,8192,0.0002987712,0.0314946174621582,1,0.013745813630521297,1.4197362661361694,-0.6653449535369873
3,40,48.14,304,-2.105990409851074,0.49318016,12288,0.00029754239999999995,0.06641209125518799,2,0.008577023632824421,1.13704252243042,-0.6652461290359497
4,53,59.08,303,-2.2594854831695557,0.49090688,16384,0.00029631359999999997,0.05076003074645996,3,0.01207389123737812,1.0717074871063232,-0.6660357117652893
5,67,56.66,305,-2.0262839794158936,0.4886336,20480,0.0002950848,0.06126868724822998,4,0.015817109495401382,1.0466604232788086,-0.6677560806274414
6,80,60.63,304,-2.2615575790405273,0.48636032,24576,0.000293856,0.03975629806518555,5,0.014354615472257137,0.9580193758010864,-0.6662077903747559
7,94,46.6,303,-2.000192880630493,0.48408704,28672,0.00029262719999999996,0.06791365146636963,6,0.012538408860564232,1.1198430061340332,-0.6661627292633057
8,108,53.65,302,-2.108272075653076,0.48181376,32768,0.0002913984,0.0438685417175293,7,0.004071295261383057,0.9596970677375793,-0.6672589778900146
9,123,64.86,298,-2.071335792541504,0.47954048,36864,0.00029016959999999994,0.13983041048049927,8,0.01560119353234768,1.0087002515792847,-0.6655635237693787
10,137,54.04,297,-1.7966549396514893,0.4772672,40960,0.00028894079999999996,0.08986556529998779,9,0.007484065368771553,0.9296461343765259,-0.6676206588745117
11,151,45.59,296,-1.7184094190597534,0.47499392,45056,0.00028771199999999997,0.03720003366470337,10,0.011269099079072475,1.006174087524414,-0.6665697693824768
12,167,58.61,294,-1.9543315172195435,0.47272064,49152,0.0002864832,-0.03466308116912842,11,0.011088919825851917,1.0366450548171997,-0.6669125556945801
13,185,54.79,287,-1.9704978466033936,0.47044736,53248,0.0002852544,0.01455003023147583,12,0.005445207469165325,0.9795485138893127,-0.6665010452270508
14,199,52.0,287,-1.9457513093948364,0.46817408,57344,0.00028402559999999997,-0.007932662963867188,13,0.010085854679346085,0.9925448894500732,-0.6667510867118835
15,213,66.03,288,-2.4424681663513184,0.4659008,61440,0.0002827968,0.09432005882263184,14,0.009450491517782211,1.0885357856750488,-0.6666399836540222
16,226,46.79,289,-2.0730559825897217,0.46362752,65536,0.00028156799999999994,0.06480509042739868,15,0.008947158232331276,1.0579618215560913,-0.6667888164520264
17,239,52.12,290,-2.075961112976074,0.46135424,69632,0.00028033919999999996,-0.018310070037841797,16,0.012365937232971191,1.1426891088485718,-0.6670731902122498
18,252,48.98,291,-2.0204737186431885,0.45908096,73728,0.0002791104,0.1063573956489563,17,0.016664572060108185,1.0040408372879028,-0.6669337749481201
19,268,59.06,289,-2.121734619140625,0.45680768,77824,0.0002778816,0.0909087061882019,18,0.009934594854712486,1.057651162147522,-0.6660362482070923
20,283,61.2,288,-2.297104597091675,0.4545344,81920,0.00027665279999999995,-0.010185956954956055,19,0.00813201628625393,0.9781742095947266,-0.6677242517471313
21,297,62.26,288,-2.2113656997680664,0.45226112,86016,0.00027542399999999997,0.03439444303512573,20,0.007953993044793606,1.1163370609283447,-0.6667668223381042
22,311,60.5,289,-1.9767364263534546,0.44998784000000003,90112,0.0002741952,0.07373052835464478,21,0.0054007163271307945,0.9966316819190979,-0.6665513515472412
23,325,55.92,289,-2.0112452507019043,0.44771456,94208,0.00027296639999999995,0.07726705074310303,22,0.0032262858003377914,1.0110864639282227,-0.6678241491317749
24,338,52.97,290,-1.9474738836288452,0.44544128,98304,0.00027173759999999996,0.07859092950820923,23,0.011024798266589642,1.0268827676773071,-0.6684740781784058
25,352,54.05,290,-1.9610460996627808,0.443168,102400,0.0002705088,0.0639997124671936,24,0.005766811780631542,1.003382921218872,-0.6681838631629944
26,365,51.6,291,-1.9112401008605957,0.44089472,106496,0.00026928,0.013664066791534424,25,0.01298113539814949,1.038130760192871,-0.6678420305252075
27,379,41.54,291,-1.8292328119277954,0.43862144000000003,110592,0.00026805119999999996,-0.027845025062561035,26,0.012261285446584225,1.0512984991073608,-0.6669200658798218
28,395,47.06,290,-2.0252864360809326,0.43634816,114688,0.0002668224,0.044347941875457764,27,0.0031012077815830708,1.1486108303070068,-0.6676901578903198
29,410,59.46,289,-2.226672410964966,0.43407488,118784,0.0002655936,0.01586204767227173,28,0.01138541754335165,1.0710582733154297,-0.6673824787139893
30,426,62.62,288,-2.191770553588867,0.4318016,122880,0.00026436479999999995,0.058099567890167236,29,0.009201121516525745,0.9909247159957886,-0.6677231788635254
31,440,51.2,287,-2.0736539363861084,0.42952831999999996,126976,0.00026313599999999997,0.0009056925773620605,30,0.01214844360947609,1.0311682224273682,-0.665935754776001
32,454,47.22,288,-2.0213615894317627,0.42725504000000003,131072,0.0002619072,0.08252567052841187,31,0.008135762065649033,1.1113297939300537,-0.6656898260116577
33,468,57.83,288,-2.225327491760254,0.42498176,135168,0.0002606784,-0.05177724361419678,32,0.0006605498492717743,1.0379244089126587,-0.6684256792068481
34,481,56.19,288,-2.1021926403045654,0.42270848,139264,0.00025944959999999996,0.056246280670166016,33,0.004869165830314159,1.0200704336166382,-0.6672041416168213
35,495,51.29,289,-1.8813327550888062,0.4204352,143360,0.0002582208,0.09212565422058105,34,0.002928636036813259,1.071210265159607,-0.6671831011772156
36,509,56.93,289,-2.148374557495117,0.41816191999999996,147456,0.00025699199999999994,0.047553956508636475,35,0.01892891526222229,1.07525634765625,-0.6660131216049194
37,524,41.12,288,-1.828553318977356,0.41588864000000003,151552,0.00025576319999999996,0.010535120964050293,36,0.011214231140911579,1.0907082557678223,-0.668215274810791
38,538,43.5,289,-1.7000458240509033,0.41361536,155648,0.0002545344,0.0019060969352722168,37,0.016178041696548462,1.0699115991592407,-0.6667040586471558
39,553,46.33,288,-2.0411171913146973,0.41134208,159744,0.0002533056,0.04084360599517822,38,0.008653217926621437,0.9971184134483337,-0.6675304174423218
40,566,46.69,289,-1.9758038520812988,0.4090688,163840,0.0002520768,0.046892523765563965,39,0.008132059127092361,1.0762619972229004,-0.6665495038032532
41,581,55.82,288,-2.009467363357544,0.40679552,167936,0.00025084799999999997,0.03360390663146973,40,0.007728923577815294,1.1540031433105469,-0.6679039001464844
42,595,51.41,288,-1.9170422554016113,0.40452224000000003,172032,0.0002496192,0.09262526035308838,41,0.012081189081072807,1.0490539073944092,-0.6672338247299194
43,611,59.73,287,-2.205657482147217,0.40224896,176128,0.00024839039999999995,0.03625613451004028,42,0.008164117112755775,0.977912425994873,-0.6674906015396118
44,628,58.3,286,-2.2425806522369385,0.39997568,180224,0.00024716159999999996,0.0686953067779541,43,0.009487006813287735,1.0573348999023438,-0.6670329570770264
45,642,61.89,286,-2.1482863426208496,0.3977024,184320,0.0002459328,0.10689592361450195,44,0.006273732986301184,1.0599194765090942,-0.6667135953903198
46,655,58.64,287,-2.0228192806243896,0.39542912,188416,0.000244704,0.0697445273399353,45,0.012860958464443684,0.9887711405754089,-0.6657742261886597
47,669,63.57,287,-2.2279746532440186,0.39315584000000003,192512,0.00024347519999999998,0.023873209953308105,46,0.007975348271429539,0.9727650880813599,-0.6678104400634766
48,682,41.99,287,-1.8471068143844604,0.39088256,196608,0.00024224639999999997,0.014704406261444092,47,0.007342054508626461,0.9894489049911499,-0.667259156703949
