train/explained_variance,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,train/policy_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/value_loss,time/iterations,time/fps
0.014256477355957031,19,-0.6606923341751099,81920,0.00019901422933333335,0.011870300397276878,254,122.61,-3.549623966217041,0.24863493973333334,0.3218076229095459,20,321
-0.22586381435394287,39,-0.6624513268470764,163840,0.000197976576,0.009239349514245987,522,121.49,-3.4288039207458496,0.24726987946666668,0.35637202858924866,40,313
-0.11592447757720947,59,-0.6606912016868591,245760,0.00019693892266666667,0.013670947402715683,788,116.44,-3.439237356185913,0.2459048192,0.35210710763931274,60,311
-0.19975614547729492,79,-0.661532461643219,327680,0.00019590126933333334,0.009110871702432632,1051,127.97,-3.374314308166504,0.24453975893333332,0.3675750494003296,80,311
-0.23637330532073975,99,-0.6614067554473877,409600,0.000194863616,0.01013050228357315,1320,125.08,-3.2510793209075928,0.24317469866666666,0.3480333685874939,100,310
-0.06693089008331299,119,-0.6620054841041565,491520,0.0001938259626666667,0.014906255528330803,1587,125.45,-3.4730162620544434,0.2418096384,0.3516240119934082,120,309
-0.23329460620880127,139,-0.6619694232940674,573440,0.00019278830933333336,0.015764981508255005,1857,116.62,-3.2464654445648193,0.24044457813333334,0.4039006233215332,140,308
-0.0677499771118164,159,-0.6627075672149658,655360,0.000191750656,0.013466035015881062,2124,124.15,-3.3796985149383545,0.23907951786666667,0.3868899643421173,160,308
-0.05119514465332031,179,-0.6608160138130188,737280,0.00019071300266666668,0.016417207196354866,2399,123.86,-3.412202835083008,0.2377144576,0.31975626945495605,180,307
-0.20334887504577637,199,-0.6601732969284058,819200,0.00018967534933333333,0.01907390169799328,2674,135.01,-3.7422139644622803,0.23634939733333332,0.3654829263687134,200,306
-0.043744564056396484,219,-0.6617551445960999,901120,0.000188637696,0.007521681487560272,2948,122.93,-3.611642837524414,0.23498433706666666,0.36059489846229553,220,305
-0.11552870273590088,239,-0.660548985004425,983040,0.00018760004266666667,0.012784378603100777,3221,120.15,-3.652773857116699,0.2336192768,0.35580894351005554,240,305
-0.1986854076385498,259,-0.6620025038719177,1064960,0.00018656238933333335,0.014811815693974495,3493,126.74,-3.6737701892852783,0.23225421653333334,0.3511267304420471,260,304
-0.1526569128036499,279,-0.6612755060195923,1146880,0.00018552473600000002,0.016888760030269623,3767,117.0,-3.262845039367676,0.23088915626666667,0.3259233236312866,280,304
-0.3270862102508545,299,-0.6616507768630981,1228800,0.00018448708266666667,0.007839385420084,4041,115.88,-3.2523860931396484,0.229524096,0.3658803105354309,300,304
-0.011178970336914062,319,-0.6611322164535522,1310720,0.00018344942933333334,0.006546081509441137,4312,120.94,-3.478713035583496,0.22815903573333332,0.3286513686180115,320,303
-0.11854934692382812,339,-0.6625686883926392,1392640,0.00018241177600000002,0.015217745676636696,4585,124.4,-3.481611967086792,0.22679397546666666,0.3466300070285797,340,303
0.015408098697662354,359,-0.6616239547729492,1474560,0.00018137412266666666,0.005781844258308411,4862,116.5,-3.6085727214813232,0.2254289152,0.32165592908859253,360,303
-0.1168971061706543,379,-0.6613176465034485,1556480,0.00018033646933333334,0.018928756937384605,5136,122.74,-3.3241982460021973,0.22406385493333333,0.3234120011329651,380,303
-0.13115262985229492,399,-0.6619657874107361,1638400,0.000179298816,0.00961262546479702,5411,120.45,-3.449289321899414,0.22269879466666667,0.3297189474105835,400,302
-0.12799763679504395,419,-0.6604559421539307,1720320,0.00017826116266666668,0.011763581074774265,5685,124.09,-3.3004672527313232,0.2213337344,0.3661819398403168,420,302
-0.1519557237625122,439,-0.6618183851242065,1802240,0.00017722350933333336,0.01729157567024231,5953,136.71,-3.929274082183838,0.21996867413333332,0.3654877841472626,440,302
-0.13784873485565186,459,-0.6597165465354919,1884160,0.00017618585600000003,0.012782345525920391,6214,129.29,-3.8477182388305664,0.21860361386666666,0.3680034875869751,460,303
-0.06357836723327637,479,-0.6619216203689575,1966080,0.00017514820266666668,0.007757528685033321,6473,118.59,-3.506307601928711,0.2172385536,0.36543670296669006,480,303
-0.07360899448394775,499,-0.661202073097229,2048000,0.00017411054933333335,0.017385365441441536,6733,125.07,-3.757406711578369,0.21587349333333333,0.3287642002105713,500,304
-0.16830003261566162,519,-0.6609496474266052,2129920,0.000173072896,0.014824370853602886,6994,113.79,-3.337013006210327,0.21450843306666667,0.41623085737228394,520,304
-0.04305219650268555,539,-0.6617271900177002,2211840,0.00017203524266666667,0.010377653874456882,7257,118.63,-3.5173637866973877,0.2131433728,0.3763444423675537,540,304
-0.0670323371887207,559,-0.6604361534118652,2293760,0.00017099758933333334,0.01718529686331749,7516,116.02,-3.4604220390319824,0.21177831253333335,0.3793259859085083,560,305
-0.058943867683410645,579,-0.6616309881210327,2375680,0.000169959936,0.021613089367747307,7778,130.6,-3.608334541320801,0.21041325226666666,0.34394827485084534,580,305
-0.13258039951324463,599,-0.6614803075790405,2457600,0.00016892228266666666,0.005304453428834677,8040,126.33,-3.680291175842285,0.209048192,0.36448121070861816,600,305
-0.07960236072540283,619,-0.6597251892089844,2539520,0.00016788462933333334,0.019083671271800995,8300,123.35,-3.521174430847168,0.20768313173333333,0.3297019600868225,620,305
-0.18128299713134766,639,-0.6613079309463501,2621440,0.000166846976,0.01293974183499813,8562,119.0,-3.5171072483062744,0.20631807146666667,0.3603283166885376,640,306
-0.1379026174545288,659,-0.6618015766143799,2703360,0.00016580932266666669,0.008414476178586483,8823,128.05,-3.270843505859375,0.2049530112,0.3598877191543579,660,306
