rollout/ep_rew_mean,train/ent_coef,train/entropy_loss,time/fps,time/iterations,train/n_updates,time/total_timesteps,train/learning_rate,train/value_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,train/explained_variance
-1.0324431657791138,0.248464,-0.6691302061080933,410,30,29,23040,0.00029851519999999997,0.425620436668396,75.18,56,0.01428641751408577,0.204179048538208
-0.17218747735023499,0.246928,-0.6650537848472595,424,60,59,46080,0.00029697919999999996,0.5803297758102417,38.27,108,0.015108276158571243,0.18881714344024658
-0.6905030012130737,0.245392,-0.6677605509757996,435,90,89,69120,0.00029544319999999996,0.5022808313369751,52.22,158,0.00803077220916748,0.07995045185089111
-0.6764553189277649,0.243856,-0.6666027903556824,439,120,119,92160,0.0002939072,0.6294485330581665,53.48,209,-0.0002843861875589937,-0.011321187019348145
-0.5681436657905579,0.24232,-0.6665621995925903,444,150,149,115200,0.0002923712,0.5486828684806824,50.48,259,-0.0067366948351264,0.08379566669464111
-0.26449528336524963,0.240784,-0.6652956008911133,440,180,179,138240,0.0002908352,0.5319039821624756,40.53,313,0.008482257835566998,0.017491519451141357
-0.6627299785614014,0.239248,-0.670487642288208,439,210,209,161280,0.0002892992,0.4987785816192627,55.11,367,0.006581473164260387,0.024471819400787354
-0.635738730430603,0.237712,-0.6700577735900879,435,240,239,184320,0.0002877632,0.5696501731872559,53.95,423,-0.0022876611910760403,-0.11276865005493164
-0.48821890354156494,0.236176,-0.6675236225128174,432,270,269,207360,0.00028622719999999997,0.7287184000015259,60.72,478,0.01770590990781784,-0.08363664150238037
-0.690542995929718,0.23464000000000002,-0.6680349111557007,433,300,299,230400,0.0002846912,0.56202232837677,48.92,531,-0.0012768054148182273,-0.021796703338623047
-0.5169400572776794,0.233104,-0.6668953895568848,432,330,329,253440,0.0002831552,0.5331202745437622,50.69,586,-0.00024458207190036774,0.0749579668045044
-0.5020191073417664,0.231568,-0.6673324108123779,432,360,359,276480,0.0002816192,0.5707685351371765,45.98,638,0.011302413418889046,-0.2762336730957031
-0.6482356786727905,0.23003200000000001,-0.6675643920898438,432,390,389,299520,0.0002800832,0.549611508846283,69.44,692,0.02167334407567978,0.04430776834487915
-0.45935437083244324,0.228496,-0.6667553782463074,432,420,419,322560,0.0002785472,0.3620700240135193,56.51,745,0.023160872980952263,0.1245274543762207
-0.5303274393081665,0.22696,-0.6675806045532227,433,450,449,345600,0.0002770112,0.4957750737667084,51.21,796,0.015159237198531628,-0.04130113124847412
-0.6160871982574463,0.225424,-0.6683735847473145,434,480,479,368640,0.0002754752,0.6626467704772949,57.9,848,0.0018402760615572333,0.03012382984161377
-0.5278313159942627,0.223888,-0.6689642667770386,432,510,509,391680,0.0002739392,0.5198817849159241,57.52,904,-0.0003568229149095714,-0.11836206912994385
-0.5507781505584717,0.222352,-0.669974684715271,433,540,539,414720,0.0002724032,0.5125924944877625,50.51,955,-0.01013826485723257,0.028207361698150635
-0.26457932591438293,0.220816,-0.6671164035797119,434,570,569,437760,0.0002708672,0.6193211674690247,53.17,1008,0.01644204370677471,0.00913769006729126
-0.5396227836608887,0.21928,-0.6653563380241394,433,600,599,460800,0.0002693312,0.5492298007011414,51.44,1062,0.013374874368309975,0.0005385279655456543
-0.483068585395813,0.217744,-0.6652799844741821,433,630,629,483840,0.0002677952,0.6466258764266968,57.43,1116,0.014312513172626495,0.008424937725067139
-0.5331263542175293,0.216208,-0.6677632331848145,433,660,659,506880,0.0002662592,0.5848286151885986,47.61,1168,0.009958498179912567,0.10758697986602783
-0.4791291058063507,0.214672,-0.6668392419815063,434,690,689,529920,0.0002647232,0.516139030456543,48.58,1220,0.01587941311299801,0.14113366603851318
-0.7532566785812378,0.213136,-0.66629958152771,434,720,719,552960,0.00026318719999999997,0.5693039298057556,53.36,1273,0.01290261372923851,0.0901186466217041
-0.314998596906662,0.2116,-0.6689051389694214,434,750,749,576000,0.00026165119999999997,0.7951045036315918,41.98,1325,-0.0042665875516831875,-0.10258662700653076
-0.6392149925231934,0.210064,-0.6664480566978455,434,780,779,599040,0.00026011519999999996,0.661206841468811,53.21,1378,0.009980075061321259,0.16321587562561035
-0.4720023274421692,0.208528,-0.6675924062728882,434,810,809,622080,0.0002585792,0.48686107993125916,49.66,1430,-0.003690344048663974,-0.08831441402435303
-0.7398127913475037,0.206992,-0.6671414375305176,435,840,839,645120,0.0002570432,0.56694495677948,58.45,1483,0.007267160341143608,-0.13496780395507812
-0.4489341974258423,0.205456,-0.668596625328064,435,870,869,668160,0.0002555072,0.4923703074455261,41.68,1535,0.019153330475091934,-0.09838211536407471
-0.6569913625717163,0.20392,-0.6664259433746338,435,900,899,691200,0.0002539712,0.5602666139602661,48.72,1588,-0.0022371772211045027,0.05988335609436035
-0.7222744822502136,0.202384,-0.6669999957084656,434,930,929,714240,0.0002524352,0.6246497631072998,61.08,1643,0.010602744296193123,-0.12223994731903076
-0.6412625908851624,0.200848,-0.6681193709373474,434,960,959,737280,0.0002508992,0.577102541923523,55.32,1697,0.012929452583193779,0.024870574474334717
-0.5990342497825623,0.199312,-0.6644330024719238,433,990,989,760320,0.00024936319999999996,0.6024602651596069,55.66,1752,0.004639213439077139,0.16525453329086304
-0.6776928901672363,0.197776,-0.6657306551933289,434,1020,1019,783360,0.0002478272,0.5843551754951477,59.2,1804,0.00806430820375681,-0.003676295280456543
-0.5079494118690491,0.19624,-0.6687660217285156,434,1050,1049,806400,0.0002462912,0.6765720248222351,53.55,1857,0.00239500286988914,0.07064658403396606
