#{"t_start": 1759521088.486507, "env_id": "None"}
r,l,t
-1.130795,175,3.407019
-0.2,2,3.433835
-0.2,2,3.457413
-1.00128,129,5.474512
-1.249521,41,5.865527
-5.040228,175,8.884635
-1.843018,76,9.626106
-3.119986,175,12.814826
-0.262923,7,12.883651
-0.262923,7,12.951747
-0.2,2,12.970474
-5.526454,175,15.671755
-0.2,2,15.698514
-1.979655,175,18.073726
0.154219,40,19.145381
-0.262923,7,19.215959
-0.2,2,19.233623
-0.2,2,19.258144
-1.542839,95,20.898264
-0.2,2,20.918801
1.275507,137,22.9548
-0.2,2,22.974759
