#{"t_start": 1759521088.3451571, "env_id": "None"}
r,l,t
-0.362923,8,0.939074
-2.526443,87,1.790119
-3.111418,175,5.235354
-0.2,2,5.257137
-0.156657,175,7.596795
-0.362923,8,7.676645
-0.2,2,7.69443
-0.2,2,7.716076
-0.462923,9,7.805661
-0.262923,7,7.872604
-0.2,2,7.893989
-3.01001,175,10.959851
-0.262923,7,11.035779
-0.562923,10,11.134335
-0.462923,9,11.227286
0.365284,17,11.401438
-0.162923,6,11.460943
-0.86783,175,13.98751
-0.865133,154,17.124463
-4.922318,175,19.500522
-0.145012,175,21.925065
