#{"t_start": 1759521088.3279688, "env_id": "None"}
r,l,t
-1.755586,123,2.135917
-0.2,2,2.156294
-0.362923,8,3.10753
-0.2,2,3.129015
-2.670805,175,5.652606
-1.876574,28,5.923782
-0.662923,11,6.024065
-0.2,2,6.040977
-1.163863,42,7.108658
-0.2,2,7.12874
-0.062923,5,7.176621
-1.95912,85,7.986661
-0.2,2,8.004802
-0.2,2,8.023765
0.265284,18,8.193185
-0.2,2,8.213129
0.678445,113,9.995664
-0.062923,5,10.04354
-0.2,2,10.064436
-0.462923,9,10.145747
-0.2,2,10.163518
-0.262923,7,10.919094
-0.562923,10,11.031765
-1.934716,26,11.296401
-0.162923,6,11.352911
-3.406187,175,13.867029
-0.2,2,13.889344
-4.471135,175,17.245612
-2.019137,175,19.623996
-1.629833,175,22.063245
