train/n_updates,time/total_timesteps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,time/iterations,train/learning_rate
99,12800,-0.17485269904136658,1.799405574798584,2.8698806762695312,36,-0.010924231261014938,42.43,351,0.001499474048614502,100,0.0003
199,25600,-0.1601637601852417,3.539714813232422,2.5504188537597656,74,-0.08606132864952087,41.96,344,-2.9087066650390625e-05,200,0.0003
299,38400,-0.1480041742324829,0.6658365726470947,2.736868381500244,109,-0.01767716184258461,53.17,351,0.0004413723945617676,300,0.0003
399,51200,-0.1543498933315277,2.7976951599121094,2.505692720413208,143,-0.061487480998039246,54.16,355,0.0009254217147827148,400,0.0003
499,64000,-0.1600060760974884,0.9634882807731628,2.396249771118164,179,-0.06988709419965744,44.74,355,0.0009303689002990723,500,0.0003
599,76800,-0.20869797468185425,2.3286266326904297,2.1631460189819336,216,-0.04819536954164505,32.97,354,0.0005100369453430176,600,0.0003
699,89600,-0.14512506127357483,0.7596930861473083,2.6828131675720215,252,-0.014165838249027729,56.09,354,0.0014085769653320312,700,0.0003
799,102400,-0.16152462363243103,1.6138725280761719,2.3027329444885254,287,-0.009602531790733337,30.36,356,0.0004927515983581543,800,0.0003
899,115200,-0.17173168063163757,1.3734328746795654,3.0005013942718506,324,-0.026851626113057137,65.93,354,0.0012428760528564453,900,0.0003
999,128000,-0.127740740776062,0.2108331322669983,2.402003526687622,358,-0.02668248862028122,41.4,357,0.004191398620605469,1000,0.0003
1099,140800,-0.17508800327777863,3.863269090652466,2.7610440254211426,395,-0.006166380364447832,31.67,355,-2.6464462280273438e-05,1100,0.0003
1199,153600,-0.13534948229789734,0.2773483991622925,3.0051629543304443,433,-0.01327250711619854,54.71,354,0.0037963390350341797,1200,0.0003
1299,166400,-0.14707109332084656,2.9177441596984863,2.128721237182617,468,0.011351631954312325,30.16,355,5.751848220825195e-05,1300,0.0003
1399,179200,-0.1764046549797058,3.9928736686706543,2.1265242099761963,505,0.017698366194963455,31.61,354,-3.063678741455078e-05,1400,0.0003
1499,192000,-0.16471754014492035,1.1173505783081055,2.21451473236084,542,0.003774696961045265,19.2,353,0.0011532306671142578,1500,0.0003
1599,204800,-0.19128412008285522,1.9194278717041016,3.106295108795166,578,-0.11381798982620239,89.24,353,6.705522537231445e-05,1600,0.0003
1699,217600,-0.15399077534675598,1.3578553199768066,2.6001996994018555,615,0.06568841636180878,28.89,353,0.0015685558319091797,1700,0.0003
1799,230400,-0.19675147533416748,0.7460312843322754,2.1078310012817383,650,-0.024071278050541878,20.69,353,0.0003319978713989258,1800,0.0003
1899,243200,-0.16230276226997375,2.6476831436157227,2.5428409576416016,687,-0.019854584708809853,33.12,353,0.0011845827102661133,1900,0.0003
1999,256000,-0.16328176856040955,1.9553111791610718,2.3279738426208496,722,-0.0034775291569530964,42.63,354,0.00010150671005249023,2000,0.0003
2099,268800,-0.1829950511455536,0.9452332258224487,2.604965925216675,758,0.05915822833776474,33.6,354,0.0024302005767822266,2100,0.0003
