#{"t_start": 1759585016.811761, "env_id": "None"}
r,l,t
1.689292,87,3.09764
-0.923387,53,4.143217
-3.618959,175,6.892406
-1.803156,32,7.333064
-2.805757,174,16.636831
-5.193983,166,18.999962
-2.894414,132,21.269001
-6.35959,175,24.266374
-3.446586,108,31.710809
-2.229774,175,34.195301
-3.819855,50,34.907269
-6.776884,175,37.40208
-4.721748,172,45.072963
-1.962488,90,46.358756
-4.087098,105,47.862989
-2.474146,175,50.394038
-6.389148,175,58.390646
-5.544079,175,61.006642
0.982347,19,61.291105
-4.76858,175,69.133599
-1.308827,72,70.072966
-2.58379,29,70.467775
-5.945634,175,72.979775
-2.215247,99,74.363086
1.061094,30,74.778642
-1.393108,76,75.859878
-4.483922,174,89.420437
-4.100357,175,93.556087
-4.336683,70,94.643821
-5.158178,175,102.541366
-0.049478,83,103.742192
-6.011787,175,106.195998
-7.06725,175,108.649675
-0.628043,106,115.050195
-7.462549,175,117.394575
-3.12122,95,118.692343
-3.463094,143,125.72893
-1.884394,64,126.551053
-4.039437,141,128.363853
-4.255428,175,130.751047
0.207301,43,131.369778
-1.967031,77,132.448649
-5.78417,141,139.303219
-6.325032,175,141.720485
-4.089754,170,144.086785
-6.625819,175,151.356443
0.284407,51,152.028529
0.098904,69,152.968332
-7.908893,175,155.376774
-5.610176,175,163.03013
-6.764589,175,165.455192
-0.836703,108,166.984209
-5.355953,161,174.640798
-1.319209,61,175.474018
-4.404134,175,177.973578
-5.472936,175,180.565879
0.65833,72,186.900279
-6.3621,175,189.153488
-2.208827,71,190.107424
-8.295455,175,192.563293
-3.721241,175,200.390498
-1.837209,73,201.405113
-2.017653,17,201.658005
-3.058781,175,204.093263
-3.252312,175,211.973142
-3.397388,151,214.072958
-0.22923,51,214.808335
-0.47881,38,215.350892
-1.074009,14,215.554544
-5.022602,175,218.089025
-4.870065,144,225.212071
-8.69753,175,227.662734
-3.638719,175,230.172101
-0.221535,112,237.023771
-4.004655,175,239.419237
-1.96397,175,241.906473
-7.048239,175,249.796965
-1.374009,17,250.03444
-3.386176,135,251.896731
0.484407,59,252.738661
-4.822317,175,255.275455
-3.245687,99,262.133765
-4.074203,175,264.553353
-9.141297,159,266.857184
-1.282163,175,274.632466
-2.965769,115,276.251695
-4.419855,56,277.039186
-6.974726,175,279.534664
-3.588901,156,287.249061
-4.435605,175,289.624829
-2.680902,94,290.967553
-5.509638,175,293.499375
-1.160607,57,294.33668
-1.074009,14,299.877443
-0.985753,110,301.361608
-1.88255,53,302.098022
-2.842078,135,304.104268
0.636197,72,305.143925
-7.01453,175,313.014305
-3.113031,135,314.906864
-5.054891,175,317.412606
-2.474009,28,317.810629
-1.252958,175,325.710646
-5.315519,175,328.345014
-3.657044,142,330.421561
-1.490565,52,331.172287
-2.866981,102,332.650398
-4.689415,175,340.355345
-4.335913,175,342.854163
-4.912287,79,344.006988
-6.851824,175,351.939286
-2.361266,175,354.474199
-1.623219,106,356.032347
-5.473549,152,363.539574
-0.368003,66,364.441588
-0.381533,150,366.577872
-1.277069,70,367.584947
-5.57007,125,369.405611
-4.31719,175,377.261641
-2.761754,175,379.771286
-3.77711,175,382.356659
-5.859602,175,390.287991
0.653016,149,392.424066
-1.522854,112,394.056065
-6.139523,175,402.075939
-4.027383,175,404.568586
-2.142347,58,405.408899
-5.997772,175,408.108537
-3.783797,137,415.73267
-1.174009,15,415.953237
1.346371,68,417.041106
-4.396997,175,419.842858
-0.813976,110,421.655522
-6.767828,175,430.072094
-4.040665,175,432.796597
-5.740864,82,434.089255
-5.056585,175,442.653631
-6.177922,175,445.353226
-4.796337,175,448.165426
-1.65616,132,450.252465
-1.604942,30,456.255868
0.425991,21,456.580599
-0.210328,33,457.069588
-4.068759,160,459.578929
-5.367336,175,462.321755
-4.336434,115,464.170367
-5.093002,137,471.441879
-5.681348,142,473.525414
-0.161463,57,474.36961
-6.488777,145,476.520836
-5.070775,165,484.310359
1.211616,75,485.414746
-8.776289,175,488.014895
-3.105763,81,489.227422
-5.307773,86,495.827607
-4.501848,175,498.313636
-2.549001,70,499.369914
-5.784268,175,501.970369
-2.774277,175,509.757015
-2.396501,20,510.048658
-4.847352,172,512.521464
-1.9974,145,514.657409
-3.934153,175,522.557022
-3.771563,175,525.075561
-2.317653,30,525.521271
-6.460013,175,528.054252
-4.475451,131,535.361943
-3.602865,160,537.763179
-6.501185,175,540.452528
-2.735666,134,547.909913
-1.674009,10,548.043155
-0.837939,168,550.422097
-2.035735,62,551.355181
-0.390087,39,551.940813
-2.636232,175,559.874789
-6.794408,175,562.32034
-1.729479,83,563.521981
-1.42769,21,563.840896
-5.878447,175,566.453206
-2.740658,143,573.944419
0.926811,42,574.542725
-1.093597,86,575.77265
-3.917653,46,576.461321
-2.437054,175,579.034806
-8.351253,175,586.893163
-3.938211,175,589.431224
-5.664203,175,591.913364
-5.498597,175,599.811493
-1.017653,17,600.056815
-7.181594,175,602.619111
-1.574009,9,602.752332
-1.667031,64,603.69702
-2.829787,155,611.184476
-5.87982,175,613.579165
-2.506878,123,615.350445
-3.526824,146,617.485507
-1.868814,175,625.370062
-7.336563,175,627.898741
-1.774009,11,628.057134
-6.687737,175,630.619264
-7.02809,175,638.597395
-8.38952,175,641.160587
-5.953106,175,649.367967
-6.819127,175,651.842486
-2.801142,88,653.206287
2.573257,59,654.07963
-1.212983,175,656.653029
-2.003661,139,663.956281
-4.956543,175,666.560486
-3.490989,175,669.155543
-3.118374,175,677.054544
