#{"t_start": 1759367753.0142708, "env_id": "None"}
r,l,t
-0.5,2,0.445971
-0.5,2,0.474983
-0.5,2,0.489961
-134.775678,600,9.27734
-0.5,2,9.300148
-0.5,2,9.321333
-126.039351,600,17.99765
-0.5,2,18.01612
-0.5,2,18.033043
-8.146919,54,18.475055
-119.59218,565,28.567979
-0.5,2,28.577909
-0.5,2,28.60165
-123.940086,600,37.333515
-0.5,2,37.351716
-119.360881,600,46.529637
-118.551925,600,56.974439
-122.546571,600,65.581124
-121.023577,600,74.048494
-124.728316,600,84.656842
-109.844733,600,93.281945
-117.318326,600,101.885748
-122.858136,600,112.233485
-117.185067,600,121.080716
-0.5,2,121.102717
-4.775794,26,121.322394
-0.5,2,121.337107
-0.5,2,121.357749
-3.275794,21,121.537385
-2.975794,20,121.729722
-0.5,2,121.747795
-0.5,2,121.762686
-124.649413,600,132.118312
-124.141571,600,140.684951
-7.006452,39,141.040977
-0.5,2,141.064392
-125.178986,600,151.503684
-0.5,2,151.522426
-125.286071,600,160.004359
-127.320198,600,168.538373
-123.26656,600,178.762321
-71.789774,355,183.601067
-127.899508,600,192.147307
-0.5,2,192.169308
-0.5,2,192.185805
-122.708702,600,202.672777
-119.844401,600,211.408281
-0.5,2,211.430163
-0.5,2,211.448485
-0.5,2,211.463126
-0.5,2,211.479362
-0.5,2,211.49436
-117.678034,600,220.038404
-118.082541,600,230.216325
-123.205756,600,238.918864
-0.5,2,238.937478
-0.5,2,238.959198
-117.273925,600,249.423826
-0.5,2,249.456555
-119.293688,600,258.475425
-0.5,2,258.499134
-0.5,2,258.527728
-122.869548,600,267.432753
-118.072776,600,278.216419
-9.275794,41,278.586502
-0.5,2,278.610952
-121.508176,600,287.938651
-119.149942,600,297.222915
-119.421807,600,308.141083
-0.5,2,308.167405
-131.816113,600,317.060979
-0.5,2,317.08462
-2.975794,20,317.252137
-121.255135,600,327.663104
-0.5,2,327.684992
-133.078183,600,336.562588
-121.288093,600,345.725625
-120.382416,600,356.499425
-12.275794,51,356.918391
-0.5,2,356.935887
-116.737021,600,366.14888
-127.684225,600,375.497791
-0.5,2,375.522249
-53.382478,265,381.486864
-22.666323,129,382.616906
-89.353557,468,390.496163
-137.199016,600,399.914189
-11.313219,67,400.517741
-125.996356,600,410.932573
-0.5,2,410.961811
-0.5,2,410.975482
-131.846692,600,419.692907
-0.5,2,419.707978
-0.5,2,419.72903
-112.550643,600,430.356934
-112.073714,600,439.19678
-0.5,2,439.216871
-0.5,2,439.232885
-0.5,2,439.250251
-0.5,2,439.265838
-108.334073,600,448.060581
-129.273797,600,458.643598
-119.028043,600,467.349939
-125.35445,600,476.538029
