#{"t_start": 1759367752.8803785, "env_id": "None"}
r,l,t
-138.307573,600,9.342458
-0.5,2,9.3709
-118.183178,600,18.053655
-120.266077,600,28.394472
-126.954464,600,37.157136
-0.5,2,37.17619
-119.528115,600,46.356035
-21.985054,100,49.059713
-120.098377,600,57.666397
-126.29384,600,66.274591
-0.5,2,66.289592
-122.633036,600,76.493671
-126.818973,600,85.369648
-122.339106,600,94.015156
-122.789087,600,104.264026
-118.564995,600,112.956652
-0.5,2,112.979989
-118.942068,600,121.821031
-120.265833,591,132.11402
-122.23704,600,140.672373
-4.475794,25,140.888471
-33.30419,152,143.964758
-113.146334,600,152.639762
-117.753926,600,161.127544
-0.5,2,161.13848
-0.5,2,161.16533
-0.5,2,161.173331
-29.272551,148,164.144536
-0.5,2,164.15952
-30.899622,178,167.431468
-0.5,2,167.447792
-0.5,2,167.465992
-18.724825,85,168.170684
-5.975794,30,168.427505
-0.5,2,168.444602
-123.052139,600,178.664201
-0.5,2,178.684199
-0.5,2,178.700201
-0.5,2,178.716291
-0.5,2,178.731858
-0.5,2,178.748281
-0.5,2,178.764071
-2.975794,20,178.932243
-0.5,2,178.947589
-117.642894,600,187.616861
-0.5,2,187.636389
-126.428082,600,196.093769
-122.778261,600,206.764947
-127.421194,600,215.487019
-0.5,2,215.505563
-0.5,2,215.523007
-125.476987,600,223.912813
-34.860315,188,227.194875
-118.291896,600,235.846334
-126.85526,600,246.201754
-16.528207,74,246.867754
-120.567384,600,255.838899
-121.17456,600,266.588818
-0.5,2,266.612287
-0.5,2,266.624945
-7.175794,34,266.939546
-116.330183,600,275.985479
-130.738017,600,287.128988
-0.5,2,287.150139
-0.5,2,287.163621
-118.55069,600,296.272238
-0.5,2,296.286071
-119.779175,600,305.580653
-0.5,2,305.605205
-0.5,2,305.616021
-118.485727,600,316.303345
-123.707416,600,324.951567
-115.715668,600,333.779487
-0.5,2,333.794955
-0.5,2,333.819511
-0.5,2,333.832698
-0.5,2,333.852818
-120.921985,600,344.684538
-133.816408,600,353.888089
-118.403415,600,362.651363
-0.5,2,362.675667
-0.5,2,362.693172
-111.329276,600,374.113501
-0.5,2,374.137505
-124.142074,600,383.097032
-116.640208,600,393.876433
-0.5,2,393.897626
-0.5,2,393.921733
-0.5,2,393.944244
-124.846663,600,403.390274
-124.024122,600,411.999089
-0.5,2,412.018012
-117.451234,600,422.773528
-123.858551,600,431.439819
-111.752905,600,440.206573
-0.5,2,440.228333
-124.349095,600,450.819791
-0.5,2,450.839796
-119.337941,600,459.639129
-0.5,2,459.662412
-123.934182,600,468.336842
-26.974334,136,471.482962
-23.330605,120,472.606648
-0.5,2,472.625046
-0.5,2,472.639921
-0.5,2,472.659351
-0.5,2,472.673265
-0.5,2,472.694594
-65.124638,330,479.415717
-0.5,2,479.43303
-0.5,2,479.448836
-0.5,2,479.468765
-0.5,2,479.484743
-0.5,2,479.502723
-115.182431,600,488.704188
-124.831817,600,497.992542
-0.5,2,498.015645
-118.546938,600,508.508217
-0.5,2,508.527628
-123.027946,600,517.276361
-131.919444,600,526.204849
-9.196142,43,528.438123
-117.665267,600,537.030784
-0.5,2,537.056244
-0.5,2,537.072042
-6.106452,36,537.389288
-119.154938,600,545.966554
-131.837871,600,556.231802
-117.155042,600,565.175702
-0.5,2,565.202744
-0.5,2,565.21148
-123.554079,600,573.984478
-118.817774,600,584.458574
-129.490756,600,593.742609
-5.975794,30,594.007056
-7.475794,35,594.308746
-0.5,2,594.326879
-122.64415,600,605.285674
-0.5,2,605.30233
-127.948586,600,614.367575
-122.305201,600,623.439023
-0.5,2,623.459711
-0.5,2,623.476178
-0.5,2,625.26905
-38.2655,209,627.13651
-116.271169,600,638.161524
-0.5,2,638.180887
-117.580129,600,646.933137
-119.271161,600,655.649226
-121.998262,600,666.37748
-0.5,2,666.397913
-3.575794,22,666.594767
-0.5,2,666.609592
-9.196142,43,666.999733
-0.5,2,667.011374
-118.722899,600,675.690842
-9.575794,42,676.051307
-0.5,2,676.070186
-0.5,2,677.83889
-129.532751,600,686.624618
-117.942041,600,695.632635
-116.266429,600,706.3243
-124.669499,600,715.603832
-0.5,2,715.635483
-116.441599,600,724.829248
-0.5,2,724.854463
-0.5,2,724.867897
-13.048719,69,727.343325
-0.5,2,727.363077
-0.5,2,727.377731
-0.5,2,727.398079
-122.627354,600,736.732268
-127.432312,600,745.556886
-6.496142,34,745.851182
-127.579576,600,756.456285
-119.347513,600,765.494572
-124.360984,600,774.519306
-0.5,2,774.535965
-0.5,2,774.563803
-122.019181,600,785.387109
-0.5,2,785.415132
-8.675794,39,785.755445
-0.5,2,785.772476
-8.675794,39,786.115802
-0.5,2,786.124459
-0.5,2,786.149243
-0.5,2,786.164224
-129.819166,600,795.014245
-119.020474,600,805.537102
-122.61055,600,814.067245
-118.826399,600,822.749204
-0.5,2,822.770839
-3.275794,21,824.727247
-118.808053,600,833.639417
-17.048556,78,834.326827
-113.823663,600,845.010903
-0.5,2,845.031723
-0.5,2,845.04841
-0.5,2,845.071914
-0.5,2,845.08163
-0.5,2,845.106485
-131.258887,600,853.855937
