train/value_loss,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/policy_loss,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/explained_variance
0.418230265378952,72,-0.6017102599143982,30720,-13.563682556152344,423,20,19,0.06410083174705505,74.22,0.00029854079999999997,0.1985792,0.5371572077274323
0.463886559009552,143,-0.5857082605361938,61440,-9.358257293701172,428,40,39,0.05128304287791252,51.62,0.00029700479999999997,0.1971584,0.3772977590560913
0.4716000258922577,213,-0.5868150591850281,92160,-15.173944473266602,431,60,59,0.04801005870103836,81.24,0.0002954688,0.1957376,0.5891142189502716
0.42269715666770935,283,-0.5794905424118042,122880,-12.419011116027832,432,80,79,0.03050234727561474,65.74,0.0002939328,0.1943168,0.39588338136672974
0.4421916902065277,359,-0.5844147205352783,153600,-10.75326919555664,427,100,99,6.36701806797646e-05,58.58,0.0002923968,0.192896,0.6059016287326813
0.48023900389671326,432,-0.5816879272460938,184320,-12.076401710510254,426,120,119,0.038637541234493256,62.75,0.0002908608,0.1914752,0.46129101514816284
0.4392704963684082,505,-0.5927628874778748,215040,-16.104476928710938,425,140,139,0.05013303458690643,83.48,0.0002893248,0.1900544,0.5449305474758148
0.49068188667297363,583,-0.5965806841850281,245760,-13.389001846313477,421,160,159,0.07281851768493652,71.54,0.0002877888,0.1886336,0.4525344967842102
0.4928104281425476,658,-0.5934147238731384,276480,-14.26049518585205,420,180,179,0.06072750687599182,73.96,0.00028625279999999997,0.1872128,0.4075145721435547
0.46895214915275574,734,-0.5888669490814209,307200,-12.358798027038574,418,200,199,0.0567990317940712,65.59,0.00028471679999999996,0.185792,0.23931342363357544
0.4414822459220886,809,-0.6043559908866882,337920,-11.883776664733887,417,220,219,0.06882621347904205,65.31,0.0002831808,0.1843712,0.09078431129455566
0.5251208543777466,882,-0.5832016468048096,368640,-13.193096160888672,417,240,239,0.03399684652686119,69.1,0.0002816448,0.1829504,0.2030084729194641
0.5579173564910889,958,-0.5811657905578613,399360,-13.440723419189453,416,260,259,0.0440482422709465,70.19,0.0002801088,0.1815296,0.5446062982082367
0.5050762295722961,1034,-0.5916823148727417,430080,-13.896249771118164,415,280,279,0.026650136336684227,73.31,0.0002785728,0.1801088,0.5037394165992737
0.5375072956085205,1108,-0.5902734398841858,460800,-13.603302955627441,415,300,299,0.038283176720142365,71.83,0.0002770368,0.178688,0.6065765023231506
0.573144793510437,1182,-0.5886154770851135,491520,-11.816734313964844,415,320,319,0.046302229166030884,61.76,0.0002755008,0.1772672,0.5338147580623627
0.5638097524642944,1256,-0.5916157960891724,522240,-11.916958808898926,415,340,339,0.043650563806295395,64.02,0.0002739648,0.1758464,0.5461924076080322
