#{"t_start": 1759539589.1468265, "env_id": "None"}
r,l,t
-3.930795,175,2.85672
-1.4,2,2.884341
-1.4,2,2.907107
-2.60128,129,4.67881
-1.649521,41,5.064754
-6.640228,175,7.947629
-2.643018,76,8.609175
-5.519986,175,11.429874
-1.462923,7,11.488311
-1.462923,7,11.555032
-1.4,2,11.577482
-6.726454,175,13.767911
-1.4,2,13.787614
-4.779655,175,16.0474
-0.645781,40,17.054305
-1.462923,7,17.120469
-1.4,2,17.138313
-1.4,2,17.159509
-2.742839,95,18.643657
-1.4,2,18.654146
-1.524493,137,20.545878
-1.4,2,20.560091
-2.858161,175,22.729702
-0.320219,26,22.953381
-2.134716,16,23.089341
-1.4,2,23.112973
-1.262923,5,23.153269
-1.4,2,23.173602
-1.462923,7,23.236369
-5.300239,146,25.719652
-1.4,2,25.74296
-3.349076,165,27.781434
-3.020219,31,28.042526
-1.462923,7,28.095984
-2.062923,13,28.20818
-1.262923,5,28.252075
-4.861574,175,31.04313
-3.176531,175,33.13875
-1.4,2,33.15175
-6.110175,175,35.384767
-1.4,2,36.094312
-1.4,2,36.110973
-2.567572,175,38.350994
-1.4,2,38.373836
-1.562923,8,38.441928
-3.13987,175,40.660226
-1.862923,11,40.75289
-1.462923,7,40.817222
-5.764486,175,43.700814
-7.128263,175,45.980604
-2.162923,14,46.109394
-6.000499,162,48.799919
-1.4,2,48.814916
-4.018465,146,50.678917
-1.362923,6,50.728776
-1.4,2,50.746019
-5.737702,175,52.84365
-1.734716,12,52.943689
-1.4,2,52.958334
-3.82283,118,54.652563
-1.4,2,54.673926
-1.662923,9,54.748411
-1.4,2,54.769276
-1.4,2,54.781769
-3.234499,133,56.548047
-1.4,2,56.564387
-1.762923,10,56.648198
-1.762923,10,57.39119
-1.752798,45,57.765207
-1.862923,11,57.858534
-4.346329,175,59.957482
-5.03386,146,61.945781
0.265284,14,62.747128
-1.4,2,62.763498
-1.662923,9,62.840769
-1.4,2,62.856889
-1.662923,9,62.937122
-1.4,2,62.947945
-1.4,2,62.975664
-1.4,2,62.989679
-1.4,2,63.012363
-3.063863,35,63.316007
-6.359122,175,65.539125
-1.834716,13,66.331548
-3.424096,175,68.539135
-1.662923,9,68.615692
-1.662923,9,68.700013
-1.543293,81,70.076138
-7.992474,175,72.298433
-5.947427,175,74.498489
-1.362923,6,74.552425
-1.662923,9,75.305859
-1.4,2,75.328119
-1.462923,7,75.39092
-1.4,2,75.411705
-4.792552,175,77.658467
-0.578361,26,77.878361
0.165284,15,78.011811
-4.551971,175,80.86898
-1.778361,16,81.007053
-1.895203,69,81.610826
-2.062923,13,81.73428
0.265284,14,82.555791
0.165284,15,82.694888
-1.4,2,82.710895
-1.462923,7,82.769505
-1.4,2,82.777548
-3.326838,147,84.721054
-1.4,2,84.738954
-0.195203,62,85.27193
-1.4,2,85.286913
