#{"t_start": 1759285591.006044, "env_id": "None"}
r,l,t
-2.046693,474,5.259431
0.824485,10,5.354897
-51.711117,600,48.412012
2.711311,74,49.034544
0.810718,31,49.291754
-26.922957,600,67.851157
-40.592762,600,86.237135
6.671212,202,101.035159
6.477803,300,103.525874
0.824485,10,103.610921
5.437409,178,118.374973
0.701033,19,118.590186
0.824485,10,118.713224
-24.755247,600,137.782196
-21.022192,600,155.959586
-23.870913,600,174.606752
-31.63112,600,192.897363
-13.219759,500,210.45775
4.948239,84,211.221091
-29.048044,600,242.560048
-20.409305,600,260.938819
1.855195,28,261.188219
1.585393,174,262.666883
0.824485,10,262.750391
4.461344,206,277.471721
-37.622229,600,295.532412
-35.679217,600,314.484936
8.26456,240,316.917981
-50.412363,600,348.792836
0.93417,22,348.986603
0.824485,10,349.105073
7.501985,263,351.427345
5.791976,328,367.374919
-38.185207,600,385.633406
0.824485,10,385.723597
0.512598,18,385.884181
-31.050585,600,404.125352
6.104569,137,405.400382
-0.683704,240,420.735119
-25.103587,531,439.065962
0.512598,18,439.254135
1.628862,300,455.665704
-36.353451,600,473.960311
8.803119,121,475.049454
7.510145,107,476.022891
-25.499782,600,494.598632
12.695895,169,509.205675
7.197365,291,511.659262
-13.601705,262,527.160121
10.350343,118,528.168375
9.13513,190,529.898817
5.655361,77,543.948847
1.903998,27,544.200209
-26.061835,600,562.813082
10.343423,196,564.489887
-29.137266,600,582.814918
1.519095,355,599.050997
-51.046335,600,617.381595
8.661367,220,632.485437
0.427518,36,632.793594
2.164087,19,632.957337
-38.6597,600,651.432602
-40.557302,600,670.129994
-54.287342,600,689.509919
-0.362491,189,704.878704
-23.866675,600,723.455392
1.221284,180,725.150944
6.060752,61,725.734267
5.020963,159,740.631233
-30.594229,600,759.477951
-30.174982,600,778.384087
-5.385336,429,795.486617
13.651544,144,796.822758
1.147309,16,796.972865
-27.560575,600,815.675021
0.824485,10,815.762444
-40.959589,521,833.667999
-0.387012,217,849.003861
0.701033,19,849.169795
-23.248861,600,867.503868
-18.999507,600,885.852019
-8.646747,498,903.3995
-28.090984,600,921.832877
3.230627,63,922.380275
4.896424,303,938.331027
-28.851795,600,956.442655
3.916461,321,972.174212
4.580263,64,972.716171
-18.831181,600,991.063301
10.009321,247,993.207726
-29.629507,600,1024.652353
9.671425,147,1025.901105
-24.908568,600,1044.279555
-28.272949,600,1062.718133
4.982477,85,1063.484974
0.824485,10,1063.574541
-9.223417,514,1081.484056
1.243305,30,1094.813562
1.967942,30,1095.064672
-45.746504,600,1113.238826
2.923878,57,1113.730363
1.147309,16,1113.87747
1.695512,41,1114.246338
-40.759001,600,1133.287172
0.657458,13,1133.402593
0.824485,10,1133.492391
-32.876609,600,1152.021787
-19.164183,600,1184.339682
-32.819202,600,1203.430372
5.151404,91,1204.284035
-49.676561,600,1222.670262
4.736875,266,1238.024814
10.861394,280,1240.414442
-11.253179,516,1257.976454
-12.205003,298,1274.291331
0.589146,27,1274.518912
4.287359,87,1275.262259
-22.737414,600,1293.53382
-26.526528,600,1311.875088
10.308971,123,1326.298286
0.824485,10,1326.377891
-57.572069,560,1344.734725
0.824485,10,1344.824857
2.073608,31,1345.114786
-33.321864,600,1363.857488
-27.22552,504,1381.45219
-17.792509,600,1400.414804
-23.647476,600,1419.956238
9.302818,203,1435.372769
-35.404317,600,1454.693048
-15.800158,487,1472.618893
3.335375,117,1473.654449
2.850711,82,1474.421176
-22.122355,600,1493.401948
-41.821681,495,1510.87945
-23.004663,600,1529.122776
-33.817194,600,1560.585313
7.14182,225,1562.509571
3.551791,275,1578.007134
2.811698,281,1580.68119
3.262662,309,1596.377635
-22.228224,600,1614.846781
-36.582108,600,1633.028232
9.300658,108,1633.954199
4.373185,147,1648.38559
-19.213975,600,1667.47457
0.824485,10,1667.574468
-34.039258,600,1685.990252
1.147309,16,1686.124577
9.724993,284,1702.035625
-17.637688,600,1720.11606
9.075421,125,1721.143486
-31.924041,600,1739.448824
0.824485,10,1739.546945
10.003706,123,1740.693361
5.458945,199,1755.91093
-34.233808,600,1775.198645
-57.989963,600,1794.390119
1.023857,25,1794.660876
7.662348,56,1795.22734
-21.797822,600,1814.012993
4.987071,253,1829.356646
-12.502732,346,1845.908852
-25.131834,600,1864.488242
-16.914358,537,1882.538722
-7.753276,245,1884.850879
-28.895826,600,1904.005297
-20.908635,600,1936.026813
0.93417,22,1936.217023
-53.00856,600,1954.355587
0.824485,10,1954.429609
13.112357,158,1955.793508
1.547843,27,1956.025256
-18.982841,480,1973.505356
4.289331,253,1989.092611
-19.401288,600,2007.461796
-45.445486,600,2026.025569
-19.225494,600,2044.622383
-2.535144,203,2059.246926
-4.537032,391,2062.551136
6.244496,130,2076.560607
-6.160947,424,2080.222333
-5.331976,504,2097.623443
