#{"t_start": 1759846427.3147604, "env_id": "None"}
r,l,t
-2.941137,175,3.584439
-0.401011,96,5.194869
-5.199727,175,8.275113
-1.633014,88,9.699784
-1.382548,175,12.986748
-3.219646,175,16.328005
-0.017935,129,18.469404
-0.814797,89,30.792719
-0.459849,175,33.413589
-2.971805,175,36.191944
-3.334967,175,38.868059
0.302745,49,39.663542
-1.181169,175,42.357821
-0.056776,70,43.507582
-0.18552,115,45.391113
-5.095062,175,58.933642
-3.430174,175,61.466652
2.175612,34,61.985321
-3.458625,175,64.715006
-2.214928,122,66.635942
2.687992,56,67.502395
-1.092905,99,69.002482
-0.50798,175,71.7371
-3.000641,175,85.36852
-0.1429,101,87.009943
-2.546684,175,89.971343
-1.433683,27,90.51006
2.522948,75,91.760215
-0.070936,92,93.27986
-1.391884,150,95.764364
-2.375785,167,98.466126
0.543212,175,112.610404
-1.277073,175,115.467071
-1.277643,175,118.782465
-0.371112,175,122.042408
-1.999911,175,125.477447
-0.432784,175,128.785918
0.978018,20,129.179233
0.613564,82,145.509584
-2.45325,175,151.90069
1.322545,72,154.177205
1.430581,102,157.888571
2.457982,103,160.455178
-0.722483,82,162.547765
-1.701442,60,164.120491
-0.327672,79,166.437471
-2.020425,175,171.119692
-0.097977,131,174.751711
-0.968807,175,196.309469
-1.740267,39,197.235787
-1.830084,151,200.851383
-0.604293,175,204.858348
0.012023,67,206.43257
-1.159624,57,207.713207
-1.931628,175,211.740618
-1.897522,13,212.048773
-0.608059,175,215.970638
-3.455427,175,234.605244
0.002473,175,238.489387
0.691889,28,239.127422
-0.260951,175,243.080458
-0.045916,175,247.054994
2.663348,71,248.652498
-1.184181,175,253.023661
-0.424657,51,254.232454
-0.659854,89,271.08069
1.662049,139,274.324515
0.375001,118,276.982548
-0.624464,175,281.048748
0.710505,60,282.39483
-0.866171,16,282.76073
0.474056,33,283.488803
2.080286,175,287.902452
2.052679,118,290.933487
-0.596218,110,324.185107
-0.041224,154,330.997668
0.169002,174,338.871872
1.163767,175,346.944679
-0.263759,175,355.215647
-0.097522,27,356.709647
-1.190143,175,364.919753
-0.627753,68,367.984327
-1.212725,175,407.439861
0.978018,20,408.312998
2.093487,100,413.064056
-0.797522,12,413.913421
2.669606,103,418.970832
-0.618252,175,427.199613
0.467062,125,433.235505
0.30469,41,435.293262
1.35402,29,436.615064
0.77825,50,438.966139
2.436812,99,443.587973
0.33524,57,446.337231
2.111043,62,449.166725
-0.946441,21,450.194273
2.167133,47,481.209995
0.805765,60,483.91319
-0.697522,11,484.425494
1.300963,175,492.498005
-2.754524,175,500.860315
-0.821982,16,501.674437
0.101914,40,503.652651
1.209369,21,504.683457
-0.997522,14,505.311153
0.086708,175,512.920098
3.332749,74,514.543497
0.449432,164,517.658761
2.784183,79,549.828826
0.960475,48,552.090096
1.943853,175,560.40588
2.436504,114,566.252486
3.720369,130,573.003294
0.789573,60,575.898884
1.154997,45,578.067168
0.677013,30,579.523294
0.564898,175,587.13124
0.975137,148,589.940163
1.655421,26,590.425396
1.592653,28,590.96442
0.553559,28,591.508392
2.428867,175,628.724465
-0.29531,47,631.104279
2.236755,120,636.997304
1.28391,72,640.663217
-1.647783,175,648.545296
-0.68899,82,652.10111
1.561958,145,659.43054
-1.397522,18,660.338037
-0.897522,13,660.942709
0.251384,175,669.377893
2.457151,64,699.948986
2.748296,94,704.335805
0.49186,71,707.387261
0.461992,111,711.687314
-0.090885,175,715.360993
1.766377,130,718.810059
-0.172202,175,727.977254
0.602478,20,729.145268
3.384539,75,733.178441
0.909457,129,770.093333
4.526099,134,776.92747
1.311784,45,779.189495
-2.29424,41,781.076065
1.942251,44,783.371373
0.641117,46,785.719275
3.151305,85,789.834207
1.328761,175,798.877123
-0.64621,57,801.749164
0.402478,22,802.806441
0.081848,78,806.636108
-0.014521,109,812.415872
1.067115,121,818.609468
1.029406,175,854.345586
2.154997,35,854.971248
-0.405128,130,857.055442
3.108799,47,857.809411
2.066039,57,858.739552
0.778018,22,859.105398
0.717214,173,866.975611
-0.797522,12,867.655655
3.169478,175,876.545689
-0.746388,175,885.020738
1.002478,16,885.808606
-1.891347,33,887.451408
2.021433,80,919.523352
-1.221982,20,920.208348
-1.501484,26,921.320455
3.322725,70,924.674932
1.960593,57,927.50245
-0.081374,175,936.146388
-0.597522,10,936.722785
1.989969,134,943.740391
0.428872,83,947.774209
1.356444,56,950.723496
1.566317,28,952.219489
-0.134337,127,957.909531
-1.297522,17,958.699811
0.771891,175,966.635813
2.018351,148,1001.787341
2.377637,84,1006.32984
-0.619968,175,1015.389724
1.302478,13,1016.079396
3.860678,118,1021.874572
2.40438,175,1030.537767
0.902478,17,1031.403073
-1.297522,17,1032.203662
1.606673,30,1033.659417
0.22524,175,1042.588743
-0.997522,14,1043.223619
1.548983,167,1081.245962
1.676138,175,1090.138398
0.52332,64,1093.378788
-1.258142,29,1094.920738
3.478967,58,1097.935665
-1.597522,10,1098.426273
2.768472,47,1100.948834
0.379509,175,1110.163201
0.649596,34,1112.124592
1.168444,175,1120.804197
0.151465,175,1157.527769
-0.058203,175,1164.979057
-1.816922,123,1169.365135
1.859204,163,1172.480224
1.302478,13,1172.751475
2.750569,63,1174.306401
2.044192,73,1175.877578
1.202478,14,1176.187886
0.651122,175,1179.874242
1.648329,59,1182.50443
1.369876,102,1187.239894
1.002478,16,1188.101522
2.79114,60,1204.944428
2.05395,65,1206.321174
1.581223,175,1210.153666
-0.230737,175,1214.064273
2.981506,80,1215.819931
2.134806,32,1216.529103
3.235413,63,1217.932493
1.490577,154,1221.322606
0.195371,175,1225.214442
0.859517,175,1243.790113
2.458658,152,1247.078066
3.939973,175,1250.889361
3.256398,44,1251.846529
1.202478,14,1252.147978
1.302478,13,1252.428759
0.260196,175,1256.235592
1.637593,33,1256.963745
1.758962,175,1260.814296
-0.844096,175,1279.299053
2.995392,93,1281.292738
1.705581,50,1282.338162
4.251244,49,1283.41424
2.102947,175,1287.329748
1.537799,175,1291.228887
-0.697522,11,1291.476443
1.930391,42,1292.397037
3.14027,74,1294.017998
1.437189,175,1297.866219
-0.597522,10,1298.099432
1.554443,175,1316.946542
2.935195,139,1319.9353
2.013309,65,1321.347065
-0.683651,16,1321.693559
0.466774,59,1323.002512
