train/value_loss,time/total_timesteps,train/ent_coef,train/entropy_loss,train/learning_rate,train/policy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,train/n_updates,time/fps
26.14443016052246,51200,2.4916373333333333,-0.34370332956314087,0.00035,-0.00015462655574083328,473.25,-54.86191940307617,-3.814697265625e-06,97,100,99,524
28.17740249633789,102400,2.4832746666666665,-0.3297522962093353,0.00035,0.00360539136454463,436.65,-44.84181213378906,-9.417533874511719e-06,196,200,199,521
27.700572967529297,153600,2.474912,-0.34732088446617126,0.00035,-0.014367141760885715,516.53,-62.54307174682617,-1.0728836059570312e-05,293,300,299,523
46.2358512878418,204800,2.4665493333333335,-0.3498750925064087,0.00035,-0.004558463580906391,501.16,-55.28866195678711,3.2186508178710938e-06,391,400,399,523
23.518714904785156,256000,2.4581866666666667,-0.36193931102752686,0.00035,-0.0068984972313046455,483.9,-56.261478424072266,-1.895427703857422e-05,489,500,499,522
23.858360290527344,307200,2.449824,-0.3444702923297882,0.00035,0.0068425945937633514,472.69,-55.192481994628906,-2.7418136596679688e-06,587,600,599,522
40.65384292602539,358400,2.4414613333333333,-0.3285394310951233,0.00035,0.007107209414243698,484.71,-54.10758972167969,-4.887580871582031e-06,688,700,699,520
44.213356018066406,409600,2.4330986666666665,-0.34301382303237915,0.00035,0.056105732917785645,486.23,-54.258541107177734,-4.5299530029296875e-06,788,800,799,519
28.6832275390625,460800,2.424736,-0.3520810902118683,0.00035,0.018202288076281548,438.0,-49.285308837890625,9.775161743164062e-06,887,900,899,518
25.84009552001953,512000,2.4163733333333335,-0.315590500831604,0.00035,0.020086726173758507,484.24,-53.74342727661133,-5.0067901611328125e-06,986,1000,999,519
34.29065704345703,563200,2.4080106666666667,-0.3467424511909485,0.00035,-0.0036633932031691074,514.09,-57.93427658081055,-4.5299530029296875e-06,1087,1100,1099,517
27.817428588867188,614400,2.399648,-0.3379061818122864,0.00035,0.011854654178023338,442.31,-47.49217224121094,-1.7881393432617188e-06,1187,1200,1199,517
29.470928192138672,665600,2.3912853333333333,-0.31617388129234314,0.00035,-0.01663755252957344,489.71,-54.92246627807617,8.702278137207031e-06,1287,1300,1299,517
35.485511779785156,716800,2.3829226666666665,-0.3280113935470581,0.00035,-0.012105142697691917,479.9,-52.69382858276367,8.821487426757812e-06,1392,1400,1399,514
24.156818389892578,768000,2.37456,-0.33231186866760254,0.00035,-0.006135261617600918,497.18,-57.891998291015625,8.58306884765625e-06,1490,1500,1499,515
31.836055755615234,819200,2.3661973333333335,-0.3602988123893738,0.00035,-0.004605312831699848,496.52,-58.07158660888672,4.827976226806641e-06,1591,1600,1599,514
34.23707962036133,870400,2.3578346666666667,-0.3439679741859436,0.00035,-0.0020494582131505013,485.06,-54.4708251953125,-1.0728836059570312e-05,1690,1700,1699,514
17.045969009399414,921600,2.349472,-0.3238539695739746,0.00035,0.003117915242910385,507.68,-59.804710388183594,-1.0848045349121094e-05,1796,1800,1799,512
43.650909423828125,972800,2.3411093333333333,-0.33292245864868164,0.00035,0.02090121991932392,489.16,-55.12998962402344,-1.7762184143066406e-05,1897,1900,1899,512
21.899188995361328,1024000,2.3327466666666665,-0.32361334562301636,0.00035,0.009882090613245964,455.0,-48.82233810424805,9.5367431640625e-07,1997,2000,1999,512
38.6947021484375,1075200,2.3243840000000002,-0.34692561626434326,0.00035,-0.0001866854727268219,470.01,-52.12904739379883,-3.6954879760742188e-06,2099,2100,2099,512
47.68375778198242,1126400,2.3160213333333335,-0.347034215927124,0.00035,0.013320725411176682,487.65,-54.90305709838867,2.5033950805664062e-06,2200,2200,2199,511
24.512779235839844,1177600,2.3076586666666667,-0.33077698945999146,0.00035,-0.01887061819434166,533.27,-60.816192626953125,1.8715858459472656e-05,2302,2300,2299,511
30.289264678955078,1228800,2.299296,-0.32560884952545166,0.00035,0.02496364712715149,471.17,-53.785274505615234,1.4901161193847656e-06,2402,2400,2399,511
18.031715393066406,1280000,2.2909333333333333,-0.3544878661632538,0.00035,0.0057488903403282166,493.53,-56.58848190307617,-6.318092346191406e-06,2507,2500,2499,510
42.2503776550293,1331200,2.2825706666666665,-0.3545714020729065,0.00035,0.022553864866495132,498.27,-57.961544036865234,-1.633167266845703e-05,2609,2600,2599,510
42.26130676269531,1382400,2.274208,-0.3308965861797333,0.00035,0.03151269257068634,519.59,-63.226661682128906,-2.0265579223632812e-06,2712,2700,2699,509
39.77562713623047,1433600,2.2658453333333335,-0.32591891288757324,0.00035,-0.021716590970754623,479.36,-54.36844253540039,-5.4836273193359375e-06,2812,2800,2799,509
43.11930465698242,1484800,2.2574826666666667,-0.35321366786956787,0.00035,-0.009052699431777,491.55,-54.911251068115234,-7.987022399902344e-06,2913,2900,2899,509
43.45500183105469,1536000,2.24912,-0.3508736491203308,0.00035,0.004763967357575893,490.75,-55.935733795166016,-7.033348083496094e-06,3013,3000,2999,509
35.577083587646484,1587200,2.2407573333333333,-0.34456974267959595,0.00035,-0.022940654307603836,523.39,-59.43138122558594,-4.649162292480469e-06,3113,3100,3099,509
40.40411376953125,1638400,2.2323946666666665,-0.31188589334487915,0.00035,-0.013784622773528099,472.46,-53.130516052246094,8.404254913330078e-06,3217,3200,3199,509
37.69526672363281,1689600,2.224032,-0.3196786344051361,0.00035,0.017050540074706078,444.58,-48.08039855957031,-5.4836273193359375e-06,3318,3300,3299,509
