train/learning_rate,time/time_elapsed,train/n_updates,train/ent_coef,train/entropy_loss,time/total_timesteps,train/value_loss,time/iterations,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/policy_loss
0.00029949888,52,29,0.2495296,-0.6691303253173828,23040,0.6801256537437439,30,0.1960178017616272,-2.668442726135254,435,75.18,0.013171501457691193
0.00029898048,105,59,0.2490592,-0.6650537848472595,46080,0.8399041891098022,60,0.16360676288604736,-1.592187523841858,434,38.27,0.021092716604471207
0.00029846207999999994,159,89,0.2485888,-0.6677605509757996,69120,0.8323268294334412,90,0.0806688666343689,-2.0985026359558105,432,52.22,0.011243581771850586
0.00029794368,213,119,0.2481184,-0.6666027903556824,92160,0.8331672549247742,120,-0.022117972373962402,-2.0764548778533936,431,53.48,0.0011725662043318152
0.00029742528,267,149,0.247648,-0.6665621995925903,115200,1.1173548698425293,150,0.11027419567108154,-1.9921432733535767,430,50.48,-0.002785626333206892
0.00029690687999999995,319,179,0.2471776,-0.6652956008911133,138240,0.9848426580429077,180,0.05342113971710205,-1.6524951457977295,432,40.53,0.011782137677073479
0.00029638847999999995,374,209,0.2467072,-0.670487642288208,161280,0.8511024713516235,210,0.05127882957458496,-2.098729372024536,430,55.11,0.006027480121701956
0.00029587008,428,239,0.2462368,-0.6700577735900879,184320,0.9329766035079956,240,-0.022997260093688965,-2.1277382373809814,430,53.95,-0.002585212467238307
0.00029535167999999995,482,269,0.2457664,-0.6675236225128174,207360,1.1700496673583984,270,-0.044463157653808594,-2.012218475341797,430,60.72,0.015672672539949417
0.00029483327999999995,536,299,0.24529600000000001,-0.6680349707603455,230400,0.9883858561515808,300,0.12781059741973877,-2.0425424575805664,429,48.92,0.0005569321801885962
0.00029431488,590,329,0.2448256,-0.6668953895568848,253440,0.840727686882019,330,-0.024341940879821777,-1.9689396619796753,429,50.69,0.0024797036312520504
0.00029379647999999996,646,359,0.2443552,-0.6673324108123779,276480,0.8162075877189636,360,-0.32420992851257324,-1.8260188102722168,427,45.98,0.014302743598818779
0.00029327807999999996,701,389,0.2438848,-0.6675643920898438,299520,0.7671718597412109,390,0.009961307048797607,-2.264235258102417,427,69.44,0.017985939979553223
0.00029275968,754,419,0.2434144,-0.6667553782463074,322560,0.5144320726394653,420,0.14867627620697021,-1.9873539209365845,427,56.51,0.02236078307032585
0.00029224127999999996,808,449,0.242944,-0.6675805449485779,345600,0.8390347361564636,450,-0.16383802890777588,-1.9463270902633667,427,51.21,0.01219165325164795
0.00029172287999999996,861,479,0.2424736,-0.6683735847473145,368640,0.925250232219696,480,0.06553000211715698,-2.1600866317749023,428,57.9,0.005942179821431637
0.00029120447999999996,915,509,0.2420032,-0.6689642667770386,391680,0.6712319850921631,510,-0.0948101282119751,-2.051831007003784,427,57.52,-0.000466941564809531
0.00029068607999999997,968,539,0.2415328,-0.669974684715271,414720,0.7734023332595825,540,0.09270203113555908,-1.9987776279449463,428,50.51,-0.0064631253480911255
0.00029016767999999997,1023,569,0.2410624,-0.6671164035797119,437760,0.7871308326721191,570,0.037134647369384766,-1.7885794639587402,427,53.17,0.014723047614097595
0.00028964927999999997,1077,599,0.240592,-0.6653563380241394,460800,1.0107975006103516,600,0.0006708502769470215,-2.015622138977051,427,51.44,0.0125048216432333
0.00028913087999999997,1130,629,0.2401216,-0.6652799248695374,483840,0.8765570521354675,630,0.007914543151855469,-1.9710681438446045,427,57.43,0.010708576068282127
0.00028861248,1183,659,0.2396512,-0.6677632331848145,506880,0.9523357152938843,660,0.1412326693534851,-1.977125883102417,428,47.61,0.011221318505704403
0.00028809408,1238,689,0.2391808,-0.6668391227722168,529920,0.9124132990837097,690,0.1411115527153015,-1.9391288757324219,427,48.58,0.010104916989803314
0.00028757568,1293,719,0.2387104,-0.66629958152771,552960,0.8182105422019958,720,0.08031392097473145,-2.2332563400268555,427,53.36,0.011094547808170319
0.00028705728,1348,749,0.23824,-0.6689051389694214,576000,0.9244632720947266,750,-0.0790632963180542,-1.702998161315918,427,41.98,-0.00013487538672052324
0.00028653888,1402,779,0.2377696,-0.6664480566978455,599040,0.8141061067581177,780,0.1651971936225891,-2.0112149715423584,427,53.21,0.012841823510825634
0.00028602048,1455,809,0.2372992,-0.6675924062728882,622080,0.6761509776115417,810,-0.08975374698638916,-1.956001877784729,427,49.66,-0.0010455052834004164
0.00028550208,1508,839,0.2368288,-0.6671414375305176,645120,1.1269850730895996,840,0.018562674522399902,-2.2278122901916504,427,58.45,0.011475599370896816
0.00028498368,1563,869,0.2363584,-0.668596625328064,668160,0.90179842710495,870,0.05049729347229004,-1.804933786392212,427,41.68,0.017894260585308075
0.00028446528,1617,899,0.235888,-0.666425883769989,691200,0.9479638934135437,900,0.12712478637695312,-2.0289909839630127,427,48.72,-0.0003457466955296695
0.00028394688,1670,929,0.2354176,-0.6669999361038208,714240,0.7774970531463623,930,-0.10292112827301025,-2.2102742195129395,427,61.08,0.009648291394114494
0.00028342848,1725,959,0.2349472,-0.6681193709373474,737280,0.823724627494812,960,0.04403126239776611,-2.101262092590332,427,55.32,0.016852520406246185
0.00028291008,1779,989,0.2344768,-0.6644330024719238,760320,1.0277130603790283,990,0.19063055515289307,-2.087034225463867,427,55.66,0.009970180690288544
0.00028239168,1833,1019,0.2340064,-0.6657306551933289,783360,0.8325130939483643,1020,0.05662655830383301,-2.1456925868988037,427,59.2,0.011392772197723389
0.00028187328,1886,1049,0.233536,-0.6687660217285156,806400,1.0375070571899414,1050,0.08548390865325928,-1.9639490842819214,427,53.55,0.0017439748626202345
