rollout/ep_rew_mean,train/value_loss,time/time_elapsed,rollout/ep_len_mean,train/policy_loss,train/explained_variance,train/n_updates,time/iterations,train/entropy_loss,train/ent_coef,time/total_timesteps,train/learning_rate,time/fps
3.4549829959869385,0.843220591545105,23,40.57,0.04357113689184189,0.0015433430671691895,99,100,-0.14716428518295288,0.179552,9600,0.0004,413
3.1352615356445312,0.03596911579370499,47,31.28,-0.06492166221141815,-0.0021538734436035156,199,200,-0.17739133536815643,0.17910399999999999,19200,0.0004,407
3.657064437866211,3.136767864227295,70,31.5,0.058495476841926575,0.00025266408920288086,299,300,-0.19928078353405,0.17865599999999998,28800,0.0004,407
3.9000983238220215,2.5684146881103516,94,42.59,-0.019806304946541786,0.00039947032928466797,399,400,-0.16672351956367493,0.178208,38400,0.0004,405
3.956695795059204,2.7617127895355225,119,41.94,-0.053631626069545746,0.00024646520614624023,499,500,-0.19190827012062073,0.17776,48000,0.0004,401
4.246542930603027,3.1316468715667725,146,54.55,-0.023773588240146637,-3.4689903259277344e-05,599,600,-0.175918310880661,0.177312,57600,0.0004,394
2.8772213459014893,2.86566162109375,172,18.69,-0.01314463373273611,0.0006492733955383301,699,700,-0.19441156089305878,0.176864,67200,0.0004,390
3.407716989517212,1.227220058441162,197,31.72,-0.010945916175842285,0.0008588433265686035,799,800,-0.15529078245162964,0.176416,76800,0.0004,389
3.480466842651367,0.20835720002651215,222,30.68,-0.032275404781103134,0.0004590749740600586,899,900,-0.1443672478199005,0.17596799999999999,86400,0.0004,388
3.2156145572662354,1.0406286716461182,247,32.86,-0.012379743158817291,0.0013694167137145996,999,1000,-0.15958687663078308,0.17551999999999998,96000,0.0004,387
3.59499454498291,2.3166770935058594,274,41.76,-0.2657663822174072,0.0003123283386230469,1099,1100,-0.19552043080329895,0.175072,105600,0.0004,385
3.5266175270080566,1.5079190731048584,298,44.9,-0.22162982821464539,0.0011262297630310059,1199,1200,-0.2012651413679123,0.174624,115200,0.0004,385
3.9554173946380615,2.105593681335449,322,42.92,-0.0576145276427269,0.0004265904426574707,1299,1300,-0.22579488158226013,0.174176,124800,0.0004,387
4.096780300140381,1.2723280191421509,346,55.77,0.0022959583438932896,0.0014042258262634277,1399,1400,-0.12360131740570068,0.173728,134400,0.0004,387
3.716404914855957,0.4718913733959198,370,41.89,-0.044461578130722046,0.0010630488395690918,1499,1500,-0.15255677700042725,0.17328,144000,0.0004,388
2.782811164855957,0.9210035800933838,394,19.25,-0.024507325142621994,0.000750124454498291,1599,1600,-0.16686128079891205,0.17283199999999999,153600,0.0004,389
3.1552553176879883,1.5101652145385742,418,31.86,0.037770792841911316,0.0001214742660522461,1699,1700,-0.14927765727043152,0.17238399999999998,163200,0.0004,390
4.489848613739014,3.730987548828125,441,65.8,0.0020197127014398575,8.398294448852539e-05,1799,1800,-0.19861732423305511,0.171936,172800,0.0004,391
3.6425724029541016,0.5006090998649597,465,42.05,-0.023499011993408203,0.002134382724761963,1899,1900,-0.17070242762565613,0.171488,182400,0.0004,391
3.4759812355041504,2.700996160507202,489,30.62,0.009620122611522675,0.001419365406036377,1999,2000,-0.17550042271614075,0.17104,192000,0.0004,392
2.900763750076294,1.8159207105636597,515,18.43,-0.036005567759275436,-0.0002429485321044922,2099,2100,-0.17080239951610565,0.170592,201600,0.0004,390
3.936812162399292,3.035761833190918,539,42.51,-0.12699562311172485,2.5272369384765625e-05,2199,2200,-0.20123903453350067,0.170144,211200,0.0004,391
3.3697690963745117,0.5638429522514343,564,31.12,-0.20794591307640076,0.0019859671592712402,2299,2300,-0.15894651412963867,0.16969599999999999,220800,0.0004,391
3.4354562759399414,1.7697865962982178,589,31.96,-0.019827362149953842,0.0019156336784362793,2399,2400,-0.16510742902755737,0.169248,230400,0.0004,390
2.7996649742126465,1.222838044166565,615,19.5,0.06613747775554657,-0.0009946823120117188,2499,2500,-0.14412370324134827,0.1688,240000,0.0004,389
3.7563986778259277,0.9980062246322632,639,43.49,-0.010390914976596832,0.0010428428649902344,2599,2600,-0.15481272339820862,0.168352,249600,0.0004,390
2.955456018447876,1.493945837020874,663,20.12,0.05632463097572327,0.0015422701835632324,2699,2700,-0.16043981909751892,0.167904,259200,0.0004,390
2.934401035308838,0.9071571230888367,689,18.89,-0.21058949828147888,-0.0004742145538330078,2799,2800,-0.17035548388957977,0.167456,268800,0.0004,389
3.856968641281128,0.9054207801818848,716,53.41,-0.01618528738617897,0.0016927123069763184,2899,2900,-0.15844491124153137,0.167008,278400,0.0004,388
3.6904401779174805,1.7414748668670654,741,30.73,0.056476712226867676,0.0010535120964050293,2999,3000,-0.17851130664348602,0.16655999999999999,288000,0.0004,388
3.318812370300293,2.1951465606689453,766,41.98,-0.00400009099394083,-0.0003170967102050781,3099,3100,-0.16471096873283386,0.16611199999999998,297600,0.0004,388
5.5392255783081055,0.4656466841697693,791,88.79,-0.15675970911979675,0.00030797719955444336,3199,3200,-0.1507796049118042,0.165664,307200,0.0004,388
3.8659842014312744,2.315135955810547,817,43.2,-0.004164017736911774,0.0006357431411743164,3299,3300,-0.16145089268684387,0.165216,316800,0.0004,387
4.480357646942139,2.4892871379852295,841,42.67,-0.029083922505378723,0.0010712146759033203,3399,3400,-0.1725131869316101,0.164768,326400,0.0004,387
3.621170997619629,0.7366305589675903,866,42.08,0.004885710775852203,0.003011167049407959,3499,3500,-0.16610190272331238,0.16432,336000,0.0004,387
2.655557632446289,0.44253844022750854,890,19.21,-0.017668846994638443,0.0031478404998779297,3599,3600,-0.14296826720237732,0.163872,345600,0.0004,387
