time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
329,0.000199164416,0.0022133293095976114,0.003637552261352539,99,0.248427136,-1.069513201713562,0.36486589908599854,32768,4,3,-0.6751677989959717,117.67
258,0.00019805030400000002,-0.020631663501262665,0.38635140657424927,253,0.246854272,-0.3262481987476349,0.33318838477134705,65536,8,7,-0.674285888671875,107.22
189,0.000196936192,-0.03194143995642662,0.5004984736442566,519,0.245281408,0.41697394847869873,0.30657386779785156,98304,12,11,-0.6561388969421387,90.26
159,0.00019582208000000002,-0.03278429061174393,0.5110829174518585,821,0.243708544,0.7907698154449463,0.25900739431381226,131072,16,15,-0.6394684314727783,92.35
145,0.00019470796800000003,-0.034168340265750885,0.43538016080856323,1128,0.24213568,1.0250324010849,0.3146030008792877,163840,20,19,-0.6337006688117981,87.95
151,0.000193593856,-0.03948810696601868,0.5316078960895538,1300,0.240562816,1.21274733543396,0.3023095428943634,196608,24,23,-0.627021074295044,89.67
157,0.00019247974400000002,-0.036185119301080704,0.6106731593608856,1452,0.238989952,1.7483628988265991,0.2919696569442749,229376,28,27,-0.6285847425460815,85.98
150,0.000191365632,-0.04102892056107521,0.6083140671253204,1738,0.237417088,1.1890473365783691,0.29325973987579346,262144,32,31,-0.627569317817688,83.94
156,0.00019025152000000001,-0.045257486402988434,0.6195708513259888,1890,0.235844224,1.7354075908660889,0.2857615649700165,294912,36,35,-0.6264934539794922,85.5
160,0.000189137408,-0.04227331280708313,0.5772099792957306,2042,0.23427136,1.7263364791870117,0.29820895195007324,327680,40,39,-0.6258352994918823,83.72
164,0.000188023296,-0.04561477154493332,0.6408371031284332,2197,0.232698496,1.695457100868225,0.30232101678848267,360448,44,43,-0.6243728399276733,83.82
168,0.00018690918400000002,-0.0505126528441906,0.7175915837287903,2330,0.231125632,2.1168742179870605,0.2733910083770752,393216,48,47,-0.6247830390930176,96.13
171,0.000185795072,-0.05703854560852051,0.755338728427887,2479,0.229552768,2.1583056449890137,0.2455703616142273,425984,52,51,-0.6241979002952576,84.65
174,0.00018468096,-0.050656888633966446,0.6970803141593933,2632,0.227979904,1.9564316272735596,0.2707342803478241,458752,56,55,-0.6196808218955994,91.0
176,0.000183566848,-0.055998243391513824,0.6954953074455261,2785,0.22640704,2.290611982345581,0.2468664050102234,491520,60,59,-0.6126066446304321,94.7
178,0.000182452736,-0.05139575153589249,0.6809825897216797,2942,0.224834176,2.3595945835113525,0.3139212131500244,524288,64,63,-0.6077501773834229,82.96
179,0.00018133862400000002,-0.06038590148091316,0.7492890059947968,3095,0.223261312,2.500037431716919,0.259924054145813,557056,68,67,-0.6019404530525208,80.73
183,0.00018022451200000003,-0.05743100494146347,0.7072152197360992,3214,0.221688448,2.7820122241973877,0.30163949728012085,589824,72,71,-0.5986943244934082,102.42
187,0.0001791104,-0.06366683542728424,0.7817815840244293,3328,0.220115584,2.9552700519561768,0.25267064571380615,622592,76,75,-0.5975902676582336,93.43
190,0.000177996288,-0.06094188243150711,0.7719884365797043,3437,0.21854272,2.8574929237365723,0.2578865885734558,655360,80,79,-0.5918945670127869,91.02
