#{"t_start": 1758680638.0703945, "env_id": "None"}
r,l,t
2.33326,23,2.560662
-0.462497,8,2.61985
3.06462,32,2.951677
-0.462497,8,3.066231
4.151576,33,3.398572
-0.462497,8,3.454433
4.906101,38,3.893718
-0.462497,8,3.950713
5.151576,32,4.282436
-0.462497,8,4.391714
3.500371,20,4.588408
-1.224899,22,4.794544
3.662025,22,5.06799
-0.462497,8,5.122576
3.903473,15,5.282897
-0.462497,8,5.396878
4.66868,46,5.899954
-0.462497,8,5.9534
3.903473,15,6.113953
-0.843698,15,6.27444
4.826314,43,6.753303
-0.462497,8,6.813875
3.903473,15,6.976985
-0.462497,8,7.091278
3.391231,24,7.320301
-0.843698,15,7.483364
4.910128,39,7.940003
-0.843698,15,8.041398
4.910128,39,8.481962
-0.462497,8,8.535904
-0.462497,8,8.653705
5.151576,32,9.02461
-0.462497,8,9.076272
2.903473,16,9.250586
-0.462497,8,9.37246
-0.462497,8,9.425928
3.66868,47,9.93399
-0.843698,15,10.096561
4.02413,58,10.753698
-0.462497,8,10.807985
-0.462497,8,10.928039
4.910128,39,11.321668
-0.462497,8,11.440588
3.903473,15,11.639798
-0.462497,8,11.692844
2.937682,43,12.174113
-0.462497,8,12.228964
2.391231,25,12.526853
-0.462497,8,12.6416
5.151576,32,12.982596
-0.462497,8,13.037367
2.4424,19,13.232912
-0.55368,9,13.356008
3.903473,15,13.525898
-0.462497,8,13.57992
3.903473,15,13.752259
-0.462497,8,13.874238
3.662025,22,14.093027
-0.462497,8,14.235862
3.910128,40,14.694271
-0.462497,8,14.810534
3.391231,24,15.038715
-0.462497,8,15.153203
5.309203,33,15.503912
-0.843698,15,15.670702
5.151576,32,16.003692
-1.224899,22,16.209142
3.391231,24,16.432835
-0.462497,8,16.547375
-0.462497,8,16.603622
4.910128,39,17.092675
-0.462497,8,17.146393
3.903473,15,17.308581
-0.462497,8,17.424751
3.258923,27,17.669208
-0.462497,8,17.788906
3.903473,15,17.949948
-0.462497,8,18.003114
3.903473,15,18.166043
-0.462497,8,18.284237
3.662025,22,18.495409
-0.934881,16,18.664885
3.258923,27,18.978414
-0.462497,8,19.034174
2.845502,14,19.19533
-0.462497,8,19.314071
3.274467,75,20.1628
-0.462497,8,20.326319
5.151576,32,20.753069
-0.462497,8,20.811356
3.500371,20,21.086753
-1.987301,36,21.532458
3.500371,20,21.756095
-0.462497,8,21.883886
3.258923,27,22.160443
-0.462497,8,22.287375
-0.843698,15,22.496565
0.974174,76,23.409214
-0.462497,8,23.468486
2.855821,32,23.845091
-0.843698,15,24.065454
2.845502,14,24.283797
-0.462497,8,24.343479
3.903473,15,24.572628
-0.843698,15,24.744852
3.903473,15,24.923164
-0.462497,8,25.04902
3.662025,22,25.276738
-0.462497,8,25.397206
3.391231,24,25.631943
-0.462497,8,25.756024
-6.03117,1200,39.746572
3.500371,20,39.952406
-0.462497,8,40.009044
5.067755,40,40.494723
-0.462497,8,40.552579
10.411692,1200,54.265443
3.903473,15,54.447495
-0.462497,8,54.565848
4.910128,39,54.964711
-0.462497,8,55.088075
5.309203,33,55.443456
-0.843698,15,55.614426
3.903473,15,55.829999
-0.462497,8,55.892888
