time/iterations,rollout/ep_len_mean,train/value_loss,time/fps,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,train/policy_loss,train/ent_coef,train/explained_variance,time/time_elapsed,train/learning_rate
100,65.19,129.19119262695312,437,19200,99,16.318628311157227,-0.19419585168361664,-0.037120383232831955,1.195584,-0.00011169910430908203,43,0.0004
200,116.45,34.09705352783203,436,38400,199,13.207380294799805,-0.1631651371717453,-0.0008376719197258353,1.191168,0.00028252601623535156,87,0.0004
300,89.24,30.972984313964844,431,57600,299,13.840019226074219,-0.19535920023918152,0.07018381357192993,1.186752,0.00011646747589111328,133,0.0004
400,76.19,20.734548568725586,430,76800,399,11.750205039978027,-0.18574224412441254,-0.03654510900378227,1.182336,0.00031638145446777344,178,0.0004
500,66.33,5.670463562011719,424,96000,499,15.643282890319824,-0.1838119924068451,-0.0016471048584207892,1.1779199999999999,0.00011086463928222656,226,0.0004
600,68.25,26.941455841064453,421,115200,599,15.547969818115234,-0.18470105528831482,0.03180629014968872,1.1735039999999999,0.00045162439346313477,273,0.0004
700,79.42,28.504348754882812,418,134400,699,14.258916854858398,-0.19818738102912903,-5.43053429282736e-05,1.169088,0.0003007054328918457,320,0.0004
800,66.94,8.779767990112305,415,153600,799,17.79279327392578,-0.17378126084804535,-0.04013505205512047,1.164672,0.0005341172218322754,369,0.0004
900,80.04,14.428943634033203,414,172800,899,13.286637306213379,-0.18558353185653687,0.03396688029170036,1.160256,0.0005347728729248047,416,0.0004
1000,101.1,33.21451950073242,413,192000,999,13.186690330505371,-0.17934386432170868,0.010717618279159069,1.15584,6.157159805297852e-05,464,0.0004
1100,77.4,13.752345085144043,412,211200,1099,16.275775909423828,-0.1786184310913086,0.022745460271835327,1.151424,0.00036525726318359375,511,0.0004
1200,88.22,27.746990203857422,412,230400,1199,13.308045387268066,-0.16516825556755066,-0.0007972460007295012,1.147008,0.00021827220916748047,559,0.0004
1300,102.18,55.024986267089844,411,249600,1299,13.640594482421875,-0.21947753429412842,-0.018501080572605133,1.142592,1.704692840576172e-05,606,0.0004
1400,55.3,35.547271728515625,409,268800,1399,14.420358657836914,-0.17540743947029114,-0.05071555823087692,1.1381759999999999,-0.00023651123046875,655,0.0004
1500,90.78,12.19465160369873,409,288000,1499,14.001543998718262,-0.20693783462047577,-0.004064838867634535,1.1337599999999999,0.0006169676780700684,704,0.0004
1600,89.48,17.466169357299805,408,307200,1599,15.408853530883789,-0.1894746720790863,0.034511491656303406,1.129344,0.0005637407302856445,751,0.0004
1700,63.18,34.027320861816406,408,326400,1699,13.605720520019531,-0.19638219475746155,0.07150296866893768,1.124928,0.00028508901596069336,798,0.0004
1800,41.77,9.46336555480957,408,345600,1799,12.826513290405273,-0.1799081563949585,0.02916569821536541,1.120512,0.0005123019218444824,845,0.0004
1900,53.77,11.098925590515137,407,364800,1899,13.886792182922363,-0.18307165801525116,0.11939411610364914,1.116096,0.00044858455657958984,894,0.0004
2000,75.92,82.20822143554688,407,384000,1999,13.240020751953125,-0.20122238993644714,-0.03412774205207825,1.11168,-0.00014841556549072266,942,0.0004
2100,64.86,50.839454650878906,406,403200,2099,13.874942779541016,-0.1910191774368286,0.04932120069861412,1.107264,0.00011515617370605469,991,0.0004
2200,42.29,22.040958404541016,405,422400,2199,12.496944427490234,-0.18464897572994232,0.04302797466516495,1.102848,0.0001888871192932129,1042,0.0004
2300,55.2,15.510087966918945,403,441600,2299,16.798919677734375,-0.1768123358488083,0.0024760067462921143,1.0984319999999999,0.0004368424415588379,1093,0.0004
2400,91.66,119.66182708740234,403,460800,2399,13.56805419921875,-0.16398856043815613,-0.004796259570866823,1.0940159999999999,-9.071826934814453e-05,1142,0.0004
2500,54.82,8.905153274536133,403,480000,2499,15.241384506225586,-0.20483623445034027,-0.010056836530566216,1.0896,0.0004950761795043945,1190,0.0004
2600,86.83,22.65456771850586,402,499200,2599,12.003039360046387,-0.20235876739025116,-0.005530764814466238,1.085184,0.00014412403106689453,1238,0.0004
2700,45.38,39.11597442626953,402,518400,2699,13.243610382080078,-0.21403831243515015,-0.001391916535794735,1.080768,0.00015723705291748047,1287,0.0004
2800,51.93,32.53805923461914,402,537600,2799,13.572966575622559,-0.17614814639091492,-0.06744108349084854,1.076352,4.2378902435302734e-05,1336,0.0004
2900,74.21,19.274477005004883,402,556800,2899,14.934043884277344,-0.185345858335495,0.03944804146885872,1.071936,0.00028318166732788086,1384,0.0004
3000,41.47,12.817106246948242,400,576000,2999,14.603062629699707,-0.19545400142669678,-0.039645783603191376,1.06752,0.00037741661071777344,1436,0.0004
3100,68.82,7.7938337326049805,401,595200,3099,14.024499893188477,-0.19934234023094177,-0.006665428634732962,1.063104,0.00035136938095092773,1483,0.0004
3200,68.66,32.89753723144531,400,614400,3199,14.414419174194336,-0.19545237720012665,-0.013979783281683922,1.058688,0.00015431642532348633,1532,0.0004
3300,66.31,30.286090850830078,400,633600,3299,14.196799278259277,-0.18711507320404053,0.0009642380173318088,1.0542719999999999,0.0002606511116027832,1580,0.0004
3400,90.04,27.404150009155273,400,652800,3399,14.105627059936523,-0.16787943243980408,-0.02923039346933365,1.049856,-7.939338684082031e-05,1629,0.0004
3500,77.22,23.27350425720215,400,672000,3499,12.425309181213379,-0.18593131005764008,-0.03038426861166954,1.04544,0.00028020143508911133,1676,0.0004
3600,53.64,25.91818618774414,400,691200,3599,15.322093963623047,-0.20190545916557312,-0.006250900216400623,1.041024,0.0004956722259521484,1725,0.0004
3700,31.56,5.281027793884277,400,710400,3699,14.13711929321289,-0.21108488738536835,-0.06793761253356934,1.036608,-0.0001538991928100586,1775,0.0004
3800,66.77,25.72895050048828,399,729600,3799,14.23489761352539,-0.16807448863983154,-0.025368599221110344,1.032192,0.00016987323760986328,1824,0.0004
3900,77.79,13.619771957397461,399,748800,3899,16.109888076782227,-0.16731226444244385,0.04551970958709717,1.027776,0.0002741217613220215,1872,0.0004
4000,66.67,41.04286193847656,399,768000,3999,16.440235137939453,-0.17284005880355835,-0.02984827570617199,1.02336,-4.017353057861328e-05,1921,0.0004
4100,55.28,8.79464340209961,399,787200,4099,14.036547660827637,-0.17117875814437866,0.023155681788921356,1.0189439999999998,0.0003521442413330078,1970,0.0004
4200,88.73,73.31681823730469,399,806400,4199,12.874289512634277,-0.20313510298728943,0.06792431324720383,1.0145279999999999,-6.0558319091796875e-05,2018,0.0004
4300,77.4,10.488592147827148,399,825600,4299,14.355698585510254,-0.17937308549880981,-0.022861722856760025,1.010112,0.000508427619934082,2068,0.0004
4400,53.78,12.149702072143555,398,844800,4399,14.456562042236328,-0.19320347905158997,-0.024448474869132042,1.005696,0.0008333325386047363,2118,0.0004
4500,42.97,28.871044158935547,398,864000,4499,16.211570739746094,-0.1976117491722107,0.03085508570075035,1.00128,0.0001278519630432129,2167,0.0004
4600,51.56,7.945476531982422,398,883200,4599,13.694051742553711,-0.19800907373428345,-0.003801897168159485,0.996864,0.0004938840866088867,2214,0.0004
4700,78.88,31.419857025146484,398,902400,4699,13.167469024658203,-0.1735469400882721,0.05226826295256615,0.992448,0.00021475553512573242,2263,0.0004
4800,68.18,22.30147933959961,398,921600,4799,15.052687644958496,-0.17569205164909363,-0.007256410084664822,0.988032,0.000335693359375,2311,0.0004
4900,41.87,26.201919555664062,398,940800,4899,13.368610382080078,-0.2040911614894867,-0.004420987330377102,0.983616,0.0003867149353027344,2360,0.0004
5000,68.58,32.139644622802734,398,960000,4999,15.405202865600586,-0.19471335411071777,-0.04687900468707085,0.9792,0.00011706352233886719,2408,0.0004
5100,99.83,9.69502067565918,398,979200,5099,15.47072982788086,-0.18394820392131805,0.010412154719233513,0.974784,0.0005146265029907227,2457,0.0004
5200,41.86,40.277679443359375,398,998400,5199,15.05633544921875,-0.1960183084011078,-0.10739292949438095,0.970368,9.292364120483398e-05,2508,0.0004
5300,68.88,9.050565719604492,398,1017600,5299,15.542462348937988,-0.18493828177452087,-0.01616109535098076,0.9659519999999999,-0.0001569986343383789,2556,0.0004
5400,29.12,26.163061141967773,397,1036800,5399,13.859360694885254,-0.18187670409679413,0.04688318818807602,0.961536,0.0003063082695007324,2605,0.0004
5500,54.54,54.21563720703125,397,1056000,5499,15.351880073547363,-0.19676735997200012,0.07486875355243683,0.95712,-0.00012981891632080078,2654,0.0004
5600,54.68,26.056835174560547,397,1075200,5599,14.674976348876953,-0.1937778890132904,-0.041317716240882874,0.952704,0.00032585859298706055,2702,0.0004
5700,76.61,9.166959762573242,397,1094400,5699,12.503155708312988,-0.16964678466320038,0.00841790996491909,0.948288,0.0007008910179138184,2750,0.0004
5800,52.4,6.167215347290039,397,1113600,5799,12.644600868225098,-0.17042510211467743,0.0030292398296296597,0.943872,0.0005916357040405273,2799,0.0004
5900,61.14,55.65542221069336,397,1132800,5899,11.075394630432129,-0.1957416981458664,0.06849974393844604,0.939456,-2.7179718017578125e-05,2846,0.0004
6000,57.68,37.594383239746094,397,1152000,5999,13.931766510009766,-0.18439099192619324,0.0035125992726534605,0.93504,3.600120544433594e-05,2894,0.0004
6100,87.17,13.726726531982422,398,1171200,6099,13.547928810119629,-0.18764245510101318,-0.01224508136510849,0.9306239999999999,0.00034880638122558594,2941,0.0004
6200,54.91,49.23699951171875,398,1190400,6199,12.844439506530762,-0.1868000030517578,0.01462921779602766,0.9262079999999999,9.298324584960938e-05,2989,0.0004
6300,68.2,11.486764907836914,398,1209600,6299,14.657382011413574,-0.17671534419059753,0.049303021281957626,0.921792,0.00036281347274780273,3036,0.0004
