train/entropy_loss,time/iterations,train/value_loss,train/learning_rate,train/policy_loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/explained_variance,time/time_elapsed,train/ent_coef,time/fps,train/n_updates
-0.18172067403793335,100,1.8677319288253784,0.0004,-0.019915807992219925,3.1352615356445312,19200,31.28,0.0009306669235229492,113,0.546736,169,99
-0.1593342274427414,200,4.607232093811035,0.0004,-0.03689226880669594,3.9000983238220215,38400,42.59,2.8252601623535156e-05,177,0.5434720000000001,215,199
-0.17324642837047577,300,6.667903900146484,0.0004,0.07414102554321289,4.246542930603027,57600,54.55,5.453824996948242e-05,222,0.540208,258,299
-0.15208323299884796,400,3.368051052093506,0.0004,-0.05402747914195061,3.407716989517212,76800,31.72,0.0004903674125671387,267,0.5369440000000001,286,399
-0.17344999313354492,500,2.7626473903656006,0.0004,-0.09259413927793503,3.2156145572662354,96000,32.86,0.00018674135208129883,312,0.53368,307,499
-0.18785950541496277,600,2.562800407409668,0.0004,-0.07746773958206177,3.5266175270080566,115200,44.9,0.000760495662689209,355,0.530416,323,599
-0.16403335332870483,700,3.5223586559295654,0.0004,0.048271965235471725,4.096780300140381,134400,55.77,0.0009003877639770508,399,0.5271520000000001,336,699
-0.15892238914966583,800,1.8407304286956787,0.0004,-0.015810798853635788,2.782811164855957,153600,19.25,0.0005091428756713867,444,0.523888,345,799
-0.16941702365875244,900,1.4277758598327637,0.0004,-0.026432333514094353,4.489848613739014,172800,65.8,0.0011249184608459473,490,0.5206240000000001,351,899
-0.13993383944034576,1000,2.3898463249206543,0.0004,-0.01698394864797592,3.4759812355041504,192000,30.62,0.0009126663208007812,537,0.51736,357,999
-0.17183099687099457,1100,5.698102951049805,0.0004,-0.016541149467229843,3.936812162399292,211200,42.51,-8.344650268554688e-07,582,0.514096,362,1099
-0.14823512732982635,1200,1.4520472288131714,0.0004,-0.04350903257727623,3.4354562759399414,230400,31.96,0.0017835497856140137,628,0.5108320000000001,366,1199
-0.16033142805099487,1300,2.960378408432007,0.0004,0.021187391132116318,3.7563986778259277,249600,43.49,-0.0001329183578491211,673,0.507568,370,1299
-0.1735726296901703,1400,4.991161346435547,0.0004,0.013999203220009804,2.934401035308838,268800,18.89,0.00011098384857177734,719,0.5043040000000001,373,1399
-0.1836462914943695,1500,2.502577781677246,0.0004,0.009266653098165989,3.6904401779174805,288000,30.73,0.001011490821838379,767,0.50104,375,1499
-0.1963842809200287,1600,2.737787961959839,0.0004,-0.06411313265562057,5.5392255783081055,307200,88.79,0.00025194883346557617,820,0.49777600000000005,374,1599
-0.16826358437538147,1700,4.887661457061768,0.0004,0.008303826674818993,4.480357646942139,326400,42.67,0.0008536577224731445,868,0.49451200000000006,375,1699
-0.1794193983078003,1800,1.5593233108520508,0.0004,-0.01820085570216179,2.655557632446289,345600,19.21,0.001182854175567627,915,0.491248,377,1799
-0.16418105363845825,1900,2.954526662826538,0.0004,-0.009768059477210045,3.540583848953247,364800,31.74,0.0010057687759399414,965,0.48798400000000003,377,1899
-0.1554567515850067,2000,2.085209608078003,0.0004,-0.011439664289355278,3.4471328258514404,384000,43.06,0.00027108192443847656,1014,0.48472000000000004,378,1999
-0.18717026710510254,2100,1.0408719778060913,0.0004,0.05693653225898743,3.6452693939208984,403200,33.04,0.0027967095375061035,1062,0.48145600000000005,379,2099
-0.16309025883674622,2200,0.9731087684631348,0.0004,-0.005977119319140911,4.2171711921691895,422400,54.2,0.0014922618865966797,1110,0.47819200000000006,380,2199
-0.1795424222946167,2300,1.8067569732666016,0.0004,-0.04615535959601402,2.5992302894592285,441600,17.25,0.0013633966445922852,1156,0.474928,381,2299
-0.16466204822063446,2400,4.477202415466309,0.0004,0.0907665491104126,3.838059186935425,460800,42.67,0.0004833340644836426,1204,0.4716640000000001,382,2399
-0.16350075602531433,2500,8.681827545166016,0.0004,0.0034376676194369793,2.9456145763397217,480000,30.49,-5.7816505432128906e-05,1252,0.46840000000000004,383,2499
-0.1627005934715271,2600,2.7197177410125732,0.0004,-0.0240427665412426,2.9986658096313477,499200,29.98,0.0010796785354614258,1299,0.46513600000000005,384,2599
-0.15815144777297974,2700,1.4124888181686401,0.0004,-0.012469238601624966,2.9812963008880615,518400,21.62,0.0004481673240661621,1348,0.46187200000000006,384,2699
-0.16347470879554749,2800,2.8625361919403076,0.0004,0.014263867400586605,3.861682415008545,537600,42.24,-0.00047719478607177734,1398,0.458608,384,2799
-0.15815836191177368,2900,1.9775512218475342,0.0004,-0.020718954503536224,3.9774813652038574,556800,44.15,0.0012170672416687012,1444,0.4553440000000001,385,2899
-0.15647301077842712,3000,5.142454147338867,0.0004,0.006510646548122168,3.245591163635254,576000,42.11,0.00033855438232421875,1493,0.45208000000000004,385,2999
-0.16464896500110626,3100,4.820330619812012,0.0004,0.006059803068637848,2.6858937740325928,595200,17.74,0.0005971193313598633,1539,0.44881600000000005,386,3099
-0.1772356927394867,3200,5.951751232147217,0.0004,-0.0077078863978385925,2.7115554809570312,614400,19.01,0.0001246333122253418,1589,0.44555200000000006,386,3199
-0.18044590950012207,3300,2.8954458236694336,0.0004,0.005441469140350819,3.5905187129974365,633600,53.77,0.0003250241279602051,1636,0.442288,387,3299
-0.170441672205925,3400,4.779788970947266,0.0004,0.06430933624505997,3.591407060623169,652800,30.44,0.0003485679626464844,1684,0.4390240000000001,387,3399
-0.1690121591091156,3500,4.11043643951416,0.0004,-0.022991066798567772,3.367943048477173,672000,32.78,0.0004252195358276367,1733,0.43576000000000004,387,3499
