#{"t_start": 1760634838.4600484, "env_id": "None"}
r,l,t
1.68096,100,1.871299
-1.649346,31,2.240865
0.196449,71,3.080368
-1.445655,175,5.12804
-7.261779,175,7.220978
-0.552913,16,7.422158
0.463507,55,8.100821
-0.479502,47,8.6917
0.778901,30,9.063654
-0.66247,57,9.794109
-1.889829,75,10.752403
-3.712631,175,13.006136
-0.019562,108,23.276329
-3.297531,71,24.121065
0.18454,17,24.322271
-1.711344,35,24.732703
-3.411408,136,26.381703
-4.538237,55,27.090288
-1.785831,150,28.983155
1.354374,19,29.2213
2.17811,31,29.616208
1.653776,99,30.892655
-2.413024,102,32.185264
-4.326283,175,34.425131
1.008165,76,44.234088
-1.121512,175,46.278342
1.62773,175,48.404617
-3.155878,87,49.513189
-0.614803,41,50.032113
0.084623,60,50.804832
-3.867881,175,53.021235
-7.186152,175,55.231013
-1.187593,26,55.561863
-1.873175,100,65.738864
-6.596231,175,67.87885
-3.936496,175,70.028757
-4.322312,60,70.767409
0.093109,57,71.521479
-2.234945,73,72.455372
-3.39011,71,73.391326
-4.48419,175,75.598961
-0.659995,49,76.236624
-2.006258,175,87.523563
2.252159,58,88.206515
-1.522865,27,88.523515
1.261645,175,90.597968
-2.436607,175,92.710277
1.401509,27,93.05631
-1.04345,20,93.315205
-0.685371,76,94.339764
1.451242,54,95.121207
1.233714,88,96.337448
-1.724293,85,97.490886
-3.922249,175,99.67207
-1.903052,175,110.932265
-2.565724,175,113.084802
0.465878,101,114.322874
-1.306095,18,114.551101
2.309012,64,115.394174
-0.63186,54,116.093991
-1.523797,26,116.430892
1.421848,115,117.912885
0.343446,175,120.183677
-0.141935,36,120.666747
-4.335773,118,122.193063
-1.808082,12,122.353324
-2.312567,175,133.631945
-0.851032,175,135.731009
-3.151314,175,137.97431
-6.748028,175,140.21346
-0.057529,113,141.666286
0.432498,64,142.501285
-4.081168,175,153.605121
-0.529124,39,154.088554
0.224305,81,155.061335
-1.373561,175,157.204558
-1.3802,38,157.681166
-0.7635,14,157.854245
-2.550206,78,158.852119
-1.176054,60,159.622193
-0.8256,130,161.320982
2.535198,65,162.180341
-2.020256,175,164.450635
0.960209,42,164.985388
-0.401631,174,176.311357
0.966606,59,177.007997
-0.633954,13,177.159937
-2.164269,175,179.292091
0.258051,16,179.494003
0.480465,175,181.682602
-2.528485,19,181.923526
-3.682411,175,184.158012
1.369447,18,184.391296
1.855211,39,184.902281
0.314276,128,186.56663
-0.344212,116,188.063062
-0.384975,73,197.964002
-0.995482,16,198.164856
-1.565469,24,198.450118
-0.132642,50,199.054405
0.932777,33,199.446302
0.467846,64,200.204315
0.387665,148,202.070637
3.84601,80,203.113822
0.434121,175,205.422412
2.734431,81,206.505106
1.206867,175,208.785931
2.651841,55,209.684959
0.667197,32,210.133554
-1.420125,35,210.608039
-0.171082,92,220.842131
-1.928425,175,223.021817
0.098065,28,223.358227
-1.285285,67,224.203242
-0.38789,52,224.91123
1.122856,69,225.905517
-1.466626,168,228.442625
1.372411,106,229.852507
2.345322,65,230.764501
-0.218393,20,231.053909
-1.468212,175,233.500316
0.349346,118,244.406152
-1.529859,135,246.123844
-0.340944,86,247.240074
0.868067,175,249.609133
-0.323918,79,250.784092
-2.400288,50,251.66292
0.72342,175,254.076869
0.885169,99,255.404283
1.167576,19,255.647028
0.982382,74,256.63359
-0.947285,115,266.862383
-0.128629,85,267.88717
-0.020673,175,270.053128
0.399315,35,270.498237
-0.289747,175,272.732254
-4.548003,110,274.192661
2.304245,32,274.610953
0.55548,175,276.871073
-1.881359,68,277.761935
-1.189116,58,278.512488
1.090506,46,287.951129
1.842068,39,288.42403
-0.128604,175,290.579068
4.040801,47,291.162645
2.692067,117,292.62134
-1.773402,175,294.887006
0.335284,89,296.034719
6.010542,56,296.748849
0.990321,50,297.388757
1.79256,39,297.922307
2.009943,175,300.248265
-0.112315,87,310.491946
0.542064,32,310.892301
2.33897,107,312.138628
2.618105,29,312.478007
3.531354,86,313.543607
-0.992118,85,314.613104
1.949018,59,315.352971
1.230676,113,316.800092
-0.540534,175,319.062792
2.018244,104,320.38537
-0.901773,15,320.587065
-2.406165,37,321.061246
1.571442,175,332.600161
0.553336,175,334.746414
0.241627,17,334.961396
1.598734,71,337.776753
-0.154909,73,340.731315
1.734994,78,344.625592
1.920744,88,348.743898
0.222414,37,350.650133
1.40021,65,354.295962
-1.77501,33,356.157383
2.567556,175,365.017723
2.023856,83,369.008859
1.115457,37,370.786976
1.976178,133,405.319373
-3.57014,175,414.765162
-0.442155,32,416.450857
1.984151,39,418.552926
0.333944,34,420.479404
0.017005,175,429.014771
1.401637,21,430.135653
0.517878,122,436.660447
0.468676,175,445.213137
-2.319505,175,479.875941
-0.149996,175,488.484045
-0.333363,175,497.298489
0.764588,168,500.724223
2.334942,175,503.073019
0.303407,100,504.261041
-2.353436,39,504.737381
-0.009773,71,505.647274
2.455087,79,508.469617
1.869866,175,546.043427
0.10885,39,547.765061
0.982186,32,549.207498
-1.434687,140,556.355153
-0.546341,71,559.584079
-0.762473,145,566.325317
-0.433288,32,567.918061
2.843865,66,570.925251
2.574685,96,576.284092
-0.324696,123,582.842968
2.388428,80,586.944103
-0.04023,149,622.2043
0.911555,156,630.003246
1.837859,65,633.178861
1.668308,55,635.777128
-0.453447,63,638.824235
2.770152,46,641.199691
1.842031,102,646.144269
1.652083,25,647.384988
3.46807,175,656.475336
-0.867814,26,657.838139
0.3818,88,662.345096
2.336517,115,668.205577
3.782124,40,701.275715
-1.304038,175,710.483475
1.841925,14,710.91703
1.98282,90,712.166017
3.502659,106,713.541308
1.840987,160,715.593052
-1.382983,175,717.830975
7.387182,75,718.810319
-0.736805,175,721.274581
-0.276485,175,732.323837
3.159008,67,733.152193
0.171774,58,733.876577
0.865431,32,734.270904
-0.211065,82,735.302203
0.908925,51,735.96692
0.782916,39,736.467204
0.090659,59,737.23487
1.158062,69,738.144152
1.871121,62,739.038615
1.297637,105,740.543104
0.929553,36,741.081905
1.924151,175,745.054217
1.382676,45,747.644956
2.006774,13,757.726388
3.086985,65,758.476104
2.193433,74,759.325626
-0.060325,64,760.099396
1.926111,167,762.33969
2.294065,78,763.409816
2.297151,16,763.603911
2.844513,91,764.814428
-0.398729,11,764.954249
-0.424816,131,766.653111
1.021578,38,767.429916
-1.142821,26,769.013945
4.006654,134,777.002057
3.537177,131,804.139179
-0.63489,13,804.290971
3.5188,40,804.774773
0.490809,128,810.734196
3.238717,175,820.311053
3.516965,69,824.02901
1.417825,29,825.699158
1.95898,175,834.21593
2.356536,32,835.953929
-0.388037,11,836.377022
-0.902507,64,839.389795
0.298427,175,846.776262
-0.515471,175,882.318902
-3.758015,175,890.417316
0.551139,63,893.955257
3.627888,132,901.179232
2.414293,175,909.596679
0.061969,159,917.028882
-0.360453,175,925.89611
0.962242,59,928.72008
0.435466,175,965.144095
-1.746592,10,965.655
1.245002,104,970.15379
1.222892,84,974.024824
3.297245,120,979.545776
2.194037,39,981.216962
-1.837977,16,981.929095
0.636539,147,989.038265
1.692705,61,992.011645
2.556794,48,994.622048
1.442244,23,995.658043
3.216622,36,997.557045
0.226854,175,1005.893832
3.035597,25,1037.429705
-1.715755,16,1038.224874
0.063693,113,1044.213396
1.748261,19,1045.147614
1.512887,52,1047.515383
2.877842,103,1052.438413
2.961003,132,1059.031787
2.434468,113,1065.037124
-0.748245,175,1074.113801
2.023311,31,1075.516548
3.055147,103,1080.745167
0.820581,175,1116.361578
1.871425,13,1116.919728
-0.19297,10,1117.396156
2.466534,120,1123.365735
0.381101,80,1127.189848
0.822308,175,1136.049753
-1.132707,27,1137.278186
-0.536025,175,1145.866633
-0.904946,27,1146.985266
0.785774,89,1151.457201
0.49226,55,1154.204081
0.946033,32,1155.957524
0.988884,175,1164.114249
1.72103,175,1199.219774
0.8942,55,1201.84983
2.089439,18,1202.644001
0.237551,175,1210.833262
-1.490607,92,1215.328025
-0.879372,15,1216.0499
0.211157,55,1218.954047
3.977159,119,1225.030149
-1.851993,175,1234.003472
-0.69073,175,1272.692007
2.171845,78,1276.534974
1.692463,15,1277.197519
3.940699,46,1279.616274
-0.420205,149,1287.360065
0.826514,175,1296.415899
2.552912,111,1302.390715
-1.563637,9,1302.737356
3.110136,77,1306.320332
0.960886,111,1311.075211
2.596064,124,1317.043857
1.429899,83,1320.696959
0.742721,64,1351.276006
4.165756,57,1353.938262
0.250833,92,1358.694116
1.849594,14,1359.439116
1.657937,20,1360.373216
-0.607112,69,1363.728366
0.085778,172,1372.234032
