time/fps,train/ent_coef,train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,train/policy_loss,time/iterations,rollout/ep_len_mean,train/explained_variance,train/value_loss,time/total_timesteps,train/entropy_loss
391,0.1990528,0.0002990101333333333,29,117,-54.2441291809082,0.07465802878141403,30,267.46,0.4471052885055542,0.17076373100280762,46080,-0.631771445274353
391,0.19810560000000002,0.00029798613333333334,59,235,-48.680904388427734,0.15096843242645264,60,241.93,0.5397026240825653,0.16318279504776,92160,-0.5779052972793579
385,0.1971584,0.0002969621333333333,89,358,-66.43460083007812,0.11146275699138641,90,327.75,0.3719918727874756,0.28512558341026306,138240,-0.5196221470832825
383,0.1962112,0.00029593813333333335,119,481,-51.448585510253906,0.10205592215061188,120,255.3,0.36665111780166626,0.1759415566921234,184320,-0.5463939905166626
382,0.19526400000000002,0.0002949141333333333,149,602,-53.9516487121582,0.08237044513225555,150,264.52,0.45970648527145386,0.23030173778533936,230400,-0.5566858053207397
381,0.1943168,0.0002938901333333333,179,725,-55.20859909057617,0.05648326873779297,180,273.26,0.4472571611404419,0.3197022080421448,276480,-0.49137991666793823
380,0.1933696,0.00029286613333333333,209,846,-47.47441864013672,0.09316953271627426,210,232.68,0.6215381026268005,0.1950254887342453,322560,-0.5507449507713318
381,0.19242240000000002,0.0002918421333333333,239,966,-49.680137634277344,0.10134454816579819,240,244.34,0.6608884930610657,0.11635708808898926,368640,-0.5877014398574829
380,0.1914752,0.00029081813333333334,269,1090,-50.705284118652344,0.08120384812355042,270,249.64,0.5608876347541809,0.19715988636016846,414720,-0.5554093718528748
380,0.190528,0.0002897941333333333,299,1212,-49.48622131347656,0.07635398954153061,300,243.4,0.41907113790512085,0.1912110298871994,460800,-0.6131352186203003
379,0.18958080000000002,0.0002887701333333333,329,1335,-56.02584457397461,0.08832848072052002,330,277.08,0.45083409547805786,0.2876882553100586,506880,-0.5140711069107056
379,0.1886336,0.0002877461333333333,359,1458,-60.23252868652344,0.09308890998363495,360,293.38,0.49635565280914307,0.1778380125761032,552960,-0.5529308319091797
379,0.1876864,0.0002867221333333333,389,1579,-50.7459831237793,0.1218792200088501,390,250.77,0.5483447909355164,0.22881022095680237,599040,-0.5565333366394043
378,0.18673920000000002,0.00028569813333333333,419,1702,-51.76927185058594,0.08296704292297363,420,253.95,0.46975409984588623,0.2217411994934082,645120,-0.5288114547729492
379,0.185792,0.0002846741333333333,449,1822,-53.62799835205078,0.07906108349561691,450,261.68,0.6338285803794861,0.31148383021354675,691200,-0.48705947399139404
379,0.1848448,0.00028365013333333334,479,1940,-48.80503463745117,0.0845305547118187,480,240.04,0.49268507957458496,0.2436351180076599,737280,-0.558097779750824
379,0.18389760000000002,0.0002826261333333333,509,2061,-45.119239807128906,0.07511238753795624,510,223.82,0.5061711072921753,0.29680928587913513,783360,-0.5061167478561401
379,0.1829504,0.0002816021333333333,539,2184,-47.05231857299805,0.1471899449825287,540,232.68,0.49311935901641846,0.2438429445028305,829440,-0.5269903540611267
379,0.1820032,0.00028057813333333333,569,2305,-59.42580032348633,0.07574798166751862,570,291.59,0.5869864821434021,0.250447154045105,875520,-0.516706109046936
379,0.18105600000000002,0.0002795541333333333,599,2426,-43.621864318847656,0.11011086404323578,600,211.21,0.5576966106891632,0.2069339007139206,921600,-0.5657517910003662
379,0.1801088,0.00027853013333333334,629,2549,-54.69677734375,0.08728450536727905,630,270.24,0.5898974537849426,0.13837562501430511,967680,-0.6016372442245483
379,0.1791616,0.0002775061333333333,659,2670,-51.985328674316406,0.07816295325756073,660,252.68,0.30412018299102783,0.31808310747146606,1013760,-0.5200937390327454
379,0.17821440000000002,0.00027648213333333335,689,2794,-46.71025848388672,0.07668708264827728,690,231.53,0.6930272579193115,0.15251685678958893,1059840,-0.5777779221534729
378,0.1772672,0.0002754581333333333,719,2918,-46.458213806152344,0.09195338189601898,720,229.29,0.6108615696430206,0.18612918257713318,1105920,-0.5560826063156128
379,0.17632,0.0002744341333333333,749,3039,-57.434200286865234,0.09086810052394867,750,284.1,0.4515308141708374,0.19989368319511414,1152000,-0.5720632672309875
378,0.17537280000000002,0.00027341013333333333,779,3162,-51.9586181640625,0.08702355623245239,780,254.39,0.26398056745529175,0.3396584987640381,1198080,-0.47788915038108826
378,0.17442560000000001,0.0002723861333333333,809,3285,-53.64799880981445,0.09182943403720856,810,264.84,0.27310824394226074,0.335013210773468,1244160,-0.528022289276123
378,0.1734784,0.0002713621333333333,839,3406,-48.13893508911133,0.11078452318906784,840,240.53,0.5686630606651306,0.24112747609615326,1290240,-0.539121687412262
378,0.1725312,0.0002703381333333333,869,3529,-49.64836883544922,0.08375130593776703,870,245.43,0.6261211037635803,0.15727271139621735,1336320,-0.5790795087814331
378,0.17158400000000001,0.00026931413333333335,899,3652,-41.013912200927734,0.055040039122104645,900,202.26,0.6501370668411255,0.11983849853277206,1382400,-0.6397162675857544
378,0.1706368,0.00026829013333333333,929,3772,-57.69416809082031,0.09998565167188644,930,285.69,0.576900064945221,0.2173047959804535,1428480,-0.5625241994857788
378,0.1696896,0.0002672661333333333,959,3892,-53.14463424682617,0.12810254096984863,960,261.19,0.3636656403541565,0.27152499556541443,1474560,-0.534514844417572
378,0.16874240000000001,0.00026624213333333334,989,4014,-43.05146789550781,0.08853131532669067,990,211.77,0.44875121116638184,0.18788549304008484,1520640,-0.5787683725357056
378,0.1677952,0.0002652181333333333,1019,4135,-44.952640533447266,0.10309537500143051,1020,218.4,0.5814173221588135,0.20614489912986755,1566720,-0.5304933786392212
