train/value_loss,train/ent_coef,train/entropy_loss,rollout/ep_len_mean,train/policy_loss,train/explained_variance,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,time/iterations
0.330589234828949,0.24909341866666668,-0.676904559135437,107.29,0.0020431193988770247,-0.02064812183380127,379,32768,-1.5913242101669312,86,0.00019950848000000002,3,4
0.331473171710968,0.24818683733333333,-0.6768888235092163,98.96,-0.014480543322861195,0.28496962785720825,350,65536,-0.9999918937683105,187,0.00019885312,7,8
0.27654170989990234,0.247280256,-0.6590102314949036,93.56,-0.024757228791713715,0.43067610263824463,346,98304,0.17291168868541718,283,0.00019819776,11,12
0.28696519136428833,0.24637367466666665,-0.6447638273239136,92.2,-0.026769552379846573,0.4211488962173462,344,131072,1.045328140258789,380,0.00019754240000000001,15,16
0.2720705270767212,0.24546709333333333,-0.638516902923584,90.53,-0.03690323606133461,0.4758809208869934,343,163840,0.9462366700172424,476,0.00019688704,19,20
0.29094770550727844,0.244560512,-0.632155179977417,77.67,-0.03403720259666443,0.5055838227272034,342,196608,0.8203528523445129,574,0.00019623168000000002,23,24
0.23508012294769287,0.24365393066666666,-0.6288315057754517,76.96,-0.03402303531765938,0.5312653183937073,341,229376,1.3148484230041504,671,0.00019557632,27,28
0.2553042769432068,0.24274734933333333,-0.6302957534790039,84.54,-0.04654926806688309,0.5644802749156952,340,262144,1.2636332511901855,769,0.00019492096000000002,31,32
0.2696046531200409,0.241840768,-0.6326494216918945,96.31,-0.045300908386707306,0.5931442677974701,337,294912,1.5609124898910522,873,0.0001942656,35,36
0.27059781551361084,0.24093418666666666,-0.6321371793746948,92.28,-0.04447206109762192,0.6625425219535828,332,327680,1.5000603199005127,984,0.00019361024,39,40
0.3026193082332611,0.24002760533333334,-0.6321387887001038,86.03,-0.0400143563747406,0.6207413375377655,330,360448,2.0114667415618896,1090,0.00019295488,43,44
0.24763628840446472,0.239121024,-0.6249618530273438,92.81,-0.04900148883461952,0.6834611296653748,330,393216,1.604192852973938,1188,0.00019229952,47,48
0.27184730768203735,0.23821444266666666,-0.6214864253997803,92.25,-0.05113594979047775,0.6508583128452301,330,425984,2.123997926712036,1287,0.00019164416000000002,51,52
0.28561317920684814,0.23730786133333334,-0.6154260635375977,91.19,-0.05975404754281044,0.6833436787128448,329,458752,2.2045469284057617,1391,0.0001909888,55,56
0.2894270420074463,0.23640128,-0.6108604669570923,89.36,-0.059240780770778656,0.6840422749519348,328,491520,2.542160987854004,1494,0.00019033344,59,60
0.2586950361728668,0.23549469866666667,-0.6100510954856873,90.49,-0.062258269637823105,0.7136515974998474,328,524288,2.627619743347168,1595,0.00018967808000000001,63,64
0.24703559279441833,0.23458811733333335,-0.6039831042289734,92.83,-0.06854446232318878,0.6951968669891357,328,557056,2.8823513984680176,1696,0.00018902272,67,68
0.21689410507678986,0.233681536,-0.596111536026001,92.14,-0.05607600510120392,0.7561573684215546,327,589824,3.100562334060669,1800,0.00018836736000000002,71,72
0.22525078058242798,0.23277495466666667,-0.5960100889205933,84.71,-0.06756651401519775,0.7624656558036804,327,622592,2.976605176925659,1903,0.000187712,75,76
0.255707323551178,0.23186837333333332,-0.5968959331512451,92.9,-0.06383563578128815,0.7360310852527618,326,655360,3.332991600036621,2005,0.00018705664000000002,79,80
0.2877522110939026,0.230961792,-0.5906095504760742,91.44,-0.07264363020658493,0.7164551317691803,326,688128,3.4281156063079834,2110,0.00018640128,83,84
0.22534583508968353,0.23005521066666668,-0.5913116931915283,97.95,-0.06691178679466248,0.7786576598882675,325,720896,3.343883752822876,2215,0.00018574592,87,88
0.2271192967891693,0.22914862933333333,-0.5838404297828674,98.29,-0.06380090117454529,0.7963998913764954,325,753664,3.3522427082061768,2317,0.00018509056000000002,91,92
0.2551039159297943,0.228242048,-0.5795254707336426,84.26,-0.06883648037910461,0.7739291340112686,324,786432,3.614469528198242,2423,0.0001844352,95,96
0.25774747133255005,0.22733546666666665,-0.5740762948989868,93.2,-0.07041014730930328,0.73717200756073,323,819200,4.068476676940918,2529,0.00018377984000000002,99,100
0.22040419280529022,0.22642888533333333,-0.5785567760467529,93.24,-0.06829462200403214,0.7808110266923904,324,851968,3.7014153003692627,2628,0.00018312448,103,104
0.24885934591293335,0.225522304,-0.5766841173171997,93.72,-0.06855186820030212,0.7760886698961258,323,884736,3.9877524375915527,2731,0.00018246912,107,108
0.19551242887973785,0.22461572266666666,-0.5654036402702332,95.16,-0.07709529250860214,0.8262871950864792,323,917504,4.238737106323242,2837,0.00018181376000000001,111,112
0.22291535139083862,0.22370914133333333,-0.5577901601791382,96.76,-0.06469416618347168,0.8190694004297256,323,950272,4.240128040313721,2938,0.0001811584,115,116
0.20641639828681946,0.22280256,-0.556718111038208,100.87,-0.07104125618934631,0.8078950345516205,323,983040,4.277032375335693,3040,0.00018050304000000002,119,120
0.20735108852386475,0.22189597866666666,-0.5507899522781372,92.8,-0.07111895084381104,0.7949469983577728,323,1015808,4.478100776672363,3144,0.00017984768,123,124
0.2172471582889557,0.22098939733333334,-0.5523674488067627,96.46,-0.07581715285778046,0.7868235260248184,322,1048576,4.061630725860596,3251,0.00017919232,127,128
0.20988664031028748,0.22008281600000001,-0.5528191328048706,94.22,-0.07201285660266876,0.80923892557621,322,1081344,4.345283508300781,3353,0.00017853696,131,132
0.17335937917232513,0.21917623466666666,-0.5553528070449829,100.66,-0.07085947692394257,0.8390138894319534,322,1114112,4.357819080352783,3454,0.0001778816,135,136
