#{"t_start": 1758681680.4867723, "env_id": "None"}
r,l,t
6.073794,32,9.125538
-0.092499,8,9.278448
4.096637,15,9.52537
-0.092499,8,9.600853
4.096637,15,9.81384
-0.092499,8,9.9694
-0.092499,8,10.040231
3.038666,14,10.279864
-0.092499,8,10.521819
5.723997,73,11.639862
-0.092499,8,11.807342
5.099419,31,12.255886
-0.110736,9,12.339792
3.967727,27,12.769849
-0.092499,8,12.849594
2.990376,21,13.232038
-0.092499,8,13.301114
4.096637,15,13.519333
-0.092499,8,13.676766
3.967727,27,14.014601
-0.092499,8,14.182007
4.048347,22,14.455659
-0.092499,8,14.621474
6.073794,32,15.072492
-0.092499,8,15.144504
3.994188,24,15.53615
-0.092499,8,15.602649
3.038666,14,15.809798
-0.16874,15,16.027307
4.096637,15,16.259118
-0.24498,22,16.55888
6.05113,37,17.173417
-0.24498,22,17.544799
4.096637,15,17.809685
-0.092499,8,17.995138
1.995187,13,18.110606
-0.092499,8,18.294902
3.994188,24,18.638117
-0.092499,8,18.841162
2.038666,15,19.104873
-0.092499,8,19.175819
5.025504,40,19.847253
-0.24498,22,20.141645
4.096637,15,20.361506
-0.092499,8,20.527315
6.105319,33,21.006104
-0.092499,8,21.081553
3.994188,24,21.481328
-0.092499,8,21.552211
37.067505,1200,39.611951
5.970509,42,40.415093
-0.16874,15,40.645811
-0.110736,9,40.720021
5.874766,55,41.56544
-0.092499,8,41.634709
4.041642,18,41.872733
-0.092499,8,42.031777
6.073794,32,42.489766
-0.16874,15,42.707078
4.048347,22,42.981001
-0.092499,8,43.138919
-0.092499,8,43.209149
-0.092499,8,43.364238
4.048347,22,43.65724
-0.186976,16,43.896824
6.073794,32,44.35569
-0.16874,15,44.581953
3.994188,24,44.888827
-0.092499,8,45.052478
3.967727,27,45.476324
-0.092499,8,45.545498
2.871148,42,46.198126
-0.092499,8,46.269305
5.073794,33,46.750343
-0.24498,22,47.130763
-0.16874,15,47.356631
6.10532,29,47.713496
-0.24498,22,48.196151
3.038666,14,48.407427
-0.092499,8,48.476673
4.096637,15,48.688584
-0.092499,8,48.848714
5.832346,67,49.754273
-0.092499,8,49.824777
4.096637,15,50.038829
-0.092499,8,50.19822
4.096637,15,50.41258
-0.092499,8,50.478662
4.096637,15,50.688923
-0.092499,8,50.847956
6.099419,30,51.28295
-0.16874,15,51.4076
4.096637,15,51.627947
-0.16874,15,51.845935
5.617751,80,52.998034
-0.32122,29,53.430355
4.096637,15,53.65285
-0.092499,8,53.814418
3.038666,14,53.929773
-0.092499,8,54.09267
3.994188,24,54.395482
-0.110736,9,54.566832
6.025504,39,55.101642
-0.16874,15,55.329074
4.096637,15,55.55495
-0.092499,8,55.7152
5.92222,49,56.423056
-0.092499,8,56.498951
4.016016,20,56.889984
-0.186976,16,57.122918
4.096637,15,57.354251
-0.092499,8,57.42092
4.048347,22,57.717721
-0.16874,15,57.944842
3.038666,14,58.169084
-0.092499,8,58.334033
5.923055,48,59.063869
-0.092499,8,59.13746
5.880635,60,60.055326
-0.092499,8,60.221612
6.025504,39,60.748118
-0.092499,8,60.818405
3.903478,43,61.496295
-0.092499,8,61.662728
5.977214,46,62.352884
-0.092499,8,62.420054
-0.092499,8,62.587697
4.048347,22,62.909568
-0.092499,8,62.98246
3.096637,16,63.315099
-0.092499,8,63.468796
4.794951,62,64.368607
-0.263216,23,64.6565
6.105319,33,65.119864
-0.092499,8,65.286461
4.048347,22,65.564756
-0.16874,15,65.782691
5.970509,42,66.429434
-0.092499,8,66.500671
3.038666,14,66.715507
-0.092499,8,66.882651
5.073794,33,67.358599
-0.339457,30,67.821764
4.096637,15,67.952686
-0.24498,22,68.356669
4.096637,15,68.585561
-0.092499,8,68.656466
-0.092499,8,68.822309
6.05113,37,69.346583
-0.32122,29,69.827611
6.105319,33,70.413902
-0.092499,8,70.483116
4.986837,31,70.933944
-0.092499,8,71.096808
4.096637,15,71.307842
-0.092499,8,71.375106
4.794951,62,72.281892
-0.186976,16,72.507256
6.025504,39,73.146769
-0.16874,15,73.370363
3.038666,14,73.491703
-0.092499,8,73.675558
4.016016,20,73.960415
-0.092499,8,74.141387
3.994188,24,74.470437
-0.092499,8,74.641804
4.986837,31,75.115193
-0.092499,8,75.188372
4.096637,15,75.422136
-0.092499,8,75.594057
5.944883,44,76.174654
-0.092499,8,76.345776
4.099419,32,76.828353
-0.39746,36,77.356699
4.000058,29,77.818943
-0.16874,15,78.051553
4.977214,47,78.756422
-0.24498,22,79.048359
5.794951,61,79.97405
-0.092499,8,80.042189
3.977214,48,80.759417
-0.092499,8,80.927294
3.994188,24,81.228457
-0.092499,8,81.392104
4.048347,22,81.688214
-0.092499,8,81.85156
6.073794,32,82.319451
-0.092499,8,82.386431
5.84324,54,83.23755
-0.16874,15,83.463768
4.096637,15,83.689332
-0.092499,8,83.758445
3.822858,48,84.468016
-0.092499,8,84.635576
3.994188,24,84.944354
-0.092499,8,85.10994
3.919437,34,85.597295
-0.092499,8,85.663067
-0.092499,8,85.83415
4.096637,15,86.063976
-0.092499,8,86.14072
4.096637,15,86.374964
-0.092499,8,86.546966
5.826476,62,87.388155
-0.092499,8,87.556434
-0.092499,8,87.624052
4.868866,53,88.480491
-0.092499,8,88.555824
3.038666,14,88.771004
-0.092499,8,88.932692
4.048347,22,89.219351
-0.092499,8,89.38217
4.048347,22,89.667706
-0.092499,8,89.739459
4.048347,22,90.113129
-0.092499,8,90.182959
4.874766,56,91.06618
-0.16874,15,91.290557
4.096637,15,91.525698
-0.092499,8,91.602447
2.994188,25,92.019366
-0.092499,8,92.090546
4.096637,15,92.351375
-0.32122,29,92.794513
4.048347,22,93.071477
-0.092499,8,93.227806
4.096637,15,93.4459
-0.092499,8,93.51784
4.096637,15,93.730954
-0.092499,8,93.891502
3.048347,23,94.188595
-0.16874,15,94.42397
3.994188,24,94.826779
-0.16874,15,95.052556
2.983671,17,95.295581
-0.092499,8,95.367442
3.994188,24,95.775529
-0.092499,8,95.845793
6.073794,32,96.322145
-0.092499,8,96.492138
4.096637,15,96.723476
-0.092499,8,96.791397
5.977214,46,97.485566
-0.092499,8,97.555482
-0.092499,8,97.718023
4.048347,22,98.003852
-0.092499,8,98.167942
4.096637,15,98.397396
-0.092499,8,98.465486
4.938547,38,99.089917
-0.092499,8,99.160665
-0.092499,8,99.326499
-0.092499,8,99.395628
6.099419,30,99.853
-0.092499,8,99.92412
26.945265,1200,117.745345
6.025504,39,118.35354
-0.092499,8,118.41829
4.000058,29,118.843359
-0.092499,8,119.009135
6.057029,40,119.634889
-0.16874,15,119.857774
3.903478,43,120.473933
-0.24498,22,120.736258
4.096637,15,120.943612
-0.092499,8,121.094938
4.096637,15,121.30141
-0.092499,8,121.368122
2.000058,31,121.825139
-0.092499,8,121.987136
6.025504,39,122.485699
-0.092499,8,122.550371
4.096637,15,122.766969
-0.092499,8,122.938119
4.096637,15,123.156297
-0.092499,8,123.21761
4.096637,15,123.431935
-0.092499,8,123.589751
6.073794,32,124.042821
-0.092499,8,124.108054
4.986837,31,124.552574
-0.092499,8,124.723339
6.025504,39,125.245843
-0.16874,15,125.474124
4.928925,54,126.264558
-0.16874,15,126.508631
6.073794,32,126.98933
-0.092499,8,127.228826
-0.092499,8,127.307888
4.096637,15,127.536459
-0.092499,8,127.699054
3.994188,24,128.027605
-0.092499,8,128.186326
4.096637,15,128.423403
-0.092499,8,128.491262
-0.092499,8,128.65901
32.83616,1200,145.822958
4.000058,29,146.256065
-0.092499,8,146.325117
3.887106,32,146.808791
-0.092499,8,146.965194
3.919437,34,147.454629
-0.092499,8,147.525756
4.016016,20,147.790047
-0.092499,8,147.951236
4.096637,15,148.167124
-0.092499,8,148.233022
5.900391,53,149.08174
-0.092499,8,149.147979
5.073794,33,149.691548
-0.092499,8,149.840109
3.994188,24,150.114849
-0.16874,15,150.317869
4.096637,15,150.521049
-0.092499,8,150.666599
4.096637,15,150.879817
-0.092499,8,150.946845
3.038666,14,151.146637
-0.092499,8,151.21259
6.073794,32,151.656481
-0.092499,8,151.827178
4.096637,15,152.04624
-0.092499,8,152.110154
4.048347,22,152.484876
-0.092499,8,152.550685
6.025504,39,153.206717
-0.092499,8,153.269929
5.977214,46,153.965445
-0.16874,15,154.191783
4.000058,29,154.657035
-0.263216,23,154.959127
-0.263216,23,155.349676
-0.092499,8,155.416447
4.096637,15,155.646311
-0.092499,8,155.824603
6.05113,37,156.382209
-0.092499,8,156.454247
4.073794,34,157.094547
-0.092499,8,157.159404
5.923055,48,157.868026
-0.092499,8,158.048233
4.048347,22,158.321286
-0.092499,8,158.395747
4.096637,15,158.619512
-0.092499,8,158.783482
4.096637,15,159.013914
-0.092499,8,159.093248
-0.092499,8,159.259273
4.096637,15,159.512492
-0.16874,15,159.762555
6.073794,32,160.275837
-0.16874,15,160.519546
6.073794,32,161.090026
-0.092499,8,161.15966
6.025504,39,161.777259
-0.092499,8,161.849549
6.073794,32,162.328299
-0.092499,8,162.48579
4.096637,15,162.719424
-0.092499,8,162.796935
4.096637,15,163.018151
-0.092499,8,163.085757
5.923055,48,163.814656
-0.092499,8,163.97612
3.994188,24,164.293044
-0.16874,15,164.52785
4.096637,15,164.764929
-0.092499,8,165.024382
4.096637,15,165.246406
-0.092499,8,165.313275
4.000058,29,165.742069
-0.092499,8,165.901406
4.096637,15,166.122163
-0.092499,8,166.19695
3.994188,24,166.595934
-0.092499,8,166.660071
3.919437,34,167.130797
-0.092499,8,167.287667
4.096637,15,167.5039
-0.24498,22,167.814584
6.025504,39,168.353054
-0.092499,8,168.538193
6.025504,39,169.07188
-0.092499,8,169.242301
2.994188,25,169.573707
-0.092499,8,169.741688
5.826476,62,170.692453
-0.092499,8,170.76126
