#{"t_start": 1758681682.6996822, "env_id": "None"}
r,l,t
2.936217,23,6.834918
-0.092499,8,6.903847
3.986837,32,7.387943
-0.092499,8,7.545711
5.073794,33,8.019962
-0.092499,8,8.113637
6.024698,38,8.862329
-0.092499,8,8.944458
6.073794,32,9.437296
-0.092499,8,9.603432
4.016016,20,9.868756
-0.24498,22,10.153555
4.048347,22,10.536624
-0.092499,8,10.61814
4.096637,15,10.845058
-0.092499,8,11.019128
5.977214,46,11.688907
-0.092499,8,11.762041
4.096637,15,11.995884
-0.16874,15,12.209101
6.008741,43,12.851583
-0.092499,8,12.923292
4.096637,15,13.142771
-0.092499,8,13.305482
3.994188,24,13.596888
-0.16874,15,13.814397
6.025504,39,14.456232
-0.16874,15,14.588999
6.025504,39,15.305645
-0.092499,8,15.377212
-0.092499,8,15.576045
6.073794,32,16.091993
-0.092499,8,16.162486
3.096637,16,16.435489
-0.092499,8,16.637877
-0.092499,8,16.717579
4.977214,47,17.456115
-0.16874,15,17.70578
5.848304,58,18.591344
-0.092499,8,18.65743
-0.092499,8,18.827233
6.025504,39,19.366847
-0.092499,8,19.532762
4.096637,15,19.762582
-0.092499,8,19.832684
3.903478,43,20.507857
-0.092499,8,20.579815
2.994188,25,20.994719
-0.092499,8,21.160722
6.073794,32,21.638934
-0.092499,8,21.709149
2.958045,19,21.982269
-0.110736,9,22.154553
4.096637,15,22.464363
-0.092499,8,22.540384
4.096637,15,22.761267
-0.092499,8,22.914404
4.048347,22,23.202024
-0.092499,8,23.380266
5.025504,40,23.909367
-0.092499,8,24.070088
3.994188,24,24.379338
-0.092499,8,24.538624
6.105319,33,25.059177
-0.16874,15,25.303409
6.073794,32,25.792526
-0.24498,22,26.100425
3.994188,24,26.422012
-0.092499,8,26.588665
-0.092499,8,26.658729
6.025504,39,27.304023
-0.092499,8,27.372297
4.096637,15,27.608249
-0.092499,8,27.774533
3.967727,27,28.10643
-0.092499,8,28.281921
4.096637,15,28.523569
-0.092499,8,28.591105
4.096637,15,28.829018
-0.092499,8,29.005063
4.048347,22,29.304626
-0.186976,16,29.600185
3.967727,27,30.022372
-0.092499,8,30.091897
3.038666,14,30.308332
-0.092499,8,30.469543
5.698372,75,31.500499
-0.092499,8,31.665953
6.073794,32,32.16542
-0.092499,8,32.232916
4.016016,20,32.606147
-0.39746,36,33.124159
4.016016,20,33.394709
-0.092499,8,33.571272
3.967727,27,33.898019
-0.092499,8,34.06605
-0.16874,15,34.293779
3.638313,76,35.430506
-0.092499,8,35.502762
3.887106,32,35.970816
-0.16874,15,36.198706
3.038666,14,36.412796
-0.092499,8,36.478779
4.096637,15,36.702797
-0.16874,15,36.927631
4.096637,15,37.156738
-0.092499,8,37.33477
4.048347,22,37.640221
-0.092499,8,37.823391
3.994188,24,38.246348
-0.092499,8,38.414662
21.761882,1200,55.860796
4.016016,20,56.130337
-0.092499,8,56.203094
6.057029,40,56.861209
-0.092499,8,56.932799
41.073643,1200,74.926643
4.096637,15,75.171397
-0.092499,8,75.347359
6.025504,39,75.892737
-0.092499,8,76.05995
6.105319,33,76.542512
-0.16874,15,76.768948
4.096637,15,77.010125
-0.092499,8,77.082877
42.585009,1200,94.83169
6.073794,32,95.309924
-0.092499,8,95.471166
-0.092499,8,95.539406
5.646339,81,96.731045
-0.092499,8,96.893848
4.016016,20,97.165516
-0.092499,8,97.235717
4.048347,22,97.623929
-0.092499,8,97.69421
5.977214,46,98.376083
-0.110736,9,98.548189
6.105319,33,99.032765
-0.110736,9,99.114412
4.096637,15,99.430475
-0.16874,15,99.649954
5.928925,53,100.463031
-0.092499,8,100.627424
4.016016,20,100.882225
-0.092499,8,101.079875
