train/policy_loss,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef,time/total_timesteps
0.002082396764308214,4,-1.5914239883422852,-0.02073037624359131,0.33064764738082886,-0.676836371421814,0.00019922176000000002,3,107.29,420,77,0.24868928,32768
-0.01289861649274826,8,-0.8001346588134766,0.2637121081352234,0.31058943271636963,-0.6768304705619812,0.00019818410666666667,7,105.27,394,165,0.24737856,65536
-0.020772652700543404,12,0.1881261020898819,0.42754578590393066,0.3226305842399597,-0.6608891487121582,0.00019714645333333334,11,95.36,383,256,0.24606784,98304
-0.02948099747300148,16,0.8959094882011414,0.43511778116226196,0.27438321709632874,-0.6449178457260132,0.0001961088,15,90.46,351,373,0.24475712,131072
-0.028081536293029785,20,0.7364926934242249,0.4105128049850464,0.2983223795890808,-0.6352264285087585,0.00019507114666666666,19,96.57,244,669,0.2434464,163840
-0.03630302846431732,24,1.3215827941894531,0.47712188959121704,0.28135204315185547,-0.6321958303451538,0.00019403349333333334,23,88.69,231,850,0.24213568,196608
-0.03693322092294693,28,1.1006977558135986,0.5900377333164215,0.2599126696586609,-0.630224347114563,0.00019299584,27,92.69,197,1164,0.24082496,229376
-0.044760629534721375,32,1.6371650695800781,0.5834168195724487,0.25936585664749146,-0.6311734914779663,0.00019195818666666668,31,86.13,177,1474,0.23951424,262144
-0.04663587734103203,36,1.244714617729187,0.6226448118686676,0.24246230721473694,-0.632020115852356,0.00019092053333333336,35,86.6,165,1787,0.23820352,294912
-0.04600843787193298,40,1.5954574346542358,0.6224448084831238,0.25752437114715576,-0.6323428750038147,0.00018988288,39,90.77,157,2084,0.23689280000000001,327680
-0.04723886400461197,44,1.4960708618164062,0.6263688206672668,0.2644452154636383,-0.6307796239852905,0.00018884522666666668,43,84.41,152,2361,0.23558208,360448
-0.04825147986412048,48,1.7861740589141846,0.6263547539710999,0.2805872857570648,-0.6291061639785767,0.00018780757333333332,47,88.24,147,2669,0.23427136,393216
-0.054474588483572006,52,1.7786369323730469,0.6079304218292236,0.30246812105178833,-0.6235419511795044,0.00018676992,51,88.36,143,2975,0.23296064,425984
-0.058360885828733444,56,2.134117603302002,0.6567708849906921,0.2541678845882416,-0.6134527325630188,0.00018573226666666667,55,91.44,139,3280,0.23164992,458752
-0.05186709016561508,60,2.47597336769104,0.672399640083313,0.2759586572647095,-0.6048845648765564,0.00018469461333333334,59,84.5,137,3582,0.2303392,491520
-0.06256072968244553,64,2.6296966075897217,0.7171318233013153,0.24999552965164185,-0.6051279306411743,0.00018365696000000002,63,83.48,134,3893,0.22902848,524288
-0.05482255294919014,68,2.675398349761963,0.6909799873828888,0.2947908639907837,-0.6028141975402832,0.0001826193066666667,67,102.58,132,4212,0.22771776,557056
-0.06334209442138672,72,2.8106911182403564,0.6682923138141632,0.26747798919677734,-0.5953865647315979,0.00018158165333333334,71,86.25,130,4536,0.22640704,589824
-0.06243715435266495,76,2.9118034839630127,0.7251726686954498,0.23314028978347778,-0.5984389781951904,0.000180544,75,81.55,127,4864,0.22509632,622592
-0.06690894067287445,80,3.1611220836639404,0.7171128988265991,0.2912060618400574,-0.5953588485717773,0.00017950634666666666,79,90.57,126,5193,0.2237856,655360
-0.0697064995765686,84,3.094752311706543,0.7366149127483368,0.2523522973060608,-0.5941047668457031,0.00017846869333333333,83,98.96,124,5529,0.22247487999999999,688128
-0.06511640548706055,88,3.5888681411743164,0.704879879951477,0.2825429439544678,-0.5868089199066162,0.00017743104,87,101.64,122,5863,0.22116416,720896
-0.05002761632204056,92,3.2431986331939697,0.7185282409191132,0.26786741614341736,-0.5840409994125366,0.00017639338666666668,91,88.63,121,6187,0.21985344,753664
