train/learning_rate,time/iterations,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/policy_loss,train/explained_variance,train/value_loss,train/ent_coef
0.00025,30,124,29,-8.603228569030762,493,61440,-0.43786364793777466,380.36,-0.013706699013710022,-0.0007548332214355469,0.7849583029747009,0.09883264
0.00025,60,249,59,-7.401808261871338,491,122880,-0.41698846220970154,341.4,-0.018207192420959473,-0.007881522178649902,0.5952242016792297,0.09766528000000001
0.00025,90,373,89,-6.043261528015137,493,184320,-0.4395504891872406,335.9,-0.0129056042060256,-0.0076656341552734375,0.45415765047073364,0.09649792
0.00025,120,509,119,-9.5325345993042,482,245760,-0.43225497007369995,416.47,-0.015292612835764885,-0.0037401914596557617,0.5745624303817749,0.09533056000000001
0.00025,150,639,149,-7.7655558586120605,480,307200,-0.4380943179130554,386.53,-0.0017190694343298674,-0.00822746753692627,0.3989120125770569,0.0941632
0.00025,180,765,179,-9.358709335327148,481,368640,-0.44091081619262695,393.92,-0.01072682160884142,-0.00549626350402832,0.6946042776107788,0.09299584000000001
0.00025,210,895,209,-5.0030107498168945,480,430080,-0.41922521591186523,314.93,-0.0061304629780352116,-0.006562232971191406,0.30903398990631104,0.09182848
0.00025,240,1021,239,-6.941628932952881,481,491520,-0.43054234981536865,349.19,-0.0038572638295590878,-0.0033496618270874023,0.9035847187042236,0.09066112000000001
0.00025,270,1147,269,-8.393413543701172,481,552960,-0.43971383571624756,390.04,-0.00988305639475584,-0.004774808883666992,0.5897653698921204,0.08949376
0.00025,300,1275,299,-9.586034774780273,481,614400,-0.4361802935600281,417.25,-0.011618123389780521,-0.006414890289306641,0.8168240189552307,0.0883264
0.00025,330,1405,329,-9.574328422546387,480,675840,-0.42791682481765747,409.59,-0.01657281443476677,-0.008034586906433105,0.508334219455719,0.08715904000000001
0.00025,360,1533,359,-8.167703628540039,480,737280,-0.4290848970413208,386.4,0.004030928015708923,-0.0027036666870117188,0.9224159121513367,0.08599168
0.00025,390,1664,389,-9.797372817993164,479,798720,-0.41995328664779663,421.83,0.0009333593770861626,-0.0036110877990722656,0.5240832567214966,0.08482432000000001
0.00025,420,1793,419,-5.986013889312744,479,860160,-0.43932557106018066,337.3,-0.0016852077096700668,-0.006924629211425781,0.5665932297706604,0.08365696
0.00025,450,1923,449,-9.31314468383789,479,921600,-0.4457494616508484,395.1,0.012923678383231163,-0.0036385059356689453,0.33585068583488464,0.0824896
0.00025,480,2051,479,-10.390899658203125,479,983040,-0.4339826703071594,417.98,-0.008753111585974693,-0.004698753356933594,0.8036307096481323,0.08132224
0.00025,510,2179,509,-4.785511016845703,479,1044480,-0.4337698519229889,328.79,-0.01786576397716999,-0.008276939392089844,0.3185250461101532,0.08015488000000001
0.00025,540,2309,539,-10.6563720703125,478,1105920,-0.4346127212047577,412.7,-0.008115356788039207,-0.003832697868347168,0.721105694770813,0.07898752
0.00025,570,2438,569,-5.664937973022461,478,1167360,-0.42988139390945435,332.88,-0.010874975472688675,-0.004792213439941406,0.4336167573928833,0.07782016
0.00025,600,2566,599,-9.165290832519531,478,1228800,-0.4372459053993225,414.36,-0.014902539551258087,-0.005395174026489258,0.8695106506347656,0.07665280000000001
0.00025,630,2698,629,-5.530179023742676,478,1290240,-0.4204471707344055,328.25,-0.0075099896639585495,-0.008011579513549805,0.2590240240097046,0.07548544
0.00025,660,2826,659,-7.021430015563965,478,1351680,-0.437734991312027,385.79,-0.0196611937135458,-0.005153179168701172,0.6642720103263855,0.07431808000000001
0.00025,690,2954,689,-8.458582878112793,478,1413120,-0.4319944381713867,379.47,0.007322333753108978,-0.003664851188659668,0.7365787029266357,0.07315072
0.00025,720,3084,719,-5.4640607833862305,478,1474560,-0.4336956739425659,341.37,-0.0014914367347955704,-0.0034683942794799805,0.4861093759536743,0.07198336
0.00025,750,3212,749,-6.791380405426025,478,1536000,-0.41409868001937866,359.8,-0.0027928566560149193,-0.004986405372619629,0.7462002038955688,0.070816
0.00025,780,3341,779,-7.591574668884277,478,1597440,-0.43689677119255066,352.67,0.007356652989983559,-0.0011693239212036133,0.739998459815979,0.06964864000000001
0.00025,810,3474,809,-9.721291542053223,477,1658880,-0.42401325702667236,415.55,0.002734728157520294,-0.005097150802612305,0.4033741056919098,0.06848128
0.00025,840,3603,839,-10.733257293701172,477,1720320,-0.4231247305870056,412.45,-0.004780076444149017,-0.0036438703536987305,0.5043861865997314,0.06731392
0.00025,870,3735,869,-10.863729476928711,476,1781760,-0.4301148056983948,428.89,0.0007596565410494804,-0.006763339042663574,0.5434129238128662,0.06614656000000001
0.00025,900,3866,899,-7.480531215667725,476,1843200,-0.42555877566337585,363.26,-0.02146505005657673,-0.003798246383666992,0.7625826001167297,0.0649792
0.00025,930,3994,929,-8.477038383483887,476,1904640,-0.4388720393180847,398.84,-0.0105674359947443,-0.008621454238891602,0.40604305267333984,0.06381184000000001
0.00025,960,4123,959,-6.782742500305176,476,1966080,-0.425857812166214,354.98,-0.011721950024366379,-0.012742877006530762,0.3012163043022156,0.06264448
0.00025,990,4252,989,-6.806497573852539,476,2027520,-0.4318845868110657,360.19,0.011324058286845684,-0.0077364444732666016,0.25247737765312195,0.06147712000000001
0.00025,1020,4379,1019,-8.748722076416016,476,2088960,-0.4245101809501648,361.28,-0.016355495899915695,-0.006978750228881836,0.5145275592803955,0.060309760000000004
