time/fps,time/total_timesteps,time/iterations,train/value_loss,train/policy_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/explained_variance,train/n_updates,train/learning_rate
448,51200,100,51.091888427734375,-0.038629718124866486,-0.2039192020893097,71.73,-0.673888623714447,1.9925333333333333,114,7.140636444091797e-05,99,0.0003
438,102400,200,35.93040466308594,-0.0011000330559909344,-0.1886756718158722,145.45,-6.978969097137451,1.9850666666666668,233,0.0002117753028869629,199,0.0003
437,153600,300,18.96593475341797,0.004046237096190453,-0.19255952537059784,48.61,5.248317718505859,1.9776,350,0.0005360841751098633,299,0.0003
436,204800,400,66.18362426757812,0.0007239966653287411,-0.18269717693328857,86.99,1.7262320518493652,1.9701333333333333,468,3.2067298889160156e-05,399,0.0003
437,256000,500,68.9698486328125,0.03391141816973686,-0.1677103042602539,131.47,-7.208663463592529,1.9626666666666668,585,0.00019109249114990234,499,0.0003
438,307200,600,73.34407043457031,0.028261706233024597,-0.17968958616256714,90.39,-0.741628110408783,1.9552,700,0.00014203786849975586,599,0.0003
437,358400,700,26.781404495239258,-0.028846081346273422,-0.1915065348148346,74.38,0.8551867008209229,1.9477333333333333,819,0.00017791986465454102,699,0.0003
437,409600,800,44.67378234863281,0.004853656515479088,-0.16914957761764526,105.74,-2.4690189361572266,1.9402666666666666,936,0.00024074316024780273,799,0.0003
436,460800,900,67.13186645507812,0.03392798826098442,-0.19734331965446472,32.06,6.652465343475342,1.9328,1056,0.0001367330551147461,899,0.0003
435,512000,1000,41.23713684082031,0.018638912588357925,-0.18358807265758514,87.52,-0.7667899131774902,1.9253333333333333,1175,0.00032407045364379883,999,0.0003
435,563200,1100,33.19140625,-0.039149388670921326,-0.19100187718868256,121.13,-6.423975944519043,1.9178666666666666,1293,0.0001545548439025879,1099,0.0003
435,614400,1200,31.86833953857422,-0.01286401879042387,-0.20251412689685822,79.48,2.87752628326416,1.9104,1410,0.00010883808135986328,1199,0.0003
435,665600,1300,36.148193359375,-0.0016525741666555405,-0.18878020346164703,73.78,-1.6242305040359497,1.9029333333333334,1527,0.0003167390823364258,1299,0.0003
435,716800,1400,38.346038818359375,0.007110721431672573,-0.18166904151439667,28.94,7.100080490112305,1.8954666666666666,1644,0.00021719932556152344,1399,0.0003
435,768000,1500,26.917083740234375,-0.001986872870475054,-0.1954820305109024,73.39,2.4448137283325195,1.888,1764,0.0003209114074707031,1499,0.0003
435,819200,1600,28.387941360473633,0.030447624623775482,-0.17814099788665771,94.28,-1.338218331336975,1.8805333333333334,1881,0.000274658203125,1599,0.0003
435,870400,1700,34.638797760009766,-0.002685495186597109,-0.18453389406204224,118.92,-5.681582450866699,1.8730666666666667,1998,0.00029021501541137695,1699,0.0003
435,921600,1800,25.35717010498047,0.028686318546533585,-0.18870046734809875,62.48,1.796999454498291,1.8656,2114,0.00023180246353149414,1799,0.0003
435,972800,1900,45.975624084472656,0.050089478492736816,-0.19753223657608032,107.11,-4.031601428985596,1.8581333333333334,2232,0.0001443624496459961,1899,0.0003
435,1024000,2000,33.87512969970703,-0.02442643605172634,-0.19432413578033447,90.37,-0.11166737228631973,1.8506666666666667,2350,5.829334259033203e-05,1999,0.0003
435,1075200,2100,48.07300567626953,-0.01191748771816492,-0.16571958363056183,44.08,4.071757793426514,1.8432,2470,0.00013822317123413086,2099,0.0003
434,1126400,2200,35.204524993896484,-0.015196314081549644,-0.19219064712524414,62.45,1.771695852279663,1.8357333333333332,2590,0.00030231475830078125,2199,0.0003
434,1177600,2300,31.251911163330078,0.013585138134658337,-0.18413889408111572,42.98,5.488684177398682,1.8282666666666667,2707,0.0002989768981933594,2299,0.0003
434,1228800,2400,27.845441818237305,0.04693485423922539,-0.17820867896080017,59.52,3.623502731323242,1.8208,2825,0.00023508071899414062,2399,0.0003
434,1280000,2500,39.176673889160156,0.008781444281339645,-0.1826036274433136,47.38,4.643723011016846,1.8133333333333332,2946,0.00027358531951904297,2499,0.0003
434,1331200,2600,46.33073425292969,0.06286540627479553,-0.1934417486190796,90.93,-0.4456321597099304,1.8058666666666667,3063,0.0002173781394958496,2599,0.0003
434,1382400,2700,34.279720306396484,0.023773090913891792,-0.18570637702941895,72.69,0.8510980010032654,1.7984,3181,0.00027740001678466797,2699,0.0003
434,1433600,2800,51.93956756591797,-0.0181477889418602,-0.17464864253997803,133.15,-8.256206512451172,1.7909333333333333,3300,0.00011599063873291016,2799,0.0003
434,1484800,2900,29.597911834716797,-0.01930723898112774,-0.18475192785263062,71.14,2.6921262741088867,1.7834666666666668,3417,0.00030422210693359375,2899,0.0003
434,1536000,3000,49.14311981201172,0.03386223688721657,-0.19069789350032806,61.72,4.037754058837891,1.776,3536,0.00012445449829101562,2999,0.0003
434,1587200,3100,49.381622314453125,-0.0444110631942749,-0.1904841661453247,48.48,3.725038766860962,1.7685333333333333,3656,-0.00015437602996826172,3099,0.0003
434,1638400,3200,43.99652099609375,0.036827340722084045,-0.18432773649692535,89.42,-0.6704142689704895,1.7610666666666668,3773,0.0002289414405822754,3199,0.0003
434,1689600,3300,26.854087829589844,0.007968286983668804,-0.19264808297157288,92.88,0.5390666127204895,1.7536,3891,0.0002887845039367676,3299,0.0003
434,1740800,3400,69.16062927246094,0.02775423601269722,-0.18338504433631897,26.64,6.8927903175354,1.7461333333333333,4010,0.00012254714965820312,3399,0.0003
433,1792000,3500,31.18968963623047,0.022387003526091576,-0.18679320812225342,56.31,2.8603882789611816,1.7386666666666666,4129,0.00028777122497558594,3499,0.0003
