#{"t_start": 1758766531.6136632, "env_id": "None"}
r,l,t
6.191604,23,7.418877
0.848636,8,7.481829
6.217771,32,8.014086
0.469444,8,8.233218
6.69842,33,8.69526
0.339983,8,8.767275
7.568769,38,9.23673
0.285681,8,9.310534
7.270418,32,9.721461
0.246069,8,9.961067
4.681594,20,10.133089
0.619522,22,10.495203
4.637985,22,10.828811
0.201805,8,10.904819
4.465261,15,11.021756
0.195896,8,11.249172
7.317977,46,11.786711
0.185503,8,11.85498
4.431961,15,12.142338
0.325803,15,12.263987
7.147284,43,12.957352
0.165454,8,13.027287
4.413165,15,13.165909
0.159928,8,13.399676
4.614586,24,13.599143
0.29691,15,13.887372
7.078062,39,14.396167
0.275554,15,14.517401
7.039457,39,15.236425
0.136208,8,15.313257
0.135647,8,15.387246
6.91402,32,15.858029
0.131777,8,15.931426
3.406592,16,16.240451
0.130065,8,16.308272
0.129378,8,16.379192
6.131762,47,17.153712
0.242747,15,17.274491
7.315557,58,18.148983
0.122329,8,18.212674
0.122224,8,18.463707
6.953252,39,18.987482
0.118476,8,19.05906
4.362324,15,19.348442
0.117551,8,19.424749
4.730101,43,19.960063
0.11619,8,20.02317
3.546463,25,20.431308
0.116063,8,20.666684
6.84305,32,21.131492
0.115305,8,21.200008
3.390461,19,21.373937
0.189936,9,21.626137
4.351049,15,21.747902
0.115098,8,21.822938
4.349769,15,22.126593
0.11415,8,22.198662
4.437865,22,22.559894
0.113205,8,22.632924
5.961429,40,23.14131
0.112432,8,23.374721
4.527349,24,23.593707
0.111985,8,23.856578
6.801665,33,24.348751
0.213156,15,24.469152
6.840226,32,24.912189
0.312159,22,25.281178
4.514927,24,25.500327
0.109028,8,25.736576
0.109065,8,25.802262
6.9128,39,26.274589
0.109102,8,26.342881
4.343077,15,26.62138
0.10908,8,26.680232
4.535675,27,27.069723
0.10846,8,27.138381
4.340191,15,27.447024
0.108722,8,27.506415
4.339473,15,27.62593
0.10806,8,27.867325
