rollout/ep_rew_mean,train/explained_variance,time/fps,train/ent_coef,time/total_timesteps,train/entropy_loss,train/policy_loss,train/value_loss,train/n_updates,train/learning_rate,time/time_elapsed,time/iterations,rollout/ep_len_mean
-0.9795985817909241,0.11356949806213379,385,0.1988,2304,-0.664670467376709,0.010841326788067818,0.8551853895187378,2,0.00026586666666666666,5,3,53.333333333333336
-0.7596132755279541,0.08997035026550293,389,0.1476,4608,-0.6637054085731506,0.01023485790938139,0.46727022528648376,5,0.00021466666666666666,11,6,45.96666666666667
-0.6825566291809082,-0.3282057046890259,385,0.09639999999999999,6912,-0.6685105562210083,-0.0025273896753787994,0.6345822215080261,8,0.00016346666666666666,17,9,53.17
-0.7026064991950989,-0.0026574134826660156,387,0.04999999999999999,9216,-0.6645410060882568,0.024269595742225647,0.5484026670455933,11,0.00011226666666666667,23,12,62.15
