#{"t_start": 1759514094.9525397, "env_id": "None"}
r,l,t
-0.380886,8,0.77749
-2.38206,87,1.581707
-3.134834,175,4.479334
-0.2,2,4.505288
0.065722,175,6.783256
-0.380886,8,6.858107
-0.2,2,6.875575
-0.2,2,6.893989
-0.480886,9,6.975799
-0.280886,7,7.040864
-0.2,2,7.058455
-2.507584,175,10.05278
-0.280886,7,10.117773
-0.580886,10,10.202852
-0.480886,9,10.287196
0.40235,17,10.435526
-0.180886,6,10.48824
-0.722171,175,12.8375
-0.790958,154,15.762233
-3.796675,175,18.036385
-0.006491,175,20.320353
-0.388834,175,23.241878
-2.840828,175,25.466351
-0.2,2,25.486126
-0.2,2,25.512846
-0.2,2,25.529395
-0.2,2,25.548192
0.131793,22,25.743495
-0.280886,7,25.804487
-4.789586,129,27.602717
1.014505,57,28.751353
-0.2,2,28.768998
-2.481455,175,31.104886
-0.280886,7,31.170008
-0.2,2,31.18743
-3.257104,175,34.153961
-1.718458,175,36.485065
-0.580886,10,36.578399
-0.2,2,36.597138
-0.080886,5,36.647579
-0.2,2,36.66845
-0.2,2,36.690839
-0.2,2,36.709786
-0.280886,7,36.783654
-0.2,2,36.801163
-1.004709,63,38.050281
-2.304826,175,40.29683
-0.2,2,40.318261
-0.2,2,40.336938
1.291104,125,42.242615
-0.89765,16,42.390929
-0.79765,15,42.535099
-0.680886,11,42.639919
0.031793,23,43.608449
-0.2,2,43.628569
-5.259123,175,46.033263
-0.2,2,46.05394
-0.2,2,46.071677
-1.545354,173,48.350039
-3.309823,175,51.480659
-1.603985,175,54.031476
-0.380886,8,54.112403
-0.2,2,54.130361
-0.180886,6,54.190996
-0.763867,175,57.248723
-0.280886,7,57.323468
-0.080886,5,57.364974
-4.740869,175,59.772124
0.369467,175,62.254968
0.246246,22,63.125702
-1.49765,22,63.331352
-0.480886,9,63.41803
2.999812,85,64.219634
-0.2,2,64.237168
-0.865266,37,65.267005
0.814151,175,67.585241
