#{"t_start": 1759201205.677821, "env_id": "None"}
r,l,t
-24.736463,800,13.032197
0.906299,18,13.217235
-30.084028,800,26.071628
-26.240804,800,39.734126
2.397195,19,39.931187
6.637436,188,43.581863
5.307463,270,47.85925
8.282095,241,51.831768
-7.477018,559,60.601666
1.74493,460,68.660407
-0.171372,360,73.723359
-28.870397,711,85.373983
5.401383,80,86.083096
-27.880153,800,99.059831
-32.778536,800,111.611074
-27.076576,800,126.587445
-0.172935,37,126.936446
-27.039273,800,140.270035
-5.939409,594,149.335447
-35.352293,800,162.099989
3.702995,354,169.007602
6.09693,139,170.275429
-21.140194,706,182.153335
1.44344,36,182.480155
0.912243,10,182.573312
-15.557295,616,193.536496
-25.727037,800,206.173607
1.055277,31,206.469869
0.912243,10,206.56675
-27.35363,800,219.607631
-12.128087,431,226.985489
-41.384291,800,239.885731
0.912243,10,239.983485
-27.430873,800,252.983164
-36.936966,800,266.359452
-30.250082,800,279.165173
0.912243,10,279.267335
0.912243,10,279.358904
3.408,365,286.233586
-20.667611,736,298.30672
-48.071828,800,310.789053
0.912243,10,310.882234
0.912243,10,310.97902
-3.102362,147,312.324334
13.947477,213,315.887153
-11.766462,582,324.725256
3.995579,49,326.887144
-32.586259,800,339.353286
1.013825,43,339.723322
0.912243,10,339.819812
0.912243,10,339.908837
0.912243,10,339.989334
-26.589483,800,352.438192
-35.590029,800,364.912773
-23.113501,800,377.450385
0.850517,19,379.299766
9.952196,98,380.176106
-41.131935,800,393.019883
0.912243,10,393.12002
0.912243,10,393.227133
0.850517,19,393.43216
10.136877,447,401.644743
-39.033768,800,415.794098
-5.658418,510,425.359544
7.831478,103,426.45882
6.774334,416,435.156175
-1.134661,46,435.649001
-0.070922,297,440.91871
6.221054,422,448.998641
11.995569,190,452.765404
-10.12749,548,462.273308
-19.70395,659,474.696986
-17.93133,588,484.468729
-43.71888,800,498.617098
-43.064058,800,513.444853
-18.688941,656,524.933949
4.154428,82,525.720233
-36.397469,800,539.274847
-27.659966,800,552.673685
0.912243,10,552.773565
-31.400033,800,566.068174
1.74125,24,566.303616
14.19194,163,569.598776
-34.252083,800,583.394309
1.052033,45,583.851348
4.02817,431,591.549783
-28.588064,800,605.224292
9.125763,154,608.418833
5.204161,387,613.990079
10.826521,204,617.589366
-30.647793,800,630.533951
-28.698868,800,643.074531
-35.397835,800,655.906399
12.635212,218,659.722572
-35.542482,800,672.668374
-29.289519,800,687.296005
1.909236,31,687.578142
6.508185,136,688.877662
5.735445,175,692.430583
-37.661638,800,705.885039
0.912243,10,705.974712
-29.576737,800,719.121256
-39.261255,800,732.363777
5.107089,47,734.548206
2.204475,19,734.72373
-32.857496,800,747.705782
12.498376,225,751.575097
1.311929,25,751.81325
-4.189309,331,756.666881
-24.713035,800,769.681602
7.189518,62,770.266412
0.906299,18,770.438684
4.221254,173,773.721398
8.241729,289,778.487352
0.978729,13,778.618263
0.912243,10,778.710295
-10.242354,469,786.862229
-15.911926,342,791.989703
0.912243,10,793.761963
0.912243,10,793.857263
-30.784741,800,806.716563
-6.105474,453,812.817193
10.624484,204,816.745944
-15.701252,639,829.349627
11.416889,221,833.577154
-27.683102,800,847.220563
0.906299,18,847.408681
3.521805,117,848.643557
7.703998,66,851.224819
0.912243,10,851.337516
-1.70521,367,856.948768
-32.539111,800,870.022511
0.912243,10,870.120037
12.097279,161,873.196679
-31.026297,800,886.081034
1.323933,22,886.273277
4.974891,122,887.402524
1.373655,16,889.26871
-11.576764,459,895.209156
-31.473113,800,907.418252
2.488618,291,913.640884
-9.718052,454,919.735696
-22.329449,800,934.890038
-37.406092,800,947.991349
2.132045,24,948.223055
0.912243,10,948.320351
1.349531,403,954.077695
-9.832581,379,961.55717
11.055555,182,965.349655
1.937299,39,965.703636
-15.806431,638,974.952255
12.806131,286,979.5345
-28.894233,596,990.392184
11.551026,143,991.70678
-30.169005,800,1004.302651
6.959164,537,1012.797165
-33.080864,773,1025.354006
-34.636055,800,1039.643947
-10.905475,581,1048.521714
-3.050394,574,1057.392725
-38.568228,800,1070.071281
1.250373,22,1070.276508
-27.13965,778,1083.373163
-30.749445,800,1097.464721
-11.095984,467,1105.843476
-6.683935,480,1113.941634
-26.285039,800,1126.69677
-26.290541,800,1139.474908
0.912243,10,1139.5855
14.505418,267,1143.751487
9.67416,131,1146.894939
-21.011403,697,1158.604936
0.850517,19,1158.78447
-37.960985,800,1171.972912
7.961881,320,1176.944913
7.003676,92,1179.829212
12.338348,141,1181.120999
6.506704,235,1184.988332
-34.701399,800,1199.04305
-26.553661,800,1212.453152
0.912243,10,1212.548557
1.374172,18,1212.715353
-0.491505,322,1219.221399
-6.860635,568,1228.28471
-5.856667,534,1236.663247
1.610715,85,1237.445139
0.984947,464,1245.271929
5.332427,275,1249.764885
6.164722,381,1256.650326
-26.235992,800,1269.961089
-32.815427,800,1283.368923
4.338476,277,1287.967984
-30.255807,800,1301.983915
0.912243,10,1302.089542
11.469609,108,1305.10519
-36.13298,800,1318.619233
-18.940378,465,1324.937709
-31.172281,800,1340.169694
12.744209,147,1341.579248
11.402104,242,1345.76022
-63.281422,800,1358.657117
6.752291,378,1365.743273
2.141228,232,1369.788554
-26.532075,800,1382.617873
-30.791985,800,1395.588958
-38.607885,800,1408.569577
-14.076931,413,1416.288448
1.616496,417,1422.15458
-31.341214,769,1434.852179
3.423943,42,1435.285243
0.912243,10,1435.38542
1.373655,16,1437.485093
0.912243,10,1437.583148
12.549063,131,1438.928095
-35.665248,800,1451.816376
6.143816,346,1458.96027
11.929147,206,1461.03142
-31.848671,800,1474.501077
8.020152,316,1481.171382
-2.115691,494,1489.815275
0.978729,13,1489.927021
-7.128014,538,1498.201604
0.912243,10,1498.294446
0.912243,10,1498.383185
1.240574,512,1506.524249
13.040252,171,1509.94428
0.912243,10,1510.050195
-22.488128,666,1520.055118
-29.031151,800,1533.319934
1.311929,25,1533.587934
-28.736682,800,1549.278877
-26.44567,800,1563.447002
4.924022,433,1570.134783
-15.747115,673,1582.468623
3.416661,378,1588.302829
0.912243,10,1588.388324
-19.018088,662,1599.661659
0.978729,13,1599.786169
-12.500251,459,1607.608599
0.912243,10,1607.708228
1.909236,31,1607.996957
-30.195424,769,1620.399735
-32.092002,800,1633.864901
-19.004479,800,1647.036639
-2.672835,481,1655.460011
-17.21252,716,1668.216152
-25.343621,800,1682.003691
0.912243,10,1682.113941
-28.573022,800,1695.811066
7.136578,164,1699.294105
0.850517,19,1699.479746
-30.0232,800,1712.408584
0.912243,10,1712.511624
-26.69006,800,1725.666564
-24.901782,756,1738.254496
3.100655,33,1738.571543
4.996262,257,1742.896427
-28.857224,800,1755.757303
0.912243,10,1757.77847
8.147743,121,1758.932183
1.373655,16,1759.079957
6.863292,291,1763.827326
13.387445,331,1768.700355
-26.888699,800,1783.487505
0.912243,10,1783.584838
-28.739514,800,1796.305466
6.834233,141,1797.607283
1.849773,443,1805.356082
-6.847753,376,1812.651011
-15.105233,670,1822.292006
0.912243,10,1822.390801
13.391475,276,1826.675094
-5.761067,259,1831.080499
-21.553331,650,1842.631935
-17.588353,689,1854.837594
-32.543716,800,1867.365626
-3.080215,330,1872.400942
7.056441,327,1877.530699
14.213607,195,1881.324592
4.027906,88,1882.233906
-22.66942,735,1895.761274
