train/value_loss,train/policy_loss,rollout/ep_len_mean,time/fps,time/iterations,train/learning_rate,train/ent_coef,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,train/explained_variance
0.24181513488292694,0.010677829384803772,351.57,174,20,0.00019824896000000003,0.49391744,61440,352,-0.3970755934715271,19,-11.19052505493164,-0.12530410289764404
0.2326662838459015,0.011595978401601315,376.52,173,40,0.00019640576,0.48783488,122880,708,-0.40224406123161316,39,-13.907788276672363,-0.038739681243896484
0.24257312715053558,0.019869673997163773,310.92,173,60,0.00019456256,0.48175232,184320,1063,-0.38269245624542236,59,-9.130119323730469,0.0013862252235412598
0.2350013107061386,0.009135385975241661,324.49,172,80,0.00019271936000000002,0.47566976,245760,1421,-0.397832989692688,79,-9.525350570678711,-0.1680668592453003
0.23773066699504852,0.006187754683196545,366.59,172,100,0.00019087616,0.4695872,307200,1777,-0.39669322967529297,99,-12.417743682861328,-0.22108709812164307
0.23301753401756287,0.009223159402608871,314.54,172,120,0.00018903296000000002,0.46350464,368640,2133,-0.3909676969051361,119,-9.459275245666504,-0.15402567386627197
0.2370106428861618,0.004703863989561796,327.17,172,140,0.00018718976,0.45742208,430080,2486,-0.3924257159233093,139,-11.311834335327148,0.056589722633361816
0.2372579276561737,0.0036377408541738987,336.56,172,160,0.00018534656,0.45133952,491520,2841,-0.38384196162223816,159,-10.326960563659668,-0.3010900020599365
0.24620577692985535,0.012041695415973663,336.19,173,180,0.00018350336,0.44525696,552960,3195,-0.3849884867668152,179,-10.164755821228027,0.21277445554733276
0.23030094802379608,0.020521527156233788,356.69,172,200,0.00018166016,0.4391744,614400,3552,-0.3886958062648773,199,-11.942896842956543,0.0055869221687316895
0.21169912815093994,0.01976422220468521,310.92,173,220,0.00017981696,0.43309184,675840,3906,-0.38534867763519287,219,-10.676243782043457,0.11242568492889404
0.2239055633544922,0.019670095294713974,365.29,173,240,0.00017797376,0.42700928,737280,4261,-0.3814511299133301,239,-13.18468952178955,0.08238637447357178
0.22170937061309814,0.028704896569252014,335.58,173,260,0.00017613056000000002,0.42092672,798720,4616,-0.3914477825164795,259,-10.403106689453125,0.3743257522583008
0.22088634967803955,-0.002236429136246443,400.44,172,280,0.00017428736,0.41484416,860160,4973,-0.4073350131511688,279,-14.421348571777344,0.24922221899032593
0.2620602250099182,0.0130661865696311,341.16,172,300,0.00017244416000000002,0.4087616,921600,5328,-0.3865206241607666,299,-11.042393684387207,-0.15803217887878418
0.219522625207901,0.018536720424890518,352.32,173,320,0.00017060096,0.40267904,983040,5681,-0.3989049792289734,319,-10.829850196838379,0.1212548017501831
0.212363600730896,0.023925332352519035,366.2,172,340,0.00016875776,0.39659648000000003,1044480,6037,-0.38003820180892944,339,-12.47368049621582,0.08940303325653076
0.20829853415489197,0.01387436967343092,351.6,172,360,0.00016691456,0.39051392,1105920,6394,-0.3918858468532562,359,-11.170354843139648,0.30271482467651367
0.2278614044189453,0.007853655144572258,336.47,172,380,0.00016507136,0.38443136,1167360,6752,-0.3893771171569824,379,-12.904932022094727,0.2546728849411011
0.24122095108032227,0.015226623974740505,355.28,172,400,0.00016322816000000003,0.3783488,1228800,7110,-0.3786846995353699,399,-11.167280197143555,0.07584023475646973
