time/time_elapsed,train/n_updates,train/value_loss,time/iterations,train/learning_rate,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/explained_variance,train/policy_loss,rollout/ep_len_mean
17,99,0.8739734292030334,100,0.0003,-0.1504191756248474,6400,1.4315112829208374,366,0.0023384690284729004,0.021260451525449753,28.8
36,199,0.05821894481778145,200,0.0003,-0.16669951379299164,12800,1.4786731004714966,351,-0.009264826774597168,0.0022686049342155457,42.43
54,299,2.4383418560028076,300,0.0003,-0.20021897554397583,19200,1.666684865951538,350,0.00010156631469726562,-0.0071713668294250965,32.06
