#{"t_start": 1758734357.6496599, "env_id": "None"}
r,l,t
3.891018,23,6.423386
0.307501,8,6.490453
5.362348,32,7.00088
0.307501,8,7.229529
6.478172,33,7.663287
0.307501,8,7.734658
7.576035,38,8.196056
0.307501,8,8.260824
7.449305,32,8.714756
0.307501,8,8.970109
4.907016,20,9.1432
0.60458,22,9.501395
4.925527,22,9.905199
0.307501,8,9.966985
4.752281,15,10.102714
0.307501,8,10.346169
7.760864,46,10.911596
0.307501,8,10.978578
4.752281,15,11.269553
0.478748,15,11.389489
7.632036,43,12.096956
0.307501,8,12.1748
4.752281,15,12.304195
0.307501,8,12.582315
4.977856,24,12.793539
0.478748,15,13.085611
7.622551,39,13.57208
0.478748,15,13.701137
7.622551,39,14.388841
0.307501,8,14.451576
0.307501,8,14.518549
7.449305,32,14.965759
0.307501,8,15.030759
3.781148,16,15.348392
0.307501,8,15.414078
0.307501,8,15.480543
6.785864,47,16.234691
0.478748,15,16.353064
7.949843,58,17.186326
0.307501,8,17.251994
0.307501,8,17.503899
7.622551,39,18.005743
0.307501,8,18.071482
4.752281,15,18.374959
0.307501,8,18.443213
5.280436,43,19.017845
0.307501,8,19.079109
4.002856,25,19.464398
0.307501,8,19.718387
7.449305,32,20.178705
0.307501,8,20.247182
3.813689,19,20.416832
0.339264,9,20.689342
4.752281,15,20.809317
0.307501,8,20.881119
4.752281,15,21.200365
0.307501,8,21.268854
4.925527,22,21.66136
0.307501,8,21.73484
6.647551,40,22.269455
0.307501,8,22.51428
4.977856,24,22.72189
0.307501,8,22.982697
7.442433,33,23.449906
0.478748,15,23.569422
7.449305,32,24.569612
0.60458,22,26.059351
4.977856,24,26.89757
0.307501,8,27.918486
0.307501,8,28.115596
7.622551,39,29.780097
0.307501,8,30.009132
4.752281,15,31.30265
0.307501,8,31.57951
5.080262,27,33.204037
0.307501,8,33.556562
4.752281,15,34.62526
0.307501,8,34.781473
4.752281,15,35.230585
0.307501,8,36.108467
4.925527,22,36.605336
0.510511,16,37.468453
5.080262,27,38.6505
0.307501,8,38.794529
3.658955,14,39.163457
0.307501,8,40.01506
8.211453,75,42.972085
0.307501,8,43.123327
7.449305,32,44.048808
0.307501,8,44.232945
4.907016,20,45.504349
0.783625,36,46.839529
4.907016,20,48.660041
0.307501,8,48.830505
5.080262,27,50.348778
0.307501,8,50.835358
0.478748,15,52.20571
6.159601,76,56.691679
0.307501,8,57.026393
5.159575,32,58.866684
0.478748,15,60.155468
3.658955,14,60.770626
0.307501,8,61.125357
4.752281,15,62.696136
0.478748,15,63.24105
4.752281,15,64.26804
0.307501,8,64.552917
4.925527,22,66.205272
0.307501,8,66.458742
4.977856,24,68.028137
0.307501,8,68.348457
40.586172,1200,120.618505
4.907016,20,120.791888
0.307501,8,120.860446
7.594949,40,121.526924
0.307501,8,121.592015
66.463278,1200,138.190902
4.752281,15,138.519053
0.307501,8,138.586425
7.622551,39,139.098294
0.307501,8,139.339197
7.442433,33,139.795276
0.478748,15,139.924795
4.752281,15,140.277477
0.307501,8,140.347533
74.66456,1200,175.917794
7.449305,32,176.436971
0.307501,8,176.682109
0.307501,8,176.754702
8.237123,81,177.808097
0.307501,8,178.069309
4.907016,20,178.235031
0.307501,8,178.302614
4.925527,22,178.705804
0.307501,8,178.78636
7.760864,46,179.617341
0.339264,9,179.742575
7.442433,33,180.340922
0.339264,9,180.456102
4.752281,15,180.818878
0.478748,15,181.006791
7.877017,53,182.041797
0.307501,8,182.135688
4.907016,20,182.566853
0.307501,8,182.647094
7.622551,39,183.29511
0.307501,8,183.55327
5.218575,34,184.084465
0.307501,8,184.179497
5.080262,27,184.643453
0.307501,8,184.719318
7.594949,40,185.244904
0.307501,8,185.488916
0.307501,8,185.555414
4.977856,24,185.933515
0.307501,8,186.006053
6.785864,47,186.564183
0.60458,22,186.925956
4.752281,15,187.050089
0.307501,8,187.289609
3.658955,14,187.404997
0.307501,8,187.467752
7.449305,32,187.933387
0.307501,8,188.183253
4.752281,15,188.304183
0.307501,8,188.367788
0.307501,8,188.618037
4.847286,18,188.77164
0.307501,8,188.838153
5.179993,36,189.47844
0.478748,15,189.604971
6.131846,69,190.537579
0.478748,15,190.839054
7.594949,40,191.367168
0.307501,8,191.436749
4.925527,22,191.799744
0.307501,8,191.868864
4.925527,22,192.238091
0.307501,8,192.303979
4.752281,15,192.43628
0.478748,15,192.744176
8.456183,103,194.164371
0.478748,15,194.477598
4.752281,15,194.601593
0.307501,8,194.666809
5.06384,29,195.074786
0.307501,8,195.138169
4.977856,24,195.51676
0.307501,8,195.586342
4.752281,15,195.878185
0.307501,8,195.940133
4.977856,24,196.312609
0.307501,8,196.379742
4.752281,15,196.689215
0.60458,22,196.873601
4.752281,15,197.184388
0.307501,8,197.248365
4.752281,15,197.540703
0.307501,8,197.604489
4.907016,20,197.767273
0.307501,8,198.006792
3.658955,14,198.122213
0.307501,8,198.186914
7.622551,39,198.85506
0.307501,8,198.922289
4.752281,15,199.045696
0.70334,29,199.46466
7.760864,46,200.217467
0.60458,22,200.402382
7.856545,54,201.187319
0.307501,8,201.25352
4.925527,22,201.612314
0.307501,8,201.676462
5.179993,36,202.148413
0.307501,8,202.391433
4.977856,24,202.599948
0.510511,16,202.90846
5.06384,29,203.3171
0.307501,8,203.386728
4.925527,22,203.747323
0.307501,8,203.812769
4.752281,15,203.933106
0.307501,8,204.171957
4.752281,15,204.295093
0.307501,8,204.360934
7.760864,46,205.082099
0.307501,8,205.145285
7.622551,39,205.650331
0.307501,8,205.891137
4.977856,24,206.094624
0.307501,8,206.35611
4.977856,24,206.553
0.307501,8,206.791977
7.442433,33,207.260769
0.307501,8,207.328844
7.622551,39,207.840162
0.307501,8,207.909784
4.752281,15,208.209769
0.307501,8,208.276189
4.752281,15,208.401209
0.307501,8,208.65794
