#{"t_start": 1759444755.3945358, "env_id": "None"}
r,l,t
-12.874154,175,2.357539
-1.807848,11,2.496589
-16.308903,175,5.761897
-7.829267,79,6.546999
-3.992884,31,6.934131
-2.956404,65,9.486484
-8.067062,77,10.624133
-0.5,2,10.649127
-6.299506,97,11.871114
-2.263533,17,12.06744
-0.5,2,12.091676
-9.278179,108,15.293949
-23.140929,175,17.582669
1.874641,53,19.752016
-17.578278,175,21.603589
-4.872785,41,23.537551
-12.772811,175,25.143937
-0.5,2,25.167034
-0.5,2,25.184346
-0.5,2,25.206067
-0.307848,6,25.258941
-0.5,2,25.27611
-1.507848,10,25.366633
-0.307848,6,25.419499
-0.5,2,25.450104
-0.5,2,25.469482
-3.37733,41,25.876084
-0.5,2,25.893802
-25.941908,175,29.483847
-16.305148,175,33.23311
-10.389265,147,34.688383
-0.907848,8,34.761206
-23.451383,175,37.741748
-12.143074,175,41.08542
-7.577499,118,42.143388
-15.903001,175,45.259461
-0.5,2,45.283843
-0.5,2,45.302348
-18.907463,175,48.506087
-0.5,2,48.527373
-0.5,2,48.546124
-13.395537,175,50.199541
-7.500891,42,52.111854
-9.867378,163,53.775464
-2.563533,18,53.966989
-14.752922,175,57.541549
-1.207848,9,57.683795
-13.279283,111,58.980733
-2.407848,13,59.119973
-10.825577,131,62.44872
-3.395488,30,62.751964
-0.007848,5,62.798531
-20.890411,175,65.89122
-2.857581,44,66.317379
-0.995488,22,66.528409
-11.440401,175,69.660288
-2.407848,13,69.783533
-0.007848,5,69.836657
-0.5,2,69.854491
-18.017092,175,71.556093
-20.742837,175,74.80595
-0.5,2,74.831619
-2.263533,17,75.011876
-17.538157,175,78.439821
-6.918104,103,79.655541
-0.607848,7,79.736135
-0.607848,7,79.813773
-1.368079,21,80.038004
-4.883712,40,81.981298
-0.468079,16,82.116832
-1.207848,9,82.193486
-0.607848,7,82.254513
-17.839269,142,83.506612
-15.716988,175,86.710298
-14.90879,106,87.738456
-4.063533,23,87.960384
-18.373464,175,91.037937
-8.009453,89,93.276053
-1.807848,11,93.385845
-18.545348,175,95.108263
-0.5,2,95.132108
-0.5,2,95.152224
-0.907848,8,95.229278
-2.707848,14,95.361409
-1.507848,10,95.464526
-2.795488,29,97.177835
-0.5,2,97.20287
-9.214615,80,98.00474
-16.156779,175,100.99318
-3.643674,79,101.776292
-8.304214,84,102.573124
-16.497851,113,104.987942
-18.152158,175,106.607337
-15.033596,128,109.17818
-1.207848,9,109.268559
-19.483911,175,110.954672
-17.444842,138,114.394881
-0.5,2,114.412629
-3.607848,17,114.594192
-2.563533,18,114.791407
-4.944413,57,115.36845
-8.335261,175,118.59641
-11.002924,99,119.566252
-0.5,2,119.58598
-13.109141,175,122.547176
-14.410745,130,125.15179
-8.29514,61,125.729395
-0.607848,7,125.797425
-0.5,2,125.816236
-0.607848,7,125.879363
-1.807848,11,125.981428
-0.607848,7,126.04291
-0.007848,5,126.096797
-0.5,2,126.118506
-20.305566,175,129.074378
-0.307848,6,129.138014
-16.272563,121,130.442078
-0.74133,65,131.148261
-21.048445,175,134.656703
-0.307848,6,134.722722
-22.355127,175,138.220437
-0.307848,6,138.291148
-1.507848,10,138.402963
-0.5,2,138.423516
-0.307848,6,138.486756
-18.739033,144,141.486315
-20.511779,175,143.302214
-2.945488,28,143.611272
-3.151423,100,146.260324
-0.307848,6,146.324766
-23.160722,175,148.275982
-0.307848,6,148.342951
-0.5,2,148.363745
-10.521026,153,151.926818
-16.599894,168,155.833849
-9.035515,94,156.86381
-25.161574,175,160.45296
-0.5,2,160.476965
-17.706895,170,162.391479
-21.277532,175,166.259458
-7.062127,64,167.130068
-0.5,2,167.162632
-0.5,2,167.187602
-4.170917,48,169.661512
-15.232294,175,171.881712
-0.907848,8,171.991359
-7.195896,65,174.385906
-0.5,2,174.416012
-0.5,2,174.436036
-23.033149,175,176.588374
-18.302303,154,180.429531
-2.118079,22,180.678254
-7.154627,72,181.490244
-5.345488,36,181.908004
-0.5,2,181.931738
-1.663533,15,182.116227
-13.702217,175,185.677274
-0.307848,6,185.752784
-9.991442,91,186.885477
-22.174427,160,190.635224
-6.469903,52,191.246306
-0.5,2,191.269162
-4.367689,36,191.709237
-0.5,2,191.732217
-1.807848,11,193.516314
-12.760789,162,195.406379
-11.284843,115,198.427188
-6.165686,67,199.06789
-13.347001,175,202.477698
-19.854101,175,204.470422
-9.652216,87,207.013974
-2.994843,93,207.96784
-14.551448,140,209.496773
-9.710897,112,212.127966
-0.5,2,212.148084
-0.768079,17,212.324674
-0.5,2,212.351423
-0.5,2,212.372749
-3.538338,25,212.646259
-0.5,2,212.674541
-26.293927,175,216.153519
-3.545488,30,216.517093
-1.507848,10,216.622037
-0.607848,7,216.701727
-3.827091,39,217.100123
-11.672438,123,219.859779
-0.907848,8,219.935952
-0.5,2,219.965711
-0.5,2,219.986597
-0.5,2,220.005462
-0.907848,8,220.084602
-7.990299,75,220.890207
-6.609285,62,221.647869
-11.348036,113,224.195773
-17.065419,175,226.015958
-18.461368,175,229.442072
-0.907848,8,229.530102
-0.907848,8,229.610264
-0.5,2,229.629463
-0.5,2,229.648507
-9.599804,68,230.311538
-10.387571,108,232.663194
-1.207848,9,232.744375
-11.518127,75,233.439104
-0.5,2,233.458743
-12.976609,175,236.504769
-0.5,2,236.526481
-0.607848,7,236.592524
-9.540762,93,237.539184
-24.952228,175,240.741047
-0.5,2,240.763941
-0.5,2,240.780536
-0.5,2,240.801157
-1.207848,9,240.884839
-0.5,2,240.903845
-0.5,2,240.922881
-14.875352,175,243.990237
-0.607848,7,244.059336
-19.629458,175,245.800324
-0.5,2,245.824287
-0.5,2,245.845185
-0.5,2,245.873047
-17.992132,175,249.183878
-22.377314,175,252.258123
-0.5,2,252.286524
-0.5,2,252.304868
-1.207848,9,252.391605
-15.684047,175,254.113555
-0.5,2,255.578511
-18.503301,175,257.366324
-17.162027,175,260.646005
-11.950284,165,263.654181
-9.497027,105,264.652165
-27.507078,175,267.730989
-1.207848,9,267.821181
-17.16932,175,269.517335
-0.768079,17,269.679553
-2.645488,27,269.946839
-14.714887,97,272.284127
-17.581941,175,275.527477
-4.445488,33,275.836591
-18.19546,175,277.501984
-14.456013,175,280.894737
-0.607848,7,280.963498
-15.400688,175,284.078228
-0.307848,6,284.142981
-3.307848,16,284.30337
-16.149048,175,287.375833
-15.076029,175,289.068583
-4.590942,29,289.366448
-5.263533,27,289.669358
-1.207848,9,289.749948
-24.716536,175,293.11788
-1.900033,31,293.428761
-2.407848,13,293.556573
-0.5,2,293.575729
-0.907848,8,293.657782
-15.456669,166,296.669754
-20.523718,159,299.741997
-24.718989,175,301.448999
-15.325636,175,304.610013
-0.5,2,304.631543
-11.486002,119,305.797733
-0.5,2,305.820251
-10.15977,104,308.168044
-16.527806,175,311.540102
-13.037219,102,312.536291
-2.263533,17,312.701334
-18.475516,175,315.835182
-21.818251,175,317.49901
-3.625382,95,319.732713
-13.739225,175,321.437795
-18.221833,175,324.45646
-17.922631,175,327.467608
-1.507848,10,327.560158
-1.507848,10,327.652269
-2.563533,18,327.818636
-15.396434,175,330.849928
-14.301633,128,332.013683
-17.423686,175,335.118335
-15.416032,175,338.044228
-15.500918,175,339.602489
-6.909982,59,340.279743
-20.399786,175,343.985751
-0.5,2,344.010917
-2.402025,64,344.709224
-7.135333,48,346.791175
-1.507848,10,346.879255
-1.663533,15,347.032842
-25.437488,175,348.869461
-1.063533,13,349.022453
-4.842525,51,351.05131
-5.738592,86,352.233951
-2.407848,13,352.41965
-0.5,2,352.445055
-0.907848,8,352.553679
-11.409615,115,354.113721
-18.221194,175,358.21943
-1.807848,11,358.381955
-2.84645,38,358.912092
-0.618079,16,359.101993
-21.18816,175,362.700508
-9.901644,175,365.846208
-2.912554,25,366.096304
-0.5,2,366.11645
-9.270917,65,366.77045
-4.063533,23,366.996057
-0.307848,6,367.053727
-0.5,2,367.078027
-19.759008,175,370.461535
-1.807848,11,370.574332
-0.607848,7,370.64674
-12.80275,107,371.73213
-0.5,2,371.753973
-6.961594,83,374.000503
-14.489657,119,375.185063
-3.862203,50,375.692053
-0.5,2,375.712352
-3.917689,36,377.545659
-0.607848,7,377.613721
-0.5,2,377.633605
-16.839408,175,379.360099
-20.0007,175,382.55978
-0.5,2,382.583869
-3.866464,43,383.017629
-17.145533,175,386.404013
-15.637532,152,388.1164
-9.607434,161,391.305928
-12.530537,175,394.544163
-0.5,2,394.567416
-7.958758,78,395.348272
-6.634716,84,396.213005
-0.5,2,396.234216
-0.307848,6,396.29227
-0.5,2,396.311922
-2.817966,38,398.287336
-28.055629,175,400.302986
-1.663533,15,400.479617
-0.007848,5,400.562587
-2.107848,12,400.722688
-0.307848,6,400.796933
-7.505436,47,402.884154
-0.307848,6,402.937859
-1.207848,9,403.030454
-1.207848,9,403.129751
-4.187359,33,403.475976
-11.270603,108,404.920059
-0.5,2,404.951636
-13.745702,175,408.761593
-1.72733,35,409.168259
-12.677571,135,412.009541
-2.0171,27,412.272506
-1.963533,16,412.427641
-6.619903,52,412.930602
-0.5,2,412.951937
-5.251619,69,413.632197
-2.771645,34,413.971621
-0.5,2,413.989894
-14.612227,175,417.473869
-18.835112,175,420.619241
-0.907848,8,420.704117
-1.341905,29,421.052582
-0.5,2,421.077785
-22.948854,175,424.366137
-17.203999,175,427.749313
-11.610578,175,431.795503
-5.934787,50,432.421358
-19.357256,175,436.218976
-11.958917,107,437.497283
-5.312554,33,437.841304
-0.5,2,437.857373
-5.255436,39,439.831767
-4.955593,40,440.183206
-24.147262,175,441.9232
-18.733701,175,445.694107
-2.718079,24,445.968462
-0.5,2,445.987916
-9.810706,106,448.98509
-18.750842,175,451.10302
-0.5,2,451.138763
-0.5,2,451.166004
-0.5,2,451.191198
-21.322042,175,454.521173
-0.5,2,454.544072
-12.661917,170,457.492781
-0.5,2,457.513355
-0.5,2,457.533398
-0.5,2,457.553037
-13.627409,175,459.248012
-8.534241,118,461.978241
