#{"t_start": 1759259502.830756, "env_id": "None"}
r,l,t
0.912243,10,1.049594
-41.90595,800,14.250932
11.811868,192,16.025726
15.014017,271,20.197955
5.017709,361,27.040553
0.912243,10,27.130568
-25.715545,800,39.786201
7.502853,113,40.863669
-34.007488,795,55.106234
0.898592,356,60.368967
7.938392,387,65.66975
0.912243,10,67.421063
1.273695,26,67.660851
10.894127,351,72.634676
0.912243,10,72.726564
1.566892,18,72.8905
-31.416257,800,85.534193
-33.844283,800,98.078604
-1.766546,300,104.296016
8.090512,222,106.364698
-32.26551,756,119.463659
1.467085,22,119.67843
0.912243,10,119.786255
-12.534995,553,130.543219
0.912243,10,130.636015
-34.236209,800,144.407867
13.001187,254,148.797162
0.912243,10,148.893458
-25.778701,800,162.564925
-34.986408,523,171.349932
-43.413258,800,183.644253
-26.688198,800,196.393924
-29.215178,800,210.107031
8.515393,183,213.845989
-0.562355,445,221.730629
4.749573,268,225.848278
0.912243,10,225.942311
-28.48012,800,239.472636
4.279514,53,239.987714
7.101053,412,247.896363
0.912243,10,247.993882
10.825787,91,248.934948
7.491091,119,252.382537
8.558366,440,259.208458
-25.413943,800,274.922129
-29.152399,800,288.790931
3.61438,152,290.289002
5.173487,234,294.334041
1.365237,37,294.709619
-25.082358,733,308.062493
-34.314728,800,322.65513
0.978729,13,322.794405
12.125349,142,326.123566
-17.157788,598,336.081221
-13.120003,489,344.399362
6.847732,72,345.095896
8.07847,397,352.330733
0.912243,10,352.434295
-35.496396,800,365.245932
-37.391881,800,378.095734
-22.98962,680,389.961453
-25.358501,800,402.747132
-30.480637,800,415.528655
