#{"t_start": 1759577090.898994, "env_id": "None"}
r,l,t
-3.355586,123,2.258945
-1.4,2,2.284061
-1.562923,8,3.569382
-1.4,2,3.593031
-5.070805,175,6.802309
-3.076574,28,7.243645
-1.862923,11,7.38981
-1.4,2,7.416673
-1.563863,42,9.017651
-1.4,2,9.040401
-1.262923,5,9.097469
-2.75912,85,10.164858
-1.4,2,10.190596
-1.4,2,10.2148
-0.134716,18,10.445846
-1.4,2,10.470207
-1.721555,113,13.276962
-1.262923,5,13.346005
-1.4,2,13.37273
-1.662923,9,13.495731
-1.4,2,13.522103
-1.462923,7,14.729476
-1.762923,10,14.872751
-3.134716,26,15.218614
-1.362923,6,15.29609
-5.406187,175,19.128601
-1.4,2,19.168579
-6.071135,175,23.843526
-4.419137,175,27.052159
-4.429833,175,30.331681
