#{"t_start": 1759512138.369775, "env_id": "None"}
r,l,t
-0.69513,175,2.878441
-0.2,2,2.901945
-0.2,2,2.924693
-0.662816,129,4.687822
-1.19052,41,5.03891
-4.840221,175,7.696918
-1.901302,76,8.359345
-2.96648,175,11.102531
-0.280886,7,11.165045
-0.280886,7,11.238099
-0.2,2,11.254844
-5.897887,175,13.35652
-0.2,2,13.37794
-1.660131,175,15.599119
0.239409,40,16.564396
-0.280886,7,16.631434
-0.2,2,16.648927
-0.2,2,16.664406
-1.558649,95,18.087335
-0.2,2,18.105167
1.606593,137,19.963947
-0.2,2,19.988941
