train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/policy_loss,train/explained_variance,train/ent_coef
0.08486618101596832,29,-0.42275428771972656,0.0001985152,30,495,124,308.18,61440,-8.614418029785156,0.0036313235759735107,-0.019365549087524414,0.049539200000000005
0.07938531041145325,59,-0.4279823899269104,0.00019697920000000003,60,499,246,341.47,122880,-9.338050842285156,0.004439588636159897,-0.01815211772918701,0.0490784
0.07108378410339355,89,-0.43357768654823303,0.00019544320000000002,90,498,369,281.71,184320,-5.893846035003662,0.005126075819134712,-0.014893531799316406,0.048617600000000004
0.06587983667850494,119,-0.4212161600589752,0.0001939072,120,498,493,330.12,245760,-8.405097961425781,0.003886825405061245,-0.013568878173828125,0.0481568
0.0823604017496109,149,-0.44475704431533813,0.0001923712,150,493,622,319.76,307200,-9.640570640563965,0.0033946691546589136,-0.011441946029663086,0.047696
0.06746983528137207,179,-0.4372429847717285,0.00019083520000000003,180,487,755,337.87,368640,-8.403278350830078,-0.0010947608388960361,-0.007108449935913086,0.047235200000000005
0.08819037675857544,209,-0.4324597418308258,0.00018929920000000002,210,481,892,274.56,430080,-7.03751277923584,0.0018704342655837536,-0.010691285133361816,0.0467744
0.08501533418893814,239,-0.43434765934944153,0.0001877632,240,478,1026,319.71,491520,-8.227762222290039,0.010528765618801117,-0.009227395057678223,0.0463136
0.06600406765937805,269,-0.4276672899723053,0.0001862272,270,477,1157,346.96,552960,-8.728067398071289,0.006282268092036247,-0.012323617935180664,0.0458528
0.09330946952104568,299,-0.4411429166793823,0.00018469120000000002,300,477,1287,303.67,614400,-7.959951400756836,0.003941199742257595,-0.010355353355407715,0.045392
0.09358915686607361,329,-0.43541741371154785,0.00018315520000000002,330,476,1418,348.53,675840,-9.622393608093262,-0.0014416775666177273,-0.012425899505615234,0.044931200000000004
0.07448466122150421,359,-0.4245876669883728,0.0001816192,360,476,1546,315.75,737280,-8.190004348754883,0.009769018739461899,-0.013597607612609863,0.0444704
0.09060821682214737,389,-0.4332095980644226,0.00018008320000000003,390,476,1677,343.55,798720,-9.521151542663574,0.00441207829862833,-0.014910697937011719,0.0440096
0.0752873420715332,419,-0.45573538541793823,0.00017854720000000002,420,476,1806,312.97,860160,-7.864338397979736,-0.0013957030605524778,-0.015296339988708496,0.043548800000000006
0.0861932635307312,449,-0.4374873638153076,0.00017701120000000002,450,476,1933,339.91,921600,-9.26667594909668,0.0130216795951128,-0.012490987777709961,0.043088
0.08404964953660965,479,-0.42931750416755676,0.0001754752,480,476,2063,330.0,983040,-7.543867111206055,0.0037401444278657436,-0.011718392372131348,0.042627200000000004
0.07757159322500229,509,-0.4422219693660736,0.0001739392,510,476,2192,316.31,1044480,-7.4636921882629395,0.0025734989903867245,-0.015621304512023926,0.0421664
0.06367817521095276,539,-0.4254932999610901,0.0001724032,540,477,2318,318.76,1105920,-8.46613597869873,0.013010110706090927,-0.012359619140625,0.0417056
0.07271137833595276,569,-0.42173662781715393,0.00017086720000000002,570,476,2447,287.19,1167360,-6.658144474029541,0.007236597593873739,-0.017363548278808594,0.0412448
0.10728241503238678,599,-0.4458496570587158,0.0001693312,600,476,2576,297.83,1228800,-8.262151718139648,0.008277756161987782,-0.007584095001220703,0.040784
0.05788120627403259,629,-0.4345930218696594,0.0001677952,630,477,2704,330.16,1290240,-8.474922180175781,0.020307743921875954,-0.011948466300964355,0.040323200000000003
0.0922185480594635,659,-0.43527787923812866,0.00016625920000000002,660,476,2836,337.6,1351680,-9.306641578674316,0.0019067841349169612,-0.014797687530517578,0.0398624
0.0873374193906784,689,-0.4249671995639801,0.00016472320000000002,690,476,2967,317.49,1413120,-7.872518539428711,0.005369904451072216,-0.01013171672821045,0.0394016
0.07381278276443481,719,-0.43097400665283203,0.0001631872,720,475,3100,297.17,1474560,-5.905581474304199,0.004210436251014471,-0.012326240539550781,0.0389408
0.0980062335729599,749,-0.42083457112312317,0.0001616512,750,474,3237,326.56,1536000,-7.472754001617432,0.020933909341692924,-0.016590237617492676,0.03848
0.10884356498718262,779,-0.43468013405799866,0.0001601152,780,473,3372,308.35,1597440,-8.063881874084473,0.016727689653635025,-0.013584256172180176,0.0380192
0.07327398657798767,809,-0.4246635138988495,0.00015857920000000001,810,473,3506,294.47,1658880,-8.314434051513672,0.0036858427338302135,-0.015729069709777832,0.0375584
0.08087767660617828,839,-0.41761988401412964,0.0001570432,840,473,3636,336.68,1720320,-9.261978149414062,0.016042176634073257,-0.01586592197418213,0.0370976
0.0859421044588089,869,-0.428890585899353,0.00015550720000000003,870,473,3764,300.56,1781760,-8.074385643005371,0.015375894494354725,-0.015706419944763184,0.0366368
0.08267645537853241,899,-0.4253540635108948,0.00015397120000000002,900,473,3893,276.16,1843200,-6.086605072021484,0.0004001983907073736,-0.011177897453308105,0.036176
0.08267991244792938,929,-0.44217774271965027,0.00015243520000000001,930,473,4019,325.16,1904640,-8.37789535522461,0.018102390691637993,-0.010866522789001465,0.0357152
0.05271650478243828,959,-0.42232704162597656,0.0001508992,960,474,4145,302.87,1966080,-7.621229648590088,0.012851594015955925,-0.02214336395263672,0.0352544
0.09056404232978821,989,-0.43604302406311035,0.0001493632,990,473,4277,320.8,2027520,-8.234565734863281,0.005197711288928986,-0.011792898178100586,0.0347936
0.0928708165884018,1019,-0.44271376729011536,0.0001478272,1020,474,4406,330.07,2088960,-9.295112609863281,0.01095496118068695,-0.009850859642028809,0.0343328
0.07929767668247223,1049,-0.436189740896225,0.00014629119999999999,1050,474,4535,261.22,2150400,-4.910312175750732,0.01696362905204296,-0.009675979614257812,0.033872
0.0801583006978035,1079,-0.43855932354927063,0.0001447552,1080,474,4663,344.86,2211840,-9.489282608032227,-0.012140204198658466,-0.013350844383239746,0.0334112
0.1048508957028389,1109,-0.44061654806137085,0.0001432192,1110,474,4788,284.8,2273280,-7.133724212646484,-0.0068633221089839935,-0.010671854019165039,0.032950400000000005
0.10238868743181229,1139,-0.44097357988357544,0.00014168320000000002,1140,475,4913,342.28,2334720,-8.475077629089355,-0.0019341884180903435,-0.015076756477355957,0.0324896
0.08735723793506622,1169,-0.43207353353500366,0.0001401472,1170,475,5039,313.1,2396160,-8.325908660888672,0.003173382254317403,-0.015384316444396973,0.032028799999999996
0.0772925466299057,1199,-0.43432438373565674,0.0001386112,1200,475,5166,323.11,2457600,-8.334630966186523,-0.0026526842266321182,-0.014261245727539062,0.031568
0.07501047849655151,1229,-0.4394512176513672,0.0001370752,1230,475,5295,304.54,2519040,-7.30307674407959,0.014896242879331112,-0.016273021697998047,0.0311072
0.08926428854465485,1259,-0.4359153211116791,0.0001355392,1260,475,5421,320.38,2580480,-8.763343811035156,0.017433790490031242,-0.010903358459472656,0.0306464
0.07558813691139221,1289,-0.4166707992553711,0.0001340032,1290,476,5546,319.74,2641920,-7.4612507820129395,0.008905945345759392,-0.015492081642150879,0.0301856
0.07115097343921661,1319,-0.42893943190574646,0.0001324672,1320,476,5674,354.09,2703360,-9.30007553100586,0.020078126341104507,-0.009289264678955078,0.0297248
0.056144680827856064,1349,-0.4367828965187073,0.0001309312,1350,476,5803,351.5,2764800,-10.038139343261719,0.003648624522611499,-0.009829282760620117,0.029264000000000002
0.07743795961141586,1379,-0.43209120631217957,0.00012939520000000002,1380,476,5932,275.88,2826240,-5.4642791748046875,0.004526454024016857,-0.010615825653076172,0.0288032
0.08074560761451721,1409,-0.4223228394985199,0.0001278592,1410,475,6067,324.89,2887680,-9.170602798461914,0.007061981130391359,-0.009444832801818848,0.0283424
0.09906679391860962,1439,-0.4307170510292053,0.0001263232,1440,475,6197,341.08,2949120,-9.807183265686035,0.006680453196167946,-0.012709259986877441,0.0278816
0.07370507717132568,1469,-0.4327593445777893,0.0001247872,1470,475,6327,320.58,3010560,-8.546819686889648,0.007756366394460201,-0.017517685890197754,0.027420800000000002
0.10219444334506989,1499,-0.43104249238967896,0.0001232512,1500,475,6457,287.39,3072000,-8.228382110595703,0.0026793954893946648,-0.009823441505432129,0.02696
0.0713384598493576,1529,-0.4298809766769409,0.00012171520000000001,1530,475,6585,348.1,3133440,-9.323163032531738,0.005064287688583136,-0.010183453559875488,0.026499199999999997
0.07559521496295929,1559,-0.4246135354042053,0.0001201792,1560,475,6713,336.1,3194880,-9.612689018249512,0.011006636545062065,-0.013179540634155273,0.026038400000000003
0.09009166806936264,1589,-0.4446493983268738,0.0001186432,1590,475,6842,349.32,3256320,-11.103864669799805,0.00157674471847713,-0.013721227645874023,0.025577600000000002
0.08496195077896118,1619,-0.42781782150268555,0.00011710720000000002,1620,476,6970,367.59,3317760,-11.580643653869629,0.016064846888184547,-0.012627482414245605,0.025116799999999998
0.06528034061193466,1649,-0.41590213775634766,0.00011557120000000001,1650,476,7099,350.43,3379200,-9.55126953125,0.00845639780163765,-0.02016282081604004,0.024655999999999997
0.07505497336387634,1679,-0.42897936701774597,0.0001140352,1680,476,7227,349.61,3440640,-8.412291526794434,0.005951965693384409,-0.014351248741149902,0.024195200000000004
0.07635628432035446,1709,-0.4359722137451172,0.0001124992,1710,476,7354,284.49,3502080,-5.531393527984619,0.010482300072908401,-0.009114503860473633,0.0237344
0.06511557102203369,1739,-0.4361395835876465,0.0001109632,1740,476,7482,354.09,3563520,-9.877685546875,0.00626043975353241,-0.017075657844543457,0.0232736
0.07243490219116211,1769,-0.43416792154312134,0.00010942720000000001,1770,476,7609,335.15,3624960,-9.302529335021973,-0.0025592318270355463,-0.016386032104492188,0.022812799999999998
0.07378298789262772,1799,-0.4399421513080597,0.00010789120000000001,1800,476,7733,329.43,3686400,-9.429447174072266,0.006451441906392574,-0.012664318084716797,0.022352
0.1204865425825119,1829,-0.42666277289390564,0.00010635520000000001,1830,476,7863,348.69,3747840,-8.806944847106934,-0.008349718526005745,-0.015114426612854004,0.0218912
0.09832173585891724,1859,-0.4439985752105713,0.0001048192,1860,476,7991,300.61,3809280,-7.20703125,0.002382964361459017,-0.012998223304748535,0.0214304
0.05723021924495697,1889,-0.4346540868282318,0.00010328320000000001,1890,476,8117,322.36,3870720,-8.821124076843262,0.020108144730329514,-0.015517830848693848,0.020969599999999998
0.07623681426048279,1919,-0.4297630488872528,0.00010174720000000001,1920,476,8244,364.09,3932160,-11.553635597229004,0.013161197304725647,-0.00839245319366455,0.020508799999999997
0.07821814715862274,1949,-0.4161175489425659,0.00010021120000000001,1950,477,8371,293.22,3993600,-6.379631519317627,0.002146386541426182,-0.00795447826385498,0.020048
0.08639052510261536,1979,-0.4385761618614197,9.86752e-05,1980,477,8498,315.59,4055040,-7.897763252258301,0.009906616061925888,-0.006609916687011719,0.0195872
0.09469467401504517,2009,-0.4474755525588989,9.71392e-05,2010,477,8626,308.54,4116480,-7.486286640167236,0.005059768911451101,-0.014029741287231445,0.019126399999999998
0.07533064484596252,2039,-0.43636441230773926,9.560320000000001e-05,2040,477,8750,340.72,4177920,-11.321732521057129,0.011307689361274242,-0.01087653636932373,0.018665599999999997
