#{"t_start": 1759589366.2617204, "env_id": "None"}
r,l,t
-3.090586,103,2.424452
-2.314795,136,4.385284
-4.105064,123,6.187357
-3.575229,175,14.597047
-0.24075,34,15.060419
-7.308165,175,17.551744
-0.921338,41,18.161387
-6.543827,170,20.630352
-4.84241,175,28.383524
-4.262587,175,30.887326
-1.374009,17,31.149092
1.000812,49,31.864331
-7.098431,175,39.801719
-1.463312,84,41.032786
-0.44075,36,41.568229
0.926061,58,42.458098
-4.804754,161,44.918769
-0.805819,53,45.654735
-0.442347,41,46.224905
-0.377869,135,53.66643
-5.305258,175,56.204713
-3.205489,175,58.800125
-4.782181,175,66.720292
-5.023264,175,69.231809
-2.593397,175,71.787027
-0.096501,29,72.201535
-6.604392,175,79.70981
-4.25998,79,80.801238
-4.835435,175,83.267693
-5.156222,175,90.808322
-2.756958,175,93.254202
-1.991925,175,95.793573
-2.466817,92,97.124189
1.299607,59,103.105652
-6.333747,120,104.650301
-2.280437,109,106.160764
-3.861028,128,107.993387
-0.466041,69,108.972435
-1.204251,51,109.690681
-5.910263,175,117.366251
-1.474252,169,119.800074
-0.670343,54,120.568316
-3.326002,175,128.273007
-0.779199,96,129.568433
-4.188755,175,132.140102
-1.32297,146,134.260594
-6.564366,175,142.247583
-3.659917,54,143.104123
-4.950215,157,145.524038
-3.183446,147,147.78776
-6.624781,175,156.329443
-3.672887,175,159.040344
-0.347896,57,159.923675
-5.426812,75,161.085999
0.476613,49,161.840042
-6.065554,175,170.084868
-1.038487,114,171.85231
-3.761698,122,173.696963
-2.242562,77,174.877995
-2.909767,175,182.940583
-5.291955,115,184.686934
-6.993346,175,187.4036
-2.521534,158,195.125681
-2.235096,175,197.785171
-1.152869,62,198.739179
-5.94574,127,200.665217
-1.151243,86,207.565145
-6.373202,175,210.22816
-5.044546,175,212.902062
-4.067842,175,221.127798
-4.19865,175,223.810786
-2.863499,44,224.463581
-3.684149,124,226.33951
-5.785057,175,234.58646
-1.582349,157,236.955826
-3.572482,175,239.629477
-3.571175,151,247.507443
-1.574009,19,247.786523
-2.296926,76,248.926197
-7.481016,105,250.559304
-5.947737,175,253.19732
-1.038344,120,255.039104
-5.477647,175,263.342684
-6.330842,144,265.561013
-7.317811,175,268.175543
-1.54802,102,275.061975
-2.150112,175,277.751231
-4.361101,175,280.435211
-0.382219,67,281.436013
-1.383119,58,287.971071
-1.892119,83,289.35363
-1.517653,22,289.722242
-6.708098,167,292.35221
-4.670182,125,294.259187
-4.777192,175,302.581026
-4.74658,175,305.319102
-2.258704,119,307.155542
-5.768949,175,315.237758
-2.706453,72,316.316547
-3.971216,175,319.08486
-4.773462,132,321.265649
-5.069783,175,329.600431
-3.719376,88,330.967272
-6.009685,175,333.703756
-2.021338,30,334.162078
2.780336,97,335.620197
-3.556903,175,343.470119
-0.257085,56,344.336668
-4.804823,175,346.981072
-2.173696,175,355.122411
-7.747965,175,357.771597
-0.182175,91,359.175236
-3.021338,40,359.812777
-0.799171,171,367.949371
-2.867031,96,369.373911
-6.188318,175,372.06832
-0.517506,69,373.116681
-6.543639,175,381.370128
-3.806431,169,384.031181
-3.935361,160,386.597452
-0.217653,31,387.06201
-5.356517,138,394.96493
-2.798353,105,396.595009
-4.438307,129,398.665536
-1.759501,57,399.586277
-6.924104,164,402.191298
-3.233171,136,409.847375
-8.347582,175,412.520679
-2.472846,143,414.759264
-3.466284,175,423.274724
-7.252135,175,426.078477
-7.452918,139,428.291096
-5.690312,175,436.473221
-4.091751,175,439.072873
-6.905406,175,441.797874
-4.156174,60,442.703457
-4.077779,100,449.922873
-5.191605,108,451.562448
-0.956174,59,452.478985
-6.663066,175,455.160312
-5.410494,175,463.235777
-4.150511,175,465.884296
-2.15865,175,468.59973
-0.974009,13,468.800207
-2.918465,175,477.022563
-1.621734,61,477.925516
-1.997777,118,479.76273
-5.137439,175,482.412405
-0.323717,175,490.440372
-4.524695,128,492.390051
-4.960665,59,493.294267
-2.272708,175,496.169934
-3.432449,175,504.114591
-1.274009,16,504.358506
-4.619486,175,506.998141
-4.058317,161,509.421193
-8.325596,175,517.485641
-5.945977,129,519.428097
-3.13817,175,522.084084
-5.125123,175,530.359787
-4.278705,113,532.028957
-8.049423,175,534.638366
0.013754,92,536.008895
-1.586201,126,543.272658
-3.19223,43,543.912287
-4.328172,175,546.537735
-3.284824,175,549.179615
-7.201484,129,556.611666
0.359854,28,557.017209
-4.376191,175,559.658031
-1.518469,175,562.217909
-3.225028,139,569.751595
-5.143449,175,572.34173
-4.044717,107,573.916785
-5.103779,103,575.520435
-3.536343,84,582.328033
-1.299282,69,583.355111
-5.563827,165,585.839862
-9.693183,175,588.439358
-0.877369,137,595.580041
-1.163539,81,596.800699
0.133585,99,598.303202
-3.115764,175,600.927167
2.333918,66,607.455505
-2.189048,103,608.969773
-1.052943,76,610.123874
-5.3861,175,612.797379
-4.026252,56,613.640002
-0.34075,45,614.31489
-4.814241,175,622.440604
-4.560654,175,625.130761
-0.361298,36,625.671819
-1.865972,27,626.091522
-6.258201,175,634.283104
-3.886579,175,636.850399
-0.131471,57,637.745069
-2.70261,175,640.363914
1.025991,15,640.590435
0.517494,96,647.472922
-5.414651,175,650.117196
-3.471522,76,651.272885
-4.300628,175,653.888837
-2.277426,78,660.471066
-4.44465,175,663.074891
0.7531,52,663.880187
-2.160936,103,665.441117
-2.610676,87,666.75343
-5.855573,145,674.406717
-5.726003,175,677.046684
-3.446773,175,679.666322
-2.813213,164,687.74055
-5.993758,175,690.397685
-5.135627,175,693.045594
-4.31827,175,700.950476
-1.84075,50,701.665353
-8.237924,175,704.244152
0.582347,23,704.585693
-0.301126,69,705.627673
-5.661072,175,713.726178
-3.585918,104,715.305243
-7.300772,175,717.997463
-6.746381,175,726.115277
-7.049795,175,728.670549
-5.328725,175,731.349662
-2.73337,175,739.717459
-6.166075,175,742.489313
0.825991,17,742.75964
-4.805357,56,743.638622
-0.673189,38,744.242717
-5.268274,128,746.290284
-2.310549,63,747.287584
-1.74075,49,753.634287
0.281065,65,754.658049
-2.04297,175,757.424176
-4.277487,143,759.729788
-5.115441,175,768.401892
0.220067,61,769.360147
-2.917653,26,769.760015
-2.617203,83,771.092147
-2.817653,25,771.486002
-5.278124,175,774.196877
0.804776,76,781.091727
-1.761676,175,783.850951
-5.463499,70,784.930257
-4.573551,133,786.953956
-5.19269,164,795.257522
-3.040773,175,797.894748
-5.608654,175,800.550854
-4.42174,175,808.740101
-5.432267,175,811.399106
-9.388239,175,814.099694
-1.101716,123,821.48203
-4.620496,175,824.13584
-2.972639,175,826.746127
-6.636977,175,834.830339
-5.895324,168,837.399193
-6.359579,175,840.036028
-2.217653,19,840.325386
-2.546533,130,847.894371
-0.523729,102,849.3783
-2.4772,78,850.556147
-4.669831,175,853.15812
-2.61031,41,853.783326
-4.336508,139,861.405777
-4.442785,175,864.130752
-7.929205,175,866.822531
-4.149001,63,867.776203
-2.582701,93,874.685352
-1.974009,23,875.041355
-3.373787,175,877.634191
-6.827739,175,880.298919
-5.667795,175,888.602055
-5.28553,175,891.255773
-6.488185,99,892.738081
-6.742551,128,894.656419
-2.266149,127,901.993001
-1.973796,175,904.639712
-1.166341,73,905.745475
-4.998899,175,908.357599
-4.338049,175,916.359827
-4.261999,147,918.599126
-1.861613,90,919.939323
-3.520532,174,927.983785
-2.587864,78,929.126601
-7.022738,175,931.793088
-4.189599,175,934.424857
-2.617653,33,940.353603
-8.067136,173,942.936391
-4.14079,175,945.586012
-3.033611,116,947.327207
-3.753249,175,955.417944
-3.90472,175,958.056056
-2.264292,72,959.11727
-3.460592,175,967.124465
-6.357363,175,969.725057
-4.8009,175,972.349161
-2.288646,104,973.900611
-3.222437,173,981.672424
0.277832,75,982.796112
-0.65386,175,985.441967
-4.189095,175,993.396987
-1.617653,23,993.724874
-4.300442,175,996.355806
-5.864788,175,998.949102
-3.507143,54,999.7615
-1.33393,76,1006.379938
-1.83476,175,1009.001943
-2.206098,175,1011.681704
-3.361298,34,1012.158522
-4.944631,175,1020.301831
-4.046228,175,1022.985951
-1.074009,14,1023.208533
-7.073792,175,1025.857893
-5.188363,175,1033.974789
-3.365533,97,1035.47333
-4.390451,175,1038.13949
-1.217653,19,1038.42714
-0.44218,96,1045.134448
-0.851591,113,1046.794712
-0.409648,102,1048.381151
-4.813131,155,1050.73647
-2.557685,86,1052.025241
-7.543515,175,1060.215737
-2.023144,75,1061.350211
-2.529925,175,1064.023611
-3.187907,153,1071.73903
-3.754886,158,1074.238766
-1.074009,14,1074.442835
-2.721971,175,1077.176383
0.361094,37,1077.766811
-0.411454,77,1078.921549
-4.239156,175,1086.783639
-7.471712,175,1089.444538
-2.987907,175,1092.073944
-1.268523,85,1099.025126
-5.943544,170,1101.726882
-5.557784,175,1104.679486
-0.608837,110,1112.225075
