time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/fps,train/n_updates,train/explained_variance,train/policy_loss,train/learning_rate,train/entropy_loss,train/value_loss
4096,-3.1515657901763916,1,125.96153846153847,7,0.272672,516,,,,,,
8192,-3.1502490043640137,2,121.109375,22,0.045343999999999995,365,1,-0.07644784450531006,0.014695215970277786,5.904e-05,-0.6614673137664795,0.43614470958709717
12288,-3.152247905731201,3,121.88297872340425,36,0.0005000000000000004,332,2,-0.10024404525756836,0.018221281468868256,1.8079999999999996e-05,-0.662556529045105,0.3444099426269531
